Gloss	Proto-Nivkh	Page
step over	*alm-	191
stem	*mra	191
stick (n.)	*kant	191
stick	*avɣ-, *getv-	191
stick hand through an opening	*gəm-	191
stick in throat or vomit	*d’aʀa-	191
stomach	*ɢor	191
stomach of animal	*hiɣr	191
stone	*baʀ	191
stop or wait	*nuk-	191
storehouse	*n’o	191
storm	*lavr(ə)r	191
story or tale	*ŋaztunt	191
straight	*məkər-	191
strap	*dnoɣ, *ŋaz	191
strength or energy	*dəŋ	191
string or rope	*poti	191
stroke or pat	*d’elm-	191
stroll	*blew-	191
strong	*maŋɢ-, *werqar-	191
stump	*ŋavn’	191
such	*duŋra-	191
suckle	*mo(mo)-	191
sufficient	*urd	191
sugar	*setaŋ	191
summer	*dolv	191
summit	*tadm	191
sun	*keŋ	191
surprised	*jaŋr-	191
surround	*dakv-	191
swallow (n.)	*lezŋ	192
swallow	*ɢaw-	192
swan	*gəɣ(gəɣ)	192
swamp	*cacv	192
sway	*lar((lar)-	192
sweat	*buɣ	192
sweet	*n’en’e-	192
