English gloss	Chinese gloss	Proto-Ong-Be	Changliu (長流)	Yongxing (永興)	Longtang (龍塘)	Qiaotou (橋頭)	Huangtong (皇桐)	Xinying (新盈)
horse	馬	*maʔ D2	mɑʔ⁸	maʔ⁸	maʔ⁸ʼ	maʔ⁸	maʔ⁸	maʔ⁸
land leech	螞蝗	*ɗaːk D1	maj⁴ ɗak⁷	maj⁴ ɗak⁷	maj⁴ ɗak⁷	ɗak⁷	ɗak⁷	ɗak⁷
maggot	蛆	*tən BC1	miŋ² ten³	maj⁴ tɔn³	maj⁴ tɔn³	ton³	tɔn³	tɔn³
nest	窩、巢	*zuːk D2	zuk⁸	zuk⁸	zok⁸	ʑuk⁸	luk⁸	luk⁸
pangolin	穿山甲	*hin BC2	hɑn⁴	hɔn⁴	hɔn⁴	hən⁴	hin⁴	hin⁴
pig	豬	*muː A1	mow¹	mu¹	mu¹	mɔw¹	mo¹	mo¹
rabbit	兔子	*zəːn BC1	zɯn³	zin³	zin³	ʑən³	lən³	lən³
sheep	羊	*tuaŋ A2	--	tuaŋ²	tuaŋ²	tuaŋ²	tuaŋ²	tuaŋ²
shellfish	蛤蜊、田螺	*hiː A1	hɑj¹	hɔj¹	hɐj¹ʼ	hɔj¹	hɔj¹	hɔj¹
shrimp	蝦	*zuaŋ A2	zuaŋ²	--	zuaŋ²	ʑuaŋ²	luaŋ²	luaŋ²
silkworm	蠶	*niaŋ A2	miŋ² niaŋ²	niaŋ²	niaŋ²	--	--	--
small frog	小青蛙	*tsian A1	lək⁸ tsian¹	maj⁴ tsian¹	tsɛn¹ʼ	tsian¹	lək⁸ tsian¹	tsian¹
snake	蛇	*ŋia A2	ŋia²	ŋia²	ŋia²	ŋia²	ŋia²	ŋia²
tadpole	蝌蚪	*ɗuːŋ A1	ɓa¹ ɗuŋ¹	tshien¹ ɗuŋ¹	ɓa¹ tsin¹ ɗoŋ¹ʼ	ku² ɗuŋ¹	ku² ɗuŋ¹	--
tail	尾巴	*tuːʔ D1	tuʔ⁷	tuʔ⁷ʼ	tuʔ⁷ʼ	tuʔ⁸ -t	tuʔ⁷	tuʔ⁷
tiger	老虎	*ʑua A1	zua¹	zua¹	zua¹	--	ʑua¹ ‘lionʼ (LC)	--
toad	癩蛤蟆	*kʰək D1	nuak⁸ kʰok⁷	nok⁸ kʰok⁷ʼ	nok⁸ kʰok⁷ʼ	--	nok⁸ xok⁷	--
turtle	龜	*ɗuː BC1	--	--	ɗɔw³	ɗɔw³	ɗɔw³	ɗɔw³
wasp	黃蜂	*ɗaw BC2	miŋ² ɗɑw⁴	ɗaw⁴ laŋ¹	ɗaw⁴	ɗaw⁴	ɗaw⁴	ɗaw⁴
water buffalo	水牛	*təːj BC1	tej³	tɛj³	tɛj³	təj³	təj³	təj³
yellow buffalo	黃牛	*ŋəːw A2	ŋɔw²	ŋəw²	ŋəw²	ŋəw²	ŋu²	ŋu²
back	後背	*ləj A2	ɗa³ le(j)²	ɓak⁷ʼ lɔj²	ɓɐk⁷ʼ lɔj²	ɗa³ lɔj²	ɗa³ lɔj²	ɗaw³ lɔj²
beard	鬍子	*mum BC2	muŋ⁴	ŋum⁴	moŋ⁴	mum⁴	mum⁴	mum⁴
blood	血	*ɓaʔ D1	ɓɑʔ⁷	ɓaʔ⁷ʼ	ɓaʔ⁷ʼ	ɓaʔ⁸	ɓaʔ⁷	ɓaʔ⁷
buttock	屁股	*məː BC2	mɔk⁸ me⁴	ɓak⁷ʼ mo⁴	ɓɐk⁷ʼ mo⁴	ɓak⁷ mo⁴	ɓak⁷ mo⁴	ɓak⁷ mo⁴
chest	胸膛	*ʔuk D1	ɓak⁷ ʔuak⁷	ɓak⁷ʼ ʔɔk⁷	ɓɐk⁷ʼ ʔɔk⁷	ɓak⁷ ʔɔk⁷	ʔɔk⁷	ɓak⁷ ʔɔk⁷
excrement	屎	*kaːj BC2	kaj⁴	kaj⁴	kaj⁴	kaj⁴	kaj⁴	kaj⁴
eye	眼睛	*ɗaː A1	ɗa¹	ɗa¹	ɗa¹	ɗa¹	ɗa¹	ɗa¹
face	臉	*naː BC1	na³	na³	na³	na³	na³	na³
fart	屁	*ɗut D1	ɗut⁷	ɗɔt⁷ʼ	ɗɔt⁷ʼ	ɗut⁷	ɗut⁷	ɗut⁷
gallbladder	膽	*ziː A1	zɔj¹	zɔj¹	zɐj¹ʼ	ʑɔj¹	ʑɔj¹	lɔj¹
hand	手	*məː A2	me²	mɔ²	mɔ²	mo²	mɔ²	mɔ²
head	頭	*haːw BC1	hɑw³	haw³	haw³	haw³	haw³	haw³
heart	心	*tim A1	tɔm¹	mak⁸ tɔm¹	mɐk⁸ tɐm¹ʼ	mak⁸ təm¹	mak⁸ tim¹	tim¹
intestine	腸	*tseː BC2	--	--	hoŋ⁴ tse⁴	--	tsɛ⁴	tsɛ⁴
knee	膝蓋	*həw A2	ɗa¹ kok⁷ hew²	ɗa¹ hɔw²	ɗa¹ʼ hɔw²	--	--	--
lung	肺	*vuŋ A2	ɓɔŋ²	voŋ²	voŋ²	vuŋ²	voŋ²	voŋ²
mouth	嘴	*ɓaːk D1	ɓak⁷	ɓak⁷	ɓak⁷	ɓak⁷	ɓak⁷	ɓak⁷
navel	肚臍	*ɗəː A2	pʰu⁴ le²	pʰu⁴ ɗɔ²	pʰu⁴ lɔ²; pʰu⁴ zɔ²	ɓa¹ ɗo²	ɓoʔ⁸ ɗɔ²	ma² ɗɔ²
neck	脖子	*liŋ BC2	mɑk⁸ liŋ⁴	mak⁸ liŋ⁴	lɛŋ⁴	liŋ⁴	liŋ⁴	liŋ⁴
nose	鼻	*zəŋ A1	zoŋ¹	zɔŋ¹	zɔŋ¹ʼ	ʑɔŋ¹	soŋ³ lɔŋ¹	lɔŋ¹
shoulder	肩膀	*via BC1	ɓak⁷ ɓia³	ɓak⁷ʼ ɓia³	ɓɐk⁷ʼ ɓia³	ɓak⁷ via³	ɓak⁷ via³	ɓik⁷ via³ ‘armʼ
skin	皮膚	*naŋ A1	nɑŋ¹	naŋ¹	nɐŋ¹ʼ	naŋ¹	naŋ¹	naŋ¹
sweat	汗水	*hən BC2	hen⁴	hɔn⁴	hɔn⁴	hon⁴	hɔn⁴	hɔn⁴
thigh	大腿	*vaː A2	mɔk⁸ ɓa²	mak⁸ va²	mɐk⁸ va²	mak⁸ va²	maj⁴ va²	maŋ⁴ va²
throat	喉嚨	*kəː A2	ɗɔn⁴ ke²	ɗɔn⁴ ko²	ɗan⁴ ko²	ko²; ɗun⁴ ko²	ɗun⁴ ko²	ɗun⁴ ko²
tongue	舌頭	*liːn BC2	lin⁴	lin⁴	lin⁴	lin⁴	lin⁴	lin⁴
tooth	牙齒	*tin A1	tɔn¹	tɔn¹	tɐn¹ʼ	tən¹	tin¹	tin¹
urine	尿	*zuː A1	zow¹	zɔw¹	zɐw¹ʼ	ʑɔw¹	ʑɔw¹	lɔw¹
waist	腰	*luː BC1	lo³	lɔw³	lɔw³	lɔw³	lɔw³	lɔw³
ash	灰燼	*ɗəw BC2	ɗew⁴	ɗɔw⁴	ɗɔw⁴	ɗɔw⁴	ɗɔw⁴	ɗɔw⁴
cloud	雲	*ɓaː BC2	ɓa⁴	ɓa⁴	ɓa⁴	ɓa⁴	ɓa⁴	ɓa⁴
dry field; hillside	旱田、山坡地	*vəːn BC1	--	--	ɓin³	vən³	vən³	vən³
fire	火	*vəːj A2	ɓɛ(j)²	vɛj²	vɛj²	vəj²	vəj²	vəj²
firewood	柴	*vəːn A2	ɓən²	vən²	vən²	vən²	vən²	vən²
fog; dew	霧、露水	*ŋiaw BC2	--	ŋiaw⁴	ŋiaw⁴	ŋiaw⁴	ŋiaw⁴	ŋiaw⁴
grease	動物脂肪	*maːn A2	man²	man²	man²	man²	man²	man²
land	（土）地	*mat D2	mɑt⁸	mat⁸	mɐt⁸ʼ	mat⁸	mat⁸	mat⁸
lime	石灰	*hoːj	hoj¹	hoj¹	hoj¹	hoj¹	hoj¹	hoj¹
moon	月亮	*saj A1	sɑj¹	saj¹	maj⁴ sɐj¹ʼ	saj¹	maj⁴ saj¹	maj⁴ saj¹
