No.	Gloss	Proto-Tai
628	itch, to (1)	*ɣal A
629	itch, to (2)	*ɣom A
630	seek, to	*kra A
631	join, to	*toː B
632	divide, to	*pan A
633	separate, to	*braːk D
634	castrate, to	*toːn A
635	cut, to	*tac D
636	slash, to	*wal A
637	chop, to	*tram C
638	weed, to	*ɓlaːj A
639	break, to	*t.rak D
640	burst, to	*p.reːk D
641	pluck, to	*C̥.dec D
642	take down, to; put down, to	*ploŋ A
643	peel, to	*poːk D
644	hammer, to	*ɣoːl C
645	pound, to	*tam A
646	pound (rice), to	*zoːm C
647	slap, to	*tɤp D
648	pound, to (2)	*dup A
649	pound, to (1)	*toːk D
650	come into contact, to	*C̬.tɯːk D
651	tie, to	*cm̩.ruk D
652	tie up, to	*laːm B
653	undo, to; untie, to	*keː C
654	fold, to	*bap D
655	fold double, to	*dop D
656	stretch, to	*ɲɯːt D
657	erect, to	*taŋ C
658	plug (a hole), to	*ʔwɯt D
659	salt, to	*ʔɯǝp D
660	pickle, to	*ɗoːŋ A
661	soak, to (2)	*ʰmaː B
662	scoop, to	*tak D
663	soak, to (1)	*ɟeː B
664	burn (intr.), to	*ʰmaj C
665	burn (tr.), to	*praw A
666	roast, to	*ˀjɯəŋ C
667	boil (tr.), to	*tom C
668	boil (intr.), to	*ɗɤːt D
669	scald, to	*luək D
670	cook (rice), to	*truŋ A
671	steam, to	*ʰnɯŋ C
672	make a fire, to	*ɗaŋ A
673	extinguish, to	*ɗap D
674	roof, to	*mwuŋ A
675	cover (with cloth), to	*hɤm B
676	deceive, to	*braːŋ A
677	buy, to	*z.ɟɯː C
678	sell, to	*p.qaːj
679	borrow, to	*ˀjɯːm A
680	defeat, to; be defeated, to	*beː C
681	have, to	*miː A
682	take, to	*ʔaw A
683	obtain, to	*ɗaj C
684	pick, to	*kep D
685	steal, to	*C̬.lak D
686	give, to	*haɰ C
687	dust off, to	*pac D
688	sweep, to	*kwaːt D
689	wipe, to	*ɟet D
690	rinse, to	*C.lwɤːŋ C
691	wash (clothes), to	*zak D
692	wash, to	*zaːw A
