No.	Chinese gloss	English gloss	Proto-Hlai	Pre-Hlai	Hlai subgroup reconstructions	Jiamao
549	甘蔗	sugarcane	*C-ma[ː]jʔ	*C-ma[ː]jʔ		mɯaj¹
550	肝	liver	*C-ŋaːn	*C-ŋaːn		ŋuən¹
551	趕	drive cattle	*C-luːt	*C-luːt		[hua²]
552	趕	drive cattle			Run *ɦuə	
553	趕	hurry			ECHl *C-luːjʔ	
554	趕上	overtake	*hnəːnɦ	*nəːnɦ		[pʰeːk⁹kʰuən¹]
555	敢	dare			CHl *ʔɯːɦ	
556	感冒	catch cold			GHl *hləːm	[mɯ²]
557	感冒	catch cold	*kʰət	*[k/x]ət		[vɯat⁷]
558	剛才	a moment ago			GHl *ʔənʔ	[tsaːt⁹]
559	剛剛	just (now)	*C-nəwʔ	*C-nəwʔ		[tsaːt⁹]
560	缸	jar			GHl *kəːŋʔ	kɔːŋ¹
561	鋼	steel	*Cuɦaːc	*Cuɣaːc		huaʔ⁷
562	高	high	*pʰaːk	*paːk		pʰɯː⁵
563	高興	happy			GHl *hlin	
564	高興	happy			GHl *tçɯː	
565	高興	happy			Qi *tçəwɦ	
566	睪丸	testicles			ECHl *ʔuːk	
567	睪丸	testicles	*hjɯːm	*jɯːm		tsum¹
568	睪丸	testicles	*hmaːnʔ	*maːnʔ		pɔːn²
569	睪丸	testicles			Run *m-ləjʔ	
570	哥哥	elder brother	*ʔ[e]ːŋʔ	*ʔ[ɛ]ːŋʔ		ʔeːŋ¹
571	哥哥	elder brother			CHl *hləwʔ	
572	胳臂	arm	*kʰiːn	*[k/x]iːn		[tɯːn¹]
573	胳肢	armpit	*tçək	*Cəʔɟək		tsi¹
574	胳肢	armpit			GHl *tçi	
575	胳肢	armpit			GHl *ɾik	lit⁷
576	割	reap	*tʰət	*tət		
577	割	reap			CHl *kʰiːwɦ	[pʰɯːw¹]
578	割	reap	*tʰu[n/ɲ]	*tu[n/ɲ]		
579	個	object clf.	*ɦom	*C-ɣom		kɔːm⁴
580	個	person clf.	*tçuːn	*Cəʔɟuːn		[ŋuən¹]
581	個	animal clf.	*C-ləŋ	*C-ləŋ		
582	個	child clf.	*ɦɯːʔ	*C-ɣɯːʔ		
583	給	give			CHl *hnɯːŋɦ	[mɯan¹]
584	給	give			NCHl *kuːɦ	
585	給	give	*ɗɯː	*Cəʔdɯː		
586	根	root	*hriːw	*riːw		[tat⁷]
587	根	root			CHl *kiː	
588	根	root			Qi *hwən	
589	根	root			NCHl *kʰɯːŋɦ	
590	根	root			Run *ɾiːp	
591	跟	with	*Cuɾuː	*Cu[d/ɖ]uː		[ɗuən¹]
592	弓	bow	*ʋəc	*C-bəc		[viː²]
593	弓弦	bowstring			GHl *hruː	[tɯj¹]
594	公雞	rooster	*pʰaːʔ	*paːʔ		
595	公雞	rooster	*kʰəj	*[k/x]əj		kʰaj¹
596	公雞	rooster	*[ɾ/hr]jaːn	*Ci[d/r]aːn		[puan²]
597	公路	road	*kuːn	*Cəʔguːn		
598	公水牛	buffalo steer	*pʰaːʔ	*paːʔ		
599	公水牛	buffalo steer	*C-naːw	*C-naːw		now¹
600	公水牛	buffalo steer			CHl *sʰujʔ	tsʰej¹
601	共同	together	*ʔu[ː]ŋɦ	*ʔu[ː]ŋɦ		[leŋ⁵]
602	共同	together	*tʰəːŋʔ	*təːŋʔ		[lem¹]
603	供飯	offer food	*hruːk	*ruːk		
604	供飯	offer food			CHl *tʰaːɦ	tʰow¹
605	供飯	offer food			CHl *tçʰəːj	[vɯat⁹]
606	狗	dog	*hmaː	*maː		pow⁴
607	狗豆子	tick (insect)	*tçʰip	*[c/ç]ip		tsʰep⁷
608	孤兒	orphan	*hlɯːk	*lɯːk		ɬiək⁸
609	孤兒	orphan			Qi *ɗiʔ	
610	孤兒	orphan	*hlaːk	*laːk		ɬak⁹ɬɯa²
611	姑	husband’s sister	*hmiːʔ	*miːʔ		
612	姑	husband’s sister	*ɗɯːŋ	*Cəʔdɯːŋ		ŋiən²
613	姑	husband’s sister			CHl *ʋ[a]ːŋ	
614	姑	husband’s sister			Qi *hŋiːn	
615	姑父	father’s younger sister’s husband	*hjəwʔ	*jəwʔ		tsiːw¹
616	姑父	father’s elder sister’s husband	*tçʰiːʔ	*[c/ç]iːʔ		tsʰaːj¹
617	姑母	father’s younger sister	*C-wɯːʔ	*C-wɯːʔ		[fiː⁴]
618	姑母	father’s younger sister			Run *hwaːɦ	
619	姑母	father’s younger sister	*hŋiːn	*ŋiːn		ŋiən²
620	姑娘	girl	*hlɯːk	*lɯːk		
