Chinese gloss	Language	Word	Source	Page no.
（年龄比父亲大的）岳父、公公、舅舅	Dong (Duolong)	ljon³³	Suining County Gazetteer (1997)	670
（年龄比父亲小的）岳父、公公、舅舅	Dong (Duolong)	ȶu¹¹	Suining County Gazetteer (1997)	670
一	Yao (Lianmin)	ik³³	Suining County Gazetteer (1997)	676
一	Dong (Duolong)	jit⁴⁵	Suining County Gazetteer (1997)	672
一	Yao (Naxi)	ji²¹³ (ji1)	Long (1984)	251
七	Yao (Lianmin)	tsʰi³³	Suining County Gazetteer (1997)	676
七	Dong (Duolong)	tet³⁵	Suining County Gazetteer (1997)	672
七	Yao (Naxi)	tsʰi²¹³ (tsʰi1)	Long (1984)	246
万	Dong (Duolong)	wen³³	Suining County Gazetteer (1997)	672
万	Yao (Naxi)	we³ (we³)	Long (1984)	245
万	Yao (Naxi)	we³³ (we6)	Long (1984)	250
丈夫	Yao (Lianmin)	paːn³³	Suining County Gazetteer (1997)	675
丈夫	Dong (Duolong)	saːu³¹	Suining County Gazetteer (1997)	671
三	Yao (Lianmin)	sã³³	Suining County Gazetteer (1997)	676
三	Dong (Duolong)	saːm⁴⁵	Suining County Gazetteer (1997)	672
上	Dong (Duolong)	ȶa⁴⁵³	Suining County Gazetteer (1997)	672
下	Dong (Duolong)	lui³³	Suining County Gazetteer (1997)	672
东	Yao (Lianmin)	toŋ⁵⁵	Suining County Gazetteer (1997)	675
丢失	Yao (Naxi)	ljeu³¹ (ljeu4)	Long (1984)	247
丢失	Yao (Naxi)	ljeu³¹ (ljeu4)	Long (1984)	252
两	Yao (Lianmin)	io³¹	Suining County Gazetteer (1997)	676
两（两个）	Yao (Naxi)	jɑ¹¹ (jɑ2)	Long (1984)	246
个	Dong (Duolong)	lən³¹	Suining County Gazetteer (1997)	672
个(人)	Cao Miao (Tanghua)	pu⁵⁵	Shi (2012)	
个(人)	Cao Miao (Tanghua)	muŋ³¹	Shi (2012)	
中午	Yao (Lianmin)	paŋ⁴²⁵ȵin⁵³	Suining County Gazetteer (1997)	675
中国	Cao Miao (Tongdao)	tsoŋ³³kʷe¹¹	Tongdao Ethnic Gazetteer	232
九	Yao (Lianmin)	tɕiao⁵²	Suining County Gazetteer (1997)	676
九	Dong (Duolong)	ȶou³³	Suining County Gazetteer (1997)	672
书	Yao (Lianmin)	lai³¹	Suining County Gazetteer (1997)	675
书	Yao (Naxi)	ke¹¹ (ke2)	Long (1984)	246
乳房	Yao (Naxi)	mei⁵³ (mei3)	Long (1984)	247
争	Yao (Naxi)	tɕʰeŋ²¹³ (tɕʰeŋ1)	Long (1984)	252
二	Yao (Lianmin)	ȵi²⁵	Suining County Gazetteer (1997)	676
二	Dong (Duolong)	ja¹¹	Suining County Gazetteer (1997)	672
二	Yao (Naxi)	õ³³ (õ6)	Long (1984)	248
二月	Dong (Duolong)	ȵi³³ŋwei⁴⁵	Suining County Gazetteer (1997)	671
云	Yao (Lianmin)	mõ²¹³	Suining County Gazetteer (1997)	675
云	Dong (Duolong)	ma³³	Suining County Gazetteer (1997)	670
五	Yao (Lianmin)	ŋou³¹	Suining County Gazetteer (1997)	676
五	Dong (Duolong)	ŋo³¹	Suining County Gazetteer (1997)	672
五	Yao (Naxi)	ŋõu³¹ (ŋõu4)	Long (1984)	246
五	Yao (Naxi)	ŋõu³¹ (ŋõu4)	Long (1984)	248
五	Yao (Naxi)	ŋõu³¹ (ŋõu4)	Long (1984)	252
五把斧头	Yao (Naxi)	ŋõu³¹ pø⁵³ kʷe²¹³ (ŋõu4 pø3 kʷe1)	Long (1984)	253
井	Yao (Lianmin)	nen³³tsen⁵²	Suining County Gazetteer (1997)	675
亭子	Yao (Naxi)	ljɑŋ¹¹tiŋ¹¹ (ljɑŋ2tiŋ2)	Long (1984)	247
人	Cao Miao (Tanghua)	qən²	Shi (2012)	
人	Yao (Lianmin)	veŋ²¹³	Suining County Gazetteer (1997)	675
人	Dong (Duolong)	ȵən⁴⁴	Suining County Gazetteer (1997)	670
人	Yao (Naxi)	wõn¹¹ (wõn2)	Long (1984)	248
人	Yao (Naxi)	wɐn¹¹ (wɐn2)	Long (1984)	251
什么	Yao (Lianmin)	la⁵⁵mo²⁵	Suining County Gazetteer (1997)	676
什么	Dong (Duolong)	maːŋ¹¹	Suining County Gazetteer (1997)	673
什么	Yao (Naxi)	mɑn¹¹ (mɑn2)	Long (1984)	244
今（今年）	Yao (Naxi)	nɑi³³ (nɑi6)	Long (1984)	252
今天	Yao (Lianmin)	pen³³te³³	Suining County Gazetteer (1997)	675
今天	Dong (Duolong)	man⁴⁵nai³³	Suining County Gazetteer (1997)	672
今年	Yao (Lianmin)	ȵin²¹³te³³	Suining County Gazetteer (1997)	675
今年	Dong (Duolong)	ȵin¹¹ȵai³³	Suining County Gazetteer (1997)	672
从前	Yao (Lianmin)	ɕin³¹tao³¹	Suining County Gazetteer (1997)	675
他	Yao (Lianmin)	nen³¹	Suining County Gazetteer (1997)	676
他	Dong (Duolong)	mau³³	Suining County Gazetteer (1997)	673
他们	Yao (Lianmin)	tɕao³³	Suining County Gazetteer (1997)	676
他们	Dong (Duolong)	e⁴⁵	Suining County Gazetteer (1997)	673
件（一件）	Yao (Naxi)	mõu³¹ (mõu4)	Long (1984)	244
低	Yao (Lianmin)	tʰen⁴²⁵	Suining County Gazetteer (1997)	676
低	Dong (Duolong)	tam⁴⁵³	Suining County Gazetteer (1997)	672
住	Yao (Lianmin)	tɔ⁵⁵tɕu⁵⁵	Suining County Gazetteer (1997)	676
你	Yao (Lianmin)	ȵia³¹	Suining County Gazetteer (1997)	676
你	Dong (Duolong)	ȵa¹¹	Suining County Gazetteer (1997)	672
你	Yao (Naxi)	ȵɑ¹¹ (ȵɑ2)	Long (1984)	248
你	Yao (Naxi)	ȵɑ¹¹ (ȵɑ2)	Long (1984)	252
你们	Yao (Lianmin)	sao³³	Suining County Gazetteer (1997)	676
你们	Dong (Duolong)	au⁴⁵	Suining County Gazetteer (1997)	672
你们	Yao (Naxi)	lɑ²¹³ (lɑ1)	Long (1984)	245
侄儿	Yao (Lianmin)	lo⁵⁵kʰie³³	Suining County Gazetteer (1997)	675
借	Dong (Duolong)	jaːm⁴⁵	Suining County Gazetteer (1997)	672
借	Dong (Duolong)	jaːm⁴⁵	Suining County Gazetteer (1997)	672
做事	Yao (Lianmin)	kuen²⁵maŋ⁵⁵	Suining County Gazetteer (1997)	676
偷	Dong (Duolong)	ljək¹¹	Suining County Gazetteer (1997)	672
偷	Yao (Naxi)	lji¹¹ (lji2)	Long (1984)	247
儿媳	Yao (Lianmin)	lo³³kʰie³³mia²⁵	Suining County Gazetteer (1997)	675
儿子	Yao (Lianmin)	lo³³ŋao²⁵	Suining County Gazetteer (1997)	675
儿子	Dong (Duolong)	laːk³¹	Suining County Gazetteer (1997)	671
儿子	Yao (Naxi)	lɑ³¹ (lɑ4)	Long (1984)	245
先、前	Yao (Naxi)	koŋ³⁵ (koŋ5)	Long (1984)	246
先前	Yao (Naxi)	koŋ³⁵ (koŋ5)	Long (1984)	248
先洗脸	Yao (Naxi)	ɕi⁵³ nɑu⁵³ koŋ³⁵ (ɕi3 nɑu3 koŋ5)	Long (1984)	253
八	Yao (Lianmin)	pai⁵²	Suining County Gazetteer (1997)	676
八	Dong (Duolong)	pet³³	Suining County Gazetteer (1997)	672
八	Yao (Naxi)	pɑi³¹ (pɑi4)	Long (1984)	244
八	Yao (Naxi)	pɑi⁵³ (pɑi3)	Long (1984)	252
六	Yao (Lianmin)	lik³³	Suining County Gazetteer (1997)	676
六	Dong (Duolong)	ljok¹¹	Suining County Gazetteer (1997)	672
六	Yao (Naxi)	lji³¹ (lji4)	Long (1984)	247
冰	Yao (Naxi)	kwɑn³⁵ (kwɑn5)	Long (1984)	247
冰	Yao (Naxi)	kwɑn³⁵ (kwɑn5)	Long (1984)	252
冷	Dong (Duolong)	ljaːk⁴⁵	Suining County Gazetteer (1997)	672
凉快	Dong (Duolong)	jim⁴⁵³	Suining County Gazetteer (1997)	672
凳子	Yao (Lianmin)	taŋ⁴²⁵	Suining County Gazetteer (1997)	675
出	Yao (Naxi)	wu³¹ (wu4)	Long (1984)	251
刀	Dong (Duolong)	mja³¹	Suining County Gazetteer (1997)	672
刀	Yao (Naxi)	mjo³¹ (mjo4)	Long (1984)	252
初	Dong (Duolong)	ɕou⁴⁵	Suining County Gazetteer (1997)	672
初一	Yao (Lianmin)	tsʰou³³i²¹³	Suining County Gazetteer (1997)	676
到	Yao (Naxi)	mjɑ³¹ (mjɑ4)	Long (1984)	248
刺	Dong (Duolong)	sun⁴⁵	Suining County Gazetteer (1997)	671
前	Dong (Duolong)	on⁵³	Suining County Gazetteer (1997)	670
剪	Cao Miao (Tanghua)	tɐt⁵⁵	Shi (2012)	
剪	Cao Miao (Tanghua)	sin³³	Shi (2012)	
剪刀	Yao (Naxi)	mjɑu¹¹ (mjɑu2)	Long (1984)	246
加	Yao (Lianmin)	tɕo⁵⁵	Suining County Gazetteer (1997)	676
勤	Dong (Duolong)	jak⁴⁵	Suining County Gazetteer (1997)	672
匠人	Yao (Lianmin)	tɕia⁵⁵	Suining County Gazetteer (1997)	675
匠人	Yao (Naxi)	tɕɑŋ³³ (tɕɑŋ6)	Long (1984)	248
十	Yao (Lianmin)	sei⁵⁴	Suining County Gazetteer (1997)	676
十	Dong (Duolong)	ɕep¹¹	Suining County Gazetteer (1997)	672
十	Yao (Naxi)	sei¹¹ (sei2)	Long (1984)	247
十	Yao (Naxi)	sei¹¹ (sei2)	Long (1984)	252
千	Yao (Naxi)	tɕʰeŋ²¹³ (tɕʰeŋ1)	Long (1984)	245
半夜	Yao (Lianmin)	paŋ⁴²⁵ȵin⁴²⁵	Suining County Gazetteer (1997)	675
单	Yao (Naxi)	te²¹³ (te1)	Long (1984)	245
厚	Yao (Naxi)	no²¹³ (no1)	Long (1984)	245
厚	Yao (Naxi)	no²¹³ (no1)	Long (1984)	248
去	Yao (Naxi)	pɑ²¹³ (pɑ1)	Long (1984)	244
去	Yao (Naxi)	pɑ²¹³ (pɑ1)	Long (1984)	248
去	Yao (Naxi)	pɑ²¹³ (pɑ1)	Long (1984)	252
去年	Yao (Lianmin)	ȵin²¹³ki⁵⁵	Suining County Gazetteer (1997)	675
去年	Dong (Duolong)	ȵin¹¹pe⁴⁵	Suining County Gazetteer (1997)	671
去年	Dong (Duolong)	ȵin¹¹pe⁴⁵	Suining County Gazetteer (1997)	672
去年	Dong (Duolong)	paːi⁴⁵	Suining County Gazetteer (1997)	672
只	Dong (Duolong)	tu¹¹	Suining County Gazetteer (1997)	672
叫	Yao (Lianmin)	kʰiao⁵²	Suining County Gazetteer (1997)	675
右	Dong (Duolong)	wa³⁵	Suining County Gazetteer (1997)	670
叶子	Dong (Duolong)	pa⁵³	Suining County Gazetteer (1997)	671
叶子	Yao (Naxi)	pɑ³⁵ (pɑ5)	Long (1984)	244
叶子	Yao (Naxi)	pɑ³⁵ (pɑ5)	Long (1984)	248
吃（吃菜）	Yao (Lianmin)	ki⁵⁵	Suining County Gazetteer (1997)	675
吃（吃饭）	Yao (Lianmin)	ɕi⁵⁵	Suining County Gazetteer (1997)	675
后	Dong (Duolong)	lən¹¹	Suining County Gazetteer (1997)	670
后生	Cao Miao (Tanghua)	ke¹³	Shi (2012)	
后生	Cao Miao (Tanghua)	je³¹	Shi (2012)	
后面	Yao (Lianmin)	tsou²⁵laːn³³	Suining County Gazetteer (1997)	675
听	Yao (Lianmin)	tʰen⁵²	Suining County Gazetteer (1997)	675
听	Yao (Naxi)	tʰõŋ³⁵ (tʰõŋ5)	Long (1984)	248
吵	Yao (Naxi)	tɕi⁵³ (tɕi3)	Long (1984)	245
吹	Yao (Lianmin)	tɕʰy⁵⁵	Suining County Gazetteer (1997)	675
和	Cao Miao (Tanghua)	qap⁵⁵	Shi (2012)	
和	Cao Miao (Tanghua)	khɐn³⁵ (¹)	Shi (2012)	
咱们	Yao (Lianmin)	nao³³	Suining County Gazetteer (1997)	676
咱们	Dong (Duolong)	ȶau⁴⁵	Suining County Gazetteer (1997)	672
咸	Dong (Duolong)	hat⁴⁵	Suining County Gazetteer (1997)	672
哥哥	Yao (Lianmin)	ti³³	Suining County Gazetteer (1997)	675
哥哥	Dong (Duolong)	ȶaːi³¹	Suining County Gazetteer (1997)	671
哥哥	Yao (Naxi)	ti³¹ (ti4)	Long (1984)	245
哪里	Yao (Lianmin)	nao³³	Suining County Gazetteer (1997)	676
哭	Dong (Duolong)	ne³³	Suining County Gazetteer (1997)	672
哭	Yao (Naxi)	nɑi⁵³ (nɑi3)	Long (1984)	245
哭	Yao (Naxi)	nɑi⁵³ (nɑi3)	Long (1984)	252
唱	Dong (Duolong)	ȶia³⁵	Suining County Gazetteer (1997)	672
喂	Yao (Lianmin)	pʰia³³	Suining County Gazetteer (1997)	675
嘴	Dong (Duolong)	ep⁴⁵	Suining County Gazetteer (1997)	671
嘴	Dong (Duolong)	ep⁴⁵	Suining County Gazetteer (1997)	671
嘴巴	Cao Miao (Tanghua)	muk⁵⁵	Shi (2012)	
嘴巴	Cao Miao (Tanghua)	mok⁵⁵	Shi (2012)	
嘴巴	Yao (Naxi)	tsei²¹³ (tsei1)	Long (1984)	252
四	Yao (Lianmin)	sui²¹³	Suining County Gazetteer (1997)	676
四	Dong (Duolong)	si⁵³	Suining County Gazetteer (1997)	672
四	Yao (Naxi)	so³⁵ (so5)	Long (1984)	252
圈	Yao (Lianmin)	kueŋ²¹³	Suining County Gazetteer (1997)	675
土	Cao Miao (Tanghua)	ən³³	Shi (2012)	
土	Cao Miao (Tanghua)	ən³³	Shi (2012)	
土	Yao (Naxi)	to³³ (to6)	Long (1984)	245
地	Yao (Lianmin)	ti⁵⁵tue²⁵	Suining County Gazetteer (1997)	675
地	Dong (Duolong)	ti³³	Suining County Gazetteer (1997)	670
地方	Yao (Naxi)	ti⁵⁵fɑŋ³³ (ti⁵⁵fɑŋ6)	Long (1984)	245
坏	Cao Miao (Tanghua)	he⁵³	Shi (2012)	
坏	Cao Miao (Tanghua)	wai⁴²	Shi (2012)	
坏	Yao (Lianmin)	fa³³	Suining County Gazetteer (1997)	676
坏	Dong (Duolong)	ja³¹	Suining County Gazetteer (1997)	672
坏	Yao (Naxi)	fɑi³³ (fɑi6)	Long (1984)	244
坐	Cao Miao (Tanghua)	sui⁵³	Shi (2012)	
坐	Cao Miao (Tanghua)	sui⁵³	Shi (2012)	
墓	Cao Miao (Tanghua)	wən¹³	Shi (2012)	
墨	Yao (Naxi)	mei¹¹ (mei2)	Long (1984)	247
外婆	Yao (Naxi)	tɑi²¹³ (tɑi1)	Long (1984)	245
外祖母	Dong (Duolong)	te⁴⁵	Suining County Gazetteer (1997)	671
外祖父	Dong (Duolong)	ta⁴⁵	Suining County Gazetteer (1997)	671
外边	Dong (Duolong)	paːk³³	Suining County Gazetteer (1997)	671
外边	Dong (Duolong)	paːk³³	Suining County Gazetteer (1997)	672
多	Yao (Lianmin)	toup³¹	Suining County Gazetteer (1997)	676
多	Dong (Duolong)	kuŋ¹¹	Suining County Gazetteer (1997)	672
多	Yao (Naxi)	tsoŋ¹¹ (tsoŋ2)	Long (1984)	246
大	Dong (Duolong)	maːk³³	Suining County Gazetteer (1997)	672
大虾	Dong (Duolong)	ȶoŋ³³	Suining County Gazetteer (1997)	671
天	Yao (Lianmin)	meŋ⁵⁵tue²⁵	Suining County Gazetteer (1997)	674
天	Dong (Duolong)	mən⁴⁵	Suining County Gazetteer (1997)	670
天	Yao (Naxi)	pɐn²¹³ (pɐn1)	Long (1984)	244
天	Yao (Naxi)	pɐn²¹³ (pɐn1)	Long (1984)	251
天亮	Yao (Lianmin)	kiaŋ³³kia³³	Suining County Gazetteer (1997)	675
天黑	Yao (Lianmin)	ten²⁵ku³¹	Suining County Gazetteer (1997)	675
太阳	Cao Miao (Tanghua)	ta³³pən⁵⁵	Shi (2012)	
太阳	Cao Miao (Tanghua)	tə⁵³pən⁵⁵	Shi (2012)	
太阳	Yao (Lianmin)	tɕiao²¹³pen²²	Suining County Gazetteer (1997)	674
太阳	Dong (Duolong)	ta⁵³man⁴⁵	Suining County Gazetteer (1997)	670
头	Yao (Lianmin)	kiao⁵²	Suining County Gazetteer (1997)	675
头	Dong (Duolong)	kau¹¹	Suining County Gazetteer (1997)	671
头	Yao (Naxi)	keu⁵³ (keu3)	Long (1984)	248
头	Yao (Naxi)	heu⁵³ (heu3)	Long (1984)	251
头发	Dong (Duolong)	pjaːp⁴⁵	Suining County Gazetteer (1997)	671
头虱	Dong (Duolong)	tau⁴⁵	Suining County Gazetteer (1997)	671
女人	Yao (Lianmin)	lo³³pia²⁵	Suining County Gazetteer (1997)	675
女人、姑娘	Dong (Duolong)	mjek³³	Suining County Gazetteer (1997)	670
女儿	Yao (Lianmin)	lo⁵⁵pi²⁵	Suining County Gazetteer (1997)	675
女婿	Yao (Lianmin)	tsao³³	Suining County Gazetteer (1997)	675
好	Dong (Duolong)	lai⁴⁵	Suining County Gazetteer (1997)	672
好	Yao (Naxi)	lɑn²¹³ (lɑn1)	Long (1984)	245
好	Yao (Naxi)	lɑ²¹³ (lɑ1)	Long (1984)	251
妹妹	Yao (Lianmin)	lo³³pi⁴²⁵	Suining County Gazetteer (1997)	675
妹妹	Dong (Duolong)	pəi⁵³ noŋ³¹	Suining County Gazetteer (1997)	671
妻子	Yao (Lianmin)	pia⁵²	Suining County Gazetteer (1997)	675
妻子	Yao (Naxi)	pjɑ³¹ (pjɑ4)	Long (1984)	246
妻子或姑嫂对称	Dong (Duolong)	maːi³¹	Suining County Gazetteer (1997)	671
姐夫（二妹对姐夫的称呼）	Cao Miao (Tongdao)	wai³¹	Tongdao Ethnic Gazetteer	231
姐夫（小妹对姐夫的称呼）	Cao Miao (Tongdao)	da³¹	Tongdao Ethnic Gazetteer	231
姐姐	Yao (Lianmin)	tɕia²⁵	Suining County Gazetteer (1997)	675
姐姐	Dong (Duolong)	pəi³¹	Suining County Gazetteer (1997)	671
姜	Cao Miao (Tanghua)	ȶaŋ⁵⁵	Shi (2012)	
姜	Cao Miao (Tanghua)	ȶaŋ⁵⁵	Shi (2012)	
嫩	Dong (Duolong)	ȵi³¹	Suining County Gazetteer (1997)	672
孙子	Yao (Lianmin)	maŋ³¹	Suining County Gazetteer (1997)	675
孙子	Dong (Duolong)	laːk³¹kwan⁴⁵	Suining County Gazetteer (1997)	671
孙子	Dong (Duolong)	laːk³¹kwan⁴⁵	Suining County Gazetteer (1997)	671
客人	Yao (Naxi)	kʰɑi³⁵ (kʰɑi5)	Long (1984)	246
对（一对）	Yao (Lianmin)	tue⁴²⁵	Suining County Gazetteer (1997)	676
射	Dong (Duolong)	peŋ⁵³	Suining County Gazetteer (1997)	672
小	Dong (Duolong)	on³³	Suining County Gazetteer (1997)	672
小虾	Dong (Duolong)	ȵo¹¹	Suining County Gazetteer (1997)	671
少	Yao (Lianmin)	ȵoup⁵³	Suining County Gazetteer (1997)	676
少	Dong (Duolong)	jun³³	Suining County Gazetteer (1997)	672
尾巴	Yao (Lianmin)	tsɿ³³	Suining County Gazetteer (1997)	675
尿	Dong (Duolong)	ȵeu⁵³	Suining County Gazetteer (1997)	671
尿	Yao (Naxi)	ȵiu³⁵ (ȵiu5)	Long (1984)	251
屁	Yao (Naxi)	pi²¹³ (pi1)	Long (1984)	246
屎	Dong (Duolong)	e³¹	Suining County Gazetteer (1997)	671
山	Yao (Lianmin)	tok⁵³	Suining County Gazetteer (1997)	675
山	Dong (Duolong)	ȶən¹¹	Suining County Gazetteer (1997)	670
山冲	Cao Miao (Tanghua)	hau¹³	Shi (2012)	
山冲	Cao Miao (Tanghua)	ȶəm⁴²	Shi (2012)	
岳母	Yao (Lianmin)	ŋo²⁵mu³³	Suining County Gazetteer (1997)	675
岳父	Yao (Lianmin)	ŋo²⁵ko³³	Suining County Gazetteer (1997)	675
左	Dong (Duolong)	ȶe³³	Suining County Gazetteer (1997)	670
布	Dong (Duolong)	ja⁴⁵	Suining County Gazetteer (1997)	672
帕	Yao (Naxi)	pʰɑ¹³ (pʰɑ¹³)	Long (1984)	244
干	Yao (Lianmin)	siu²⁵	Suining County Gazetteer (1997)	676
平	Dong (Duolong)	pjiŋ¹¹	Suining County Gazetteer (1997)	672
年	Yao (Lianmin)	ȵin²¹³	Suining County Gazetteer (1997)	675
年	Dong (Duolong)	ȵin¹¹	Suining County Gazetteer (1997)	672
床	Cao Miao (Tongdao)	to⁵⁵	Tongdao Ethnic Gazetteer	231
床	Yao (Naxi)	tsɑn¹¹ (tsɑn2)	Long (1984)	246
