Chinese gloss	Language	Word	Source	Page no.
疟疾	Yao (Naxi)	no²¹³ (no1)	Long (1984)	245
疯子	Dong (Duolong)	ə¹¹	Suining County Gazetteer (1997)	672
痒	Dong (Duolong)	ȶem³⁵	Suining County Gazetteer (1997)	672
痛	Dong (Duolong)	it³³	Suining County Gazetteer (1997)	672
瘦	Cao Miao (Tanghua)	jəm⁵⁵	Shi (2012)	
瘦	Cao Miao (Tanghua)	qaŋ³¹ (⁴)	Shi (2012)	
瘦	Dong (Duolong)	jum⁴⁵	Suining County Gazetteer (1997)	672
白	Yao (Lianmin)	po⁵⁴	Suining County Gazetteer (1997)	676
白	Yao (Naxi)	po³¹ (po4)	Long (1984)	248
白（白色）	Yao (Naxi)	pɔ³¹ (pɔ4)	Long (1984)	244
白胡须	Yao (Naxi)	mjɑu³¹ po³¹ (mjɑu4 po4)	Long (1984)	253
百	Yao (Lianmin)	pai²⁵	Suining County Gazetteer (1997)	676
百	Dong (Duolong)	pek³³	Suining County Gazetteer (1997)	672
的	Dong (Duolong)	tji³³	Suining County Gazetteer (1997)	673
皮肤	Dong (Duolong)	pei¹¹	Suining County Gazetteer (1997)	671
皮肤	Yao (Naxi)	pi¹¹ (pi2)	Long (1984)	244
盐	Cao Miao (Tongdao)	pəu¹¹	Tongdao Ethnic Gazetteer	231
盐	Yao (Naxi)	jin¹¹ (jin2)	Long (1984)	246
盐	Yao (Naxi)	jin¹¹ (jin2)	Long (1984)	248
直	Dong (Duolong)	saŋ¹¹	Suining County Gazetteer (1997)	672
直	Dong (Duolong)	seŋ¹¹	Suining County Gazetteer (1997)	672
看	Yao (Lianmin)	ɣɤ²⁵	Suining County Gazetteer (1997)	675
眼睛	Dong (Duolong)	ta⁴⁵	Suining County Gazetteer (1997)	671
眼睛	Yao (Naxi)	tɑ²¹³ (tɑ1)	Long (1984)	245
眼睛	Yao (Naxi)	tɑ²¹³ (tɑ1)	Long (1984)	251
知道	Dong (Duolong)	jo³¹	Suining County Gazetteer (1997)	672
知道	Yao (Naxi)	jø³¹ (jø4)	Long (1984)	246
短	Yao (Naxi)	tʰən⁵³ (tʰən3)	Long (1984)	245
短	Yao (Naxi)	tʰõn⁵³ (tʰõn3)	Long (1984)	248
石头	Yao (Lianmin)	ŋa³¹xie³³	Suining County Gazetteer (1997)	675
石头	Dong (Duolong)	pja⁴⁵	Suining County Gazetteer (1997)	670
石头	Yao (Naxi)	ŋɑ²¹³ (ŋɑ1)	Long (1984)	246
硝	Yao (Naxi)	ȵin¹¹ (ȵin2)	Long (1984)	246
硝	Yao (Naxi)	ɕiu²¹³ (ɕiu1)	Long (1984)	248
硬	Dong (Duolong)	kwa³³	Suining County Gazetteer (1997)	672
硬	Yao (Naxi)	kjo⁵³ (kjo3)	Long (1984)	247
碗	Cao Miao (Tanghua)	po³³	Shi (2012)	
碗	Cao Miao (Tanghua)	tui³¹	Shi (2012)	
碗	Cao Miao (Tongdao)	po³³	Tongdao Ethnic Gazetteer	231
祖母	Cao Miao (Tanghua)	sa³¹	Shi (2012)	
祖母	Cao Miao (Tanghua)	sa³¹	Shi (2012)	
祖母	Dong (Duolong)	wa³¹	Suining County Gazetteer (1997)	670
祖父	Cao Miao (Tanghua)	qəŋ³³	Shi (2012)	
祖父	Cao Miao (Tanghua)	kəŋ³³	Shi (2012)	
祖父	Dong (Duolong)	oŋ³³	Suining County Gazetteer (1997)	670
祖父	Yao (Naxi)	koŋ⁵³ (koŋ3)	Long (1984)	250
祝福	Yao (Naxi)	koŋ⁵³ (koŋ3)	Long (1984)	251
