English gloss	Chinese gloss	Proto-Miao
to lick	舔	*ʑei D
to lie	臥	*pu C
light	輕	*ʂe A
to light	點燈	*teu D
to lightning	打閃	*ɭei D
to listen	聽	*mʐuŋ C
little	小	*ʔʑə C
little	少	*dʐeu C
to live	居住	*ʔȵɔn A
liver	肝	*fʂin A
to be living	在	*ʔȵɔn A
long	長短	*ntæ B
long sword	長刀	*ndeŋ A
louse	蝨子	*ton B
low	矮	*ɢa B
to low	黃牛叫	*ɴqɔn B
the lower jaw	下巴	*dʐei D
lunch	午飯	*ʂon C
lung	肺	*mptʂu C
maggot	蛆	*keŋ C
to make (the bed)	鋪被子	*pɑ C
to make of with	偷	*ȵæn C
male (chicken)	公雞	*ʔɭə B
male (dog)	公狗	*ptsa B
man	人	*næn A
man	男人	*dʑeŋ C
man	成家=成人	*nen A
(to be grown to) manhood	成人	*næn A
the manner of going out quickly	急出貌	*bleu B
many	多	*ntɔ C
marrow	腦髓	*l̥u A
to marry off (a daughter)	嫁	*qɑu C
matter	事情	*ɳon D
me	我	*con B
meal	飯	*ɳ̥ɔn C
to measure (the cloth)	量布	*ɳdʐ
meat	肉	*ɴɢei A
medicine	藥	*cɑu A
to meet	遇見	*dʑɑu C
melon	瓜	*qlwa A
to melt	融化	*ʑeŋ A
to mend (a pot)	補鍋	*mptsa B
to mete out (rice)	量米	*ɭon A
Miao nationality	苗族	*m̥ʂəŋ A
middle	當中	*ɳʈuŋ A
to mill (the maize)	磨包穀	*vʐo D
millet	小米	*tshon B
molar	臼齒	*pɑ A
monkey	猴子	*ʔlin A
moon	月亮	*l̥a C
mortar	碓	*dʑo B
mosquito	蚊子	*ʔʑuŋ B
mountain	山	*bæ B
mountain pass	山丫口	*ɢleu D
mouse	鼠(一)	*bdʐɑu C
mouse	鼠(二)	*neŋ B
mouth	嘴	*ȵdʑə A
mouth	嘴	*ʔlo C
a mouthful of (the rice)	一口飯	*lo C
much	多	*ntɔ C
muddy	泥濘	*ŋko D
muddy	水渾	*ɳʈɭ̥o B
muscle	筋	*ʂoi B
mushroom	菌子	*ȵtɕæ A
mutually	相好	*ʂe
to nail	釘(動詞)	*ɳtʂin C
name	名字	*mptsæ C
narrow	窄	*ɴɢei D
navel	肚臍	*nteu D
near	近	*ʔvʐae
needle	針	*cuŋ A
nest	鳥窩	*vʐæ B
new	新	*tʂhin A
to nibble at	啃	*tɕɑu C
to nibble at	啃	*keu D
night	晚上	*m̥ɔn C
nine	九	*dʑɔu A
noose	圈套	*bdʐi B
nose	鼻子	*mbdʐu C
oblique	斜	*ɢei A
oil	油	*dɭɔn A
old	老	*lou B
on the top of (the house)	房上	*ʂɔu A
one	一	*ʔe A
to open (the door)	開門	*peu D
to open (an umbrella)	f打開傘	*nthɑu B
to open wide	敞墳	*peu D
otter	水獺	*ɳtʂhɑu A
(the sky is) overcast	天陰	*bɑu B
ox	黃牛	*ȵən A
ox	黃牛	*ʑo B
to pack (suger)	包糖	*qhu B
paddy	稻子	*mblæ A
pail	桶	*thuŋ A
painful	痛	*ʔmɔŋ A
a pair of (chopsticks)	一雙筷子	*ɲɟeu D
paper	紙	*nteu n
to pass	過	*qlwɑu C
to pave	鋪被子	*pɑ C
to pay (one’s debt)	還賬	*boi A
peach	桃子	*ɢlɑ A
pear	梨	*vʐɑu A
to peck	啄	*ȵtɕeu D
to peel	削	*tɕhei D
peppery	辣	*mbdʐa D
perilla	蘇麻	*n̥eŋ B
persimmon	柿子	*mnin B
person	人	*næn A
person	成家=成入	*nen A
petal	花瓣	*mplei D
pheasant	野鷄	*tʂeu D
to pick (greenfeed for pigs)	摘猪草	*ɳɖoi
to pick up	撿	*cheu D
piece	片	*mplei D
piece	一塊板	*phe A
pig	猪	*mpɑ C
pigeon	鴿子	*ɴqɔu A
pillar	柱子	*ȵdʑæ A
pillow	枕頭	*ȵtɕuŋ C
plait	辮子	*mbdzin B
to plait (one’s hair)	編辮子	*mbdzin B
to plant (trees)	栽樹(一)	*dʑi B
to plant (trees)	栽樹(二)	*dʑɔn C
to play (a reed-pipe wind instrument)	吹蘆笙	*phtʂo B
plum	李子	*cheu A
pocket	口袋	*n̥eŋ A
porridge	稀飯	*tshon B
pot	鍋	*vzin B
to pour	倒茶水	*ʔɭou A
prefix of the names of the first ten days of any month of lunar calendar	初一	*sin A
to press (the louse) with the nails of two thumbs	擠蝨子	*ʔle C
price	價錢	*ɴqa C
to propagate	繁殖	*ɕeŋ C
pus	膿	*bou C
to put on (a cap)	戴帽子	*ntuŋ C
to put on (clothes)	穿衣	*n̥eŋ B
to put on (shoes)	穿鞋	*ʈɔ C
puttee	裹腿布	*ɳʈhuŋ A
queue	辮子	*mbdzin B
quick	快	*fʂei C
rabbit	兔	*ʔɭɔu B
ragged	襤褸	*ɴɢlɔu C
rain	雨	*noŋ C
to raise (hens)	養雞	*ʑon C
rat	鼠(一)	*bdʐɑu C
rat	鼠(二)	*neŋ B
raw	生食物	*ȵuŋ B
to reach	到達	*dzo C
to receive	收東西	*ʂə A
to receive	接受	*tsei D
red	紅	*ʔlin A
a reed-pipe wind instrument, used by the Miao, Yao and Dong nationalities	蘆笙	*ɢwjen A
to release	釋放	*tʂɔn C
to remedy	彌補	*mptsa B
to rest	休息	*ʂo C
to return	回來	*ʈɔn B
rib	肋骨	*teŋ B
rice	米	*tshon B
rice steamer	甑子	*tʂon C
to ride	騎	*dʑei A
ripe	熟	*ʂæn B
river	河	*ɢlæ A
road	路	*kæ B
to rob	搶	*hɑ D
root	根	*dʑoŋ A
rope	繩子	*l̥ɑ C
to rot	爛	*lu A
rough	粗糙	*ntsha A
salt	鹽	*ɳtʂæ B
salty	鹹	*qɭeu C
to scald	燙蝨子	*l̥eŋ A
to scold	罵	*qei C
to see	看見	*bo D
seed	種子	*ʔɳuŋ A
seedling	秧	*ʔʑon A
to seek shelter from (the rain)	避雨	*ɳdɭei D
to sell	賣	*mai C
to send	送東西	*soŋ C
seven	七	*dʐoŋ C
shabby	襤褸	*ɴɢlɔu C
to shake (hands)	握手	*tɑ B
shallow	淺(一)	*ȵin B
shallow	淺(二)	*ɴql B
sharp	銳利(一)	*vʐɑu C
sharp	鋭利(二)	*ɳtʂæ C
she	他	*ni B
sheep	羊	*ʑoŋ A
(egg) shell	蛋殼	*phloi A
ship	船	*ɲɟɔn A
shoes	鞋	*chɔ C
to shoot (an arrow)	射箭	*pɔn B
short	短	*ʔlon B
to be short	少	*dʐeu C
to shorten	縮	*xou D
shoulder	肩	*bu C
to shrink	縮	*xou D
shuttle	梭子	*ɴɢɔn B
shy	害羞	*dzeŋ A
sickle	鐮刀	*ɭin A
to sieve	篩	*tʂhɔ C
