Chinese gloss	Luobuohe, Eastern	Luobuohe, Western	Chuanqiandian	Chuanqiandian, Central Guizhou	Chuanqiandian, Southern Guizhou	Chuanqiandian, Northeast Yunnan	Xiangxi, West	Xiangxi, East	Qiandong, North	Qiandong, East	Qiandong, South	Qiandong, West	Baheng, West	Baheng, East	Dongnu	Nunu	Numao	Bana	Younuo	She	Jiongnai	Mien	Kim Mun	Biao Min	Zao Min
生（小孩）	ʑuŋ³¹	ʑaŋ³⁵	ʑo¹³	tɬo²²	tɔ⁵⁵	ʂau³³	pji³¹	tai⁵⁵	ʑi¹³	tue⁴⁴	ʑo²²	ʑi²²	tu⁵⁵	tu⁵⁵	moŋ¹³	muəŋ⁴²	ʑuŋ³¹	tau³⁵	ɬau³²	jaŋ⁵³	jaŋ¹¹	ʑuŋ²³¹	ʔtu³⁵	sɛ³³	ʔeŋ⁴²
是	ʑuŋ²⁴	ʑoŋ³⁵	ʑau¹³	ȵə²²	ʑoŋ¹³	ʑo¹³	ȵi⁴²	ȵi¹³	tji¹³	ɕi⁵³	tjo²²	tjɔ²²	sei⁴²	ɕi⁵³	ʈə²²	tɕʰəu²²	ʔŋ̩⁵³	ɕi⁵³	si³²	tsʰi⁵³	ʃei¹¹	tsei²³¹	tʃei³¹	tjəi⁴²	sei⁴⁴
不是	mo³¹ʑuŋ²⁴	mu joŋ¹³	tʂi⁴⁴ʑau¹³	ma³¹ȵõ²²	moŋ³²ʑoŋ¹³	hi³³ʑo³¹	tɕe³¹ȵi⁴²	m̩⁵⁵ȵi¹³	ʔa⁵⁵tji¹³	mi¹³ɕi⁵³	mo³¹tjo²²	ʔa³³tjɔ²²	ʔa³¹ȵoŋ³⁵	pʰu⁵³ɕi⁵³	ma¹³ʈə²²	ma⁴²tɕʰəu²²	muŋ⁵⁵ta³³	mo³¹ɕi⁵³	mə²¹si³²	ʔa³⁵tsʰi⁵³	n̩⁵⁵ʃei¹¹	m̩³¹tsei²³¹	m̩⁵⁵tʃei³¹	n̩²⁴tjəi⁴²	m̩⁵³sei⁴⁴
收（玉米）	sy³¹	ʑɑ³¹	ʂou⁴⁴	sʰɯ²⁴	ʂəu²²	lo⁵⁵	ɕɯ⁴⁴	səɯ³³	ɕʰu³³	tue⁴⁴	ne²⁴; ma²⁴	ɕʰu⁴⁴	sau³⁵	ɕeu³⁵	moŋ³³; lɔ⁵³	səu³³	ɕu¹³	ɕu¹³	seu⁴⁴	sa³³	θja⁴⁴	sjəu³³	ʃoːu¹¹	sau³³	siu⁴⁴, ho⁴⁴
守（庄稼）	ʔju⁵⁵	lɑŋ³⁵	ʐo⁵⁵	ʐə¹³	ʐo⁴²	zo⁵⁵	ljɯ⁴²	ʔʑəɯ⁵⁵	ɣə³⁵	vou³³	ɣeu⁵³	ɣu¹³	jo³¹	ʑo³¹³	ɣɔ⁵³	kuan³⁵	hau¹³	ʑu⁴⁴	tjeu³²	vu⁵⁵	ju⁵³	sjəu⁵³	hoːn¹¹	tju³⁵	
梳	pʰu³¹	pʰu³¹	ntʂi³³		ntsɿ⁴⁴	ɳtʂʅ¹¹	ȵtɕi⁴⁴	zɿ³⁵	ɕa⁵³		ɕeu⁴⁴	ɕa¹¹	ȵi⁴²	hei³⁵	ntso³¹	su²²	ntsa¹³	dʑa⁵⁵	ŋja⁵⁵	tsi²²	ntʃe³⁵	tsei²⁴	tei⁵⁵	tsi²⁴	te⁴²
输	ʂu³³	ntsʰe³⁵	ʂu⁴³	ʂɯ⁴³	ʂəu²²	ʂu⁵⁵	ʂɯ⁴⁴	su⁵⁵	ko¹³	ɕy²⁴	mo³¹ʔaŋ⁵³	kɔ²²	tai³⁵ʔa³¹tu⁵⁵	ɕi⁵⁵	θəu⁵³	ʑei⁴²	le¹³	ɕi¹³	sui⁴⁴	si⁵⁵	kwan⁵³	sui³³	tei¹¹	səu³³	su⁴⁴
数（钱）	ʂo²⁴	so³⁵	ʂua⁵⁵	ʂɛ¹³	sɯ³⁵	ʑy³¹	ʂə⁵³	xɯ⁵³	xʰi³⁵	hei³³	xei⁵³	xʰei¹³	ho³¹	xo³¹³	θə⁴²	ʑa³⁵	ŋke³¹	suŋ⁵⁵	ɬoŋ⁵⁴	hjeu³⁵	ŋkʰjau⁵³	saːu⁵³	tau⁵¹	sau⁵³	hin⁴²
拴（牛）	tɕo²⁴	tɕo³⁵	ʂa⁴⁴	qʰe²⁴; tɕo⁴²	ti³²	qʰai⁵⁵	mjɛ⁴²; ʈɛ³¹	nai³⁵	tɕo⁵³	tɕi⁴⁴; qʰa²⁴	qʰa¹³	qʰæ⁴⁴	tɔ³³	tʰau³⁵	lɛ²²	kʰa³³	kʰa³³	din²²	tau¹³	kʰue²²	tu⁴⁴	du³¹; ȵat⁵⁵	daːu³³	da³¹	
睡觉	pu²⁴ŋqlaŋ³¹	pu³⁵	pu⁴⁴	pɯ⁴²	pu⁵⁵	py³³	pə⁵³	pa³³kwei³³	pi⁴⁴ta³³	pue⁴⁴taŋ²²	pi⁴⁴ke²²tɬɔ¹³	puæ³³ɬe⁴⁴	pei⁵⁵	pei⁵⁵	pɯ⁴²	kʰa¹³	pei⁴⁴	pu³⁵	pui⁵⁴	pɔ³³	pau³⁵	pui²⁴	fei⁵⁵	mi²⁴ȵɔi⁴²	bui⁴²
说	tsʰei³¹	tsʰi³¹	hai³³	tʰã⁴²	pʐu⁵³haŋ⁴²	hĩ¹¹	pʰu⁴⁴	gu¹³	m̥a⁴⁴; ɣu³⁵	tjeu⁵³	tju²⁴	næ⁵³	kaŋ³¹	kuŋ³¹³	vaŋ⁴²	vaŋ²²	tɕou³¹	kon³⁵	tu¹³	kuŋ⁵⁵	tʃɒŋ¹¹	koːŋ⁵³	koːŋ⁵¹	tjɔ³⁵	bau⁴²; bo²⁴
送（客）	ʑuŋ³¹	soŋ³⁵	saŋ⁴⁴	sʰã⁴²	saŋ³⁵	saɯ³³	soŋ⁵³	saŋ³³	sʰoŋ⁴⁴	suŋ⁴⁴	sam⁴⁴	sʰuŋ³³	soŋ⁵⁵	suŋ⁵⁵	θəŋ⁴²	suəŋ¹³	ʑan⁵³	suŋ³⁵	ɬaŋ⁵⁴	suŋ³³	θəŋ³⁵	fuŋ²⁴	toŋ⁵⁵	suə²⁴	ɕiŋ⁴²
