Chinese gloss	Luobuohe, Eastern	Luobuohe, Western	Chuanqiandian	Chuanqiandian, Central Guizhou	Chuanqiandian, Southern Guizhou	Chuanqiandian, Northeast Yunnan	Xiangxi, West	Xiangxi, East	Qiandong, North	Qiandong, East	Qiandong, South	Qiandong, West	Baheng, West	Baheng, East	Dongnu	Nunu	Numao	Bana	Younuo	She	Jiongnai	Mien	Kim Mun	Biao Min	Zao Min
碗	qo⁰⁵kʰuŋ³¹	ʔə⁰²kʰoŋ³¹	nti²⁴	te³¹	tɪ¹¹	kʰo⁵⁵	qo³⁵ʈe⁵³	ki⁰³tei³¹	tji⁴⁴	tɕi⁴⁴; po³³	tua¹³	te²¹	ʔa⁰³po⁵⁵	la⁰³tai³³	pe⁵³	ʔon¹³	tju⁴⁴	tei²²	kə⁰³feŋ⁴⁴	huŋ²², ŋ̥ŋ²²	huŋ⁴⁴	wjɛn⁵³	van³¹	wan³⁵	vjan²⁴
筷子	ʔa⁰²ʐo²⁴	ʔə⁰²ʐo³⁵	ʈeu¹³	tʂə²²	ʈɯ¹³	su⁵⁵	qo³⁵ʈɯ⁴²	ŋa³⁵dei¹³	tju¹³	tjo⁵³	tja²²	tjo²²	tɕɔ⁴⁴	tjau³¹	ʈu²²	tɕʰu²²	tja³¹	tjeu²²	tsʰeu³²	kʰu⁵³	ʃau¹¹	tsəu²¹	tʃou⁴²	tjəu⁴²	tau²²
勺子	ʔa⁰²qla⁵⁵ʔju³¹	ʔə⁰²qlɑ⁵⁵	tɬa⁵⁵	tɬe¹³hɯ²⁴	ɬæn⁴²	tɬie⁵⁵	qo³⁵cɑ⁴⁴	ko⁵³tsʰan³⁵	tjo³¹	tɕʰeu²¹²kan³³	hɔ¹³ha³⁵ɣaŋ⁵³	tjɔ⁵³	lja³¹ʔe⁵³	hau³⁵	hə³¹tau³³	xəu³³	ŋke⁵³ʔau⁴⁴	la⁰⁴tɕu⁵³	kə⁰³pjeu¹³	kue³⁵tsʰu³⁵	ʃəu⁵⁵	n̥aːŋ²⁴goːŋ⁵³	tʃʰuːi¹¹	tʰjui³³	sju²²
酒杯	ho³³tɕo⁵⁵mo³¹pei³³pei³³	pei⁵⁵pei⁵⁵	kʰau⁴³	tʂõ²⁴	tsʰa²¹pei³²	kʰo⁵⁵hau¹¹tɕey⁵⁵	qo³⁵pei⁴⁴	pei⁵³tsɿ⁵⁵	ŋə³³	ʔeu³⁵	ho¹³	tsuŋ⁴⁴tɕo¹³	tɕe⁵⁵tɕeu³¹	tei⁵⁵tɕeu³¹³	tsie⁴²tsau⁵³	sien³⁵	tɕu⁵³pei³³	la⁰⁴tjen³⁵	tju³³kə⁰³ʔau⁴⁴	tjɔ⁵⁵kiŋ³³	tʃau⁵³ŋəu⁵³	tsaːn⁵³	tʃaːn⁵¹	ʔau³³	
坛子	qo⁰⁵χaŋ³¹	ʔə⁰²tɑ³¹χɑŋ³¹	ho⁴³		ɦoŋ²²	ŋ̥u⁵⁵	qo³⁵ʔɛ³⁵		ʔoŋ⁴⁴		soŋ¹³	ʔuŋ³³	ʔa⁰³qo⁵⁵woŋ³⁵	tʰai³⁵	ʑau³³	pen³⁵	vei⁵³	la⁰⁴ŋ̩⁵⁵	kə⁰³ʔe⁴⁴	pʰa³⁵taŋ²²	θan⁵³	ʔoːŋ²⁴	ʔeːŋ³⁵	tjau⁴²	paŋ⁴⁴
水缸	tʰuŋ³³ndzuŋ³¹	tʰoŋ³¹ndzoŋ³¹	ʈʰeu⁵⁵tɬe³¹	tʰõ²⁴ʔõ²⁴	taŋ²²	tʰau⁵⁵pu¹¹lɦie³⁵	qo³⁵tʰu⁴⁴ʔu³⁵	pʰau³⁵ʔu⁵³	tʰə³³ʔə³³	tʰeu²⁴ʔeu²⁴	ʔaŋ³⁵	kaŋ²²	ʔa⁰³qo⁵⁵woŋ³⁵	tʰai³⁵ʔaŋ³⁵	va³¹kan⁴²ʔau³³	ʔaŋ³⁵; xaŋ³³	taŋ⁵³	kŋ¹³	kə⁰³ʔe⁴⁴	ʔɔŋ²²pʰa³⁵	pəu¹²	koːŋ³³	koːŋ³⁵	ʔən³³mɔŋ⁴²	koŋ²²
水桶	tʰuŋ³³mbji³¹	ʔə⁰²tʰoŋ³¹mbji³¹	tʰoŋ⁴³	tʰõ²⁴mplɛ²²	paŋ²²	tʰau⁵⁵ʔau⁵⁵	qo³⁵tʰoŋ⁵³	ki⁰³tʰaŋ¹³	tji³¹	tʰeu²⁴njei²²ʔeu²⁴	tiŋ²⁴	tʰeu³³	tʰaŋ⁴²	tʰuŋ³³ʔaŋ³⁵	tau⁵³ʔau³³	tuəŋ³⁵	taŋ⁵³	tʰŋ⁵⁵	kə⁰³tʰoŋ⁵⁴	ʔɔŋ²²tʰuŋ³³	tuŋ⁴⁴	tʰuŋ⁵³	tʃʰoːŋ⁵¹	ʔən³³dɔŋ³⁵	sui⁴²tuŋ⁴²
罐子	ʔa⁰²mpa³¹	ʔə⁰²mpɑ³¹	qʰu³³		sɯ³²; men⁴²	qʰey¹¹	tɕo⁵³pɑ⁴⁴	ki⁰³wei³⁵	tʰo⁵³		tɬau³¹tai¹³	pjaŋ⁵⁵	ʔa⁰³tɕaŋ³¹	la⁰³piŋ³³	kwe⁴²	pau³³	ma⁵³	kwon⁵⁵kwon⁵⁵	kə⁰³pau⁴⁴	kʰi⁵³tʰuŋ³¹kɔ⁵⁵	pei⁴⁴	pɛŋ³¹	ʔeŋ³⁵	pɛ³¹	
水瓢	χu³¹ʔuŋ³¹	ʔə⁰²pʰiɑu³¹	fu⁴³tɬe³¹	qə⁰²tə²⁴ʔõ²⁴	ʈə¹³ʔaŋ³²	dai³³ʔau⁵⁵	ka²²tɔ³⁵	ki⁰³xa⁵³	hɛ³³	hue²⁴	hɔ¹³ha³⁵ʔu¹³	xʰuæ⁴⁴ʔeu⁴⁴	ʔa⁰³ho³⁵ʔaŋ³⁵	hau³⁵	hə³³mplau¹³; ta²³¹	kok³⁵ʔaŋ³³; xəu³³	xo³³ʔou³³	la⁰⁴pʰjau³¹³	ʔŋ̩⁴⁴kə⁰³pjeu¹³	ʔɔŋ²²tsʰu³⁵	ʔɒŋ⁴⁴ʃəu¹²	ʔoːm³³goːŋ⁵³	tʃʰuːi¹¹	ma⁴²tʰjɔ⁴²	
火钳	ti³³zo⁵⁵	tie³¹ðen³¹	tɕa³¹		se⁵⁵tɕen⁵³	tai¹¹ȵi³¹	sɑ⁴⁴ɬɔ⁵³	qa³⁵ɬo³³	qei⁵³tu¹¹		qa³⁵ta²⁴¹		ŋe⁵³		ta²¹to²³¹	tɕʰan⁴²		tɕʰen⁴⁴tɕʰe³¹³	tʰe⁴⁴ŋo³²	tʰɔ⁵³kʰi³¹	tau³¹ðai⁵⁵	təu²³¹tɕap⁵⁵	gja¹¹ȵep⁵⁵	kat⁵³	ȵap²²
吹火筒	ʐuŋ³¹zo⁵⁵	χo⁵⁵tʰoŋ³¹	ʈaŋ³¹tʂʰua⁴³teu²¹		ʈaŋ⁵³pʐa²²tɯ¹¹	tu³³tsʰa⁵⁵dey³³	qo³⁵ʈoŋ³¹pʰʐo³⁵tə²²	ho³⁵duŋ³¹	tjoŋ⁵⁵tsʰo³³tu¹¹		tjam³¹ɕeu¹³ta²⁴¹		ʔa⁰³tɕoŋ³³tʰjo³⁵tau¹¹		ʑoŋ²²pʰju³³tu²³¹			tjuŋ³¹³to³¹	pʰui⁴⁴teu³²taŋ³³	kʰuŋ³¹tʰɔ⁵³	pʰu⁴⁴tau³¹tuŋ⁵³	təu²³¹toŋ³¹	ʔtoːu³¹doːŋ³³	tʰjui³³dɔŋ³¹	
篮子	tʰɛ³¹lɛ³¹	ʔə⁰²tʰɑŋ³¹lɑŋ³¹	keu²⁴	qə⁰²tə¹³	ɬæ³²	tʰi³¹la³¹	qo³⁵ŋkʰin⁴⁴	di¹³lan³¹	kʰen⁴⁴	kʰen⁴⁴	ɕan⁵³	ko²²	ʔa⁰³ȵ̥ei³¹	tje³⁵	tʰi³¹lan³¹	səu³³	tɕou³³	tɕa³¹dʑiŋ⁴⁴	kə⁰³tseu³²	ji²²naŋ³¹	ntʃʰi⁵³	laːm³¹	kjeu⁴²	djɛn³¹	
背带	ʔa³¹pu³¹ʔu³³taŋ³¹	ʔə⁰²ȵ̥e³⁵	ȵa³³		la³⁵sæn¹³	ʔey⁵⁵	ɬa⁵³pu²²	ɬjəɯ⁵³tei³¹	pi³³		pua¹³ʔai³⁵ŋɔ³⁵	puæ³³læ³³	te³⁵	ɬe⁵⁵pau³³	ʔa⁰²lo³³	lu³³	pu³³ȵi¹³	ta⁵⁵pa⁵⁵tɕi⁴⁴	pi²¹ma⁵⁴	pi⁵⁵ni³³	ti⁴⁴nei⁴⁴ɬai³⁵	suŋ³¹ȵe²⁴	ʔtaŋ³³lo⁵¹		
扇子	tɕʰaŋ³³laŋ³³	ʔə⁰²mbji³¹mɑ³⁵	ntsua²⁴	mpla⁵⁵	mpja²¹	ndzɦa³⁵	qo³⁵mjɑ⁴⁴	ki⁰³mji³⁵	zen³¹	njin¹³	ȵi²⁴	mei⁵³	ni⁴²ljoŋ³³	mpʰje³¹	mpji²¹	pi²²	mpji⁴²	tjuŋ⁵⁵bi⁵³	sje⁵⁴	pji³⁵	mpli¹²	bjap²²	bjaːp⁴²	bjɛt²¹	ʑap²²
秤	ʔa⁰²tsʰuŋ²⁴	ʔə⁰²tsʰoŋ³⁵	ki⁵⁵	ʐɛ²⁴si⁴²	ntsaŋ¹³	tɕi³³	qo³⁵ȵtɕʰe⁵³	tʰi³³	ɬjo⁵³	ɬjou³⁵	tɬja³⁵	ɬjeɯ¹¹	ȵ̥aŋ⁵⁵	ȵtɕʰaŋ⁵⁵	ȵtɕʰoŋ⁴²	tɕʰoŋ¹³	ȵtɕʰuŋ⁴⁴	la⁰⁴dʑon³⁵	tʰjeu⁵⁴	tʰjaŋ²²	ntʃʰaŋ³⁵	dzjaŋ²⁴	dʒaŋ³¹	djaŋ²⁴	ʑaŋ⁴²
尺子	qo⁰⁵tsʰɿ³¹	tsʰɿ³¹tsɿ⁵⁵	tʂʰi²⁴tsi⁵⁵	tsʰi³¹	ʈua³²ʂʅ¹¹	tʂʰʅ³¹tsɿ³³	tɕʰi³¹	tsʰɿ³¹	tɕʰi⁵³	tsʰɿ³³	teu⁴⁴ljo³¹	tɕʰi¹¹	tʰei⁵⁵	tʰi⁵⁵	tsi⁵³	sik³⁵	tsʰɿ³¹tsɿ³³	la⁰⁴tɕʰi⁴⁴	tsʰje⁵⁵	tʰi³³	tʰi³⁵	tsʰi⁵⁵	tʃʰi¹¹	tɕʰi⁵³	sja⁴⁴
针	qo⁰⁵kuŋ³¹	ʔə⁰²koŋ³¹	koŋ⁴³	kõ²⁴	kaŋ³²	kaɯ⁵⁵	qo³⁵tɕu³⁵	ku⁵³	tɕu³³	tɕu²⁴	tɕu¹³	tɕu⁴⁴	kaŋ³⁵	kuŋ³⁵	tɕau³³	tɕaŋ³³	tɕou³³	mai³¹³tɕiŋ¹³	tjoŋ⁴⁴	kjuŋ²²	tʃɒŋ⁴⁴	sim³³	tim¹¹	tɕɛn³³	tsum⁴⁴
剪刀	ʔa⁰²tsen⁵⁵	ʔə⁰²tsen³¹	tsa⁴³	qa¹³sẽ¹³	sæn⁵⁵	tsʰə¹¹	qo³⁵ȵtɕi³⁵	ki⁰³zɿ³³	ken⁵³	ken³⁵	tɕa²⁴	tjæ̃⁴⁴ki¹¹	ŋeŋ¹¹	ȵtɕe¹¹	mpjə³³	tɕieu³³	tɯ⁵³tɕen⁵³tau³³	la⁰⁴tsjen⁵⁵	tin³³tau⁴⁴	te⁵³ki³⁵	tʃei⁵⁵ntən⁵³	tɕəu⁵³	tʃeu⁵¹	dʑau³⁵	geu²⁴
梯子	ʔa⁰²tʰi³¹	ʔə⁰²tʰe³¹	ntai⁵⁵	qo¹³tʂõ³¹	ʈua³²tua²²	tʰau³³dʐu³³	qo³⁵ʈei⁴²	ki⁰³dai¹³	tʰaŋ³³; tjaŋ¹³	leu²²tʰi²⁴	tjan²²ti⁴⁴	tjẽ²²	tʰai⁵⁵	tʰei⁵⁵	tʰəŋ³³	ʔpok⁵⁵lai³³	nta¹³	la⁰⁴tʰja¹³	tʰe⁴⁴	tʰe⁵⁵	tʰei⁴⁴	tʰei³³	tʃʰei¹¹	tʰei³³	hai⁴⁴
锁	səu⁵⁵ʐuŋ³¹	ʔə⁰²su⁵⁵ðoŋ³¹	ntʂo²¹	sʰu¹³	tɕu³²	so³³	qo³⁵su⁴⁴	ki⁰³su¹³	sʰu³⁵	so³³	seu⁵³	njo⁵³ɕʰi³³	so³¹sei³⁵	so³¹³	θo⁵³	so³⁵tʰəu⁴²	po¹³ɕi³¹	la⁰⁴so⁵⁵	ɬeu⁵⁴	su³⁵kɔ⁵⁵	θu³³	fo⁵³	kja⁵¹	sɔ³⁵	ho²⁴
钥匙	ʑo³¹sɿ³³	ʔə⁰²ʑi³¹si³¹	ʑo²⁴ʂi³¹	tɕɯ⁵⁵sʰu¹³	tɕu³²tɕu⁵³	qʰɯ⁵⁵ʔa³³dlɦau³⁵	ʑo³¹ɕi³⁵	ʑo³¹sɿ¹³	tə⁴⁴tju⁵⁵	ʑo¹³ɕi²²	teu⁴⁴seu⁵³	qa³³pa¹³njo⁵³ɕʰi³³	lja¹¹sei³⁵	so³¹³sɿ³⁵	po⁵³so⁵³	si³¹suə³⁵	po¹³	ʑo³¹ɕi¹³	ɬeu⁵⁴si¹³	su³⁵si³¹	ja⁵⁵	fo⁵³tsei³¹	kja⁵³tʃei³³	sɔ³⁵tjəi³¹	
灯	qo⁰⁵ten³¹	ʔə⁰²ten⁵⁵	ten⁴³	tõ²⁴	taŋ⁴⁴	ʈau⁵⁵	pʐɔ⁵³ɕɛ³⁵	ten³³tsan¹³	ten³³	ten²⁴	tɬan⁵³ta³⁵ta²⁴¹	tẽ⁴⁴	ʔa⁰³ti⁵⁵	la⁰³teŋ⁵⁵	taŋ³³	teŋ³³taŋ³³	ʑɯ⁴²	taŋ¹³	teŋ⁴⁴	hɔ⁵⁵sui³¹tsan³⁵	taŋ⁴⁴	taŋ³³	ʔtoːŋ³⁵	tən³³	taŋ⁴⁴
灯笼	qo⁰⁵ten³¹ten³³luŋ³¹		ten⁴³loŋ³¹		taŋ⁴⁴loŋ²¹	ʈau⁵⁵	ten⁴⁴loŋ²²	ten⁵³luŋ³¹	ɣu⁵⁵ten³³		tɬan⁵³ʑa³⁵ta²⁴¹	tẽ⁴⁴leu⁵⁵	tai⁵⁵ti⁵⁵	teŋ⁵⁵luŋ³³	tan³³lau¹³	teŋ³³loŋ⁴²	ʑɯ⁴²kʰjaŋ¹³	taŋ¹³luŋ³¹³	teŋ⁴⁴laŋ¹³	taŋ⁵⁵luŋ³¹	təŋ⁴⁴luŋ³¹	taŋ³³loŋ³¹	ʔtoːŋ³⁵loːŋ³³	tən³³lɔŋ³¹	
镜子	tɕin²⁴tsɿ⁵⁵	ʔə⁰²li³¹mɑ³⁵	ʔa⁵⁵	qə⁰²vi²²vã⁵⁵	ŋa²¹	nɦa³¹tɬʰu³³	tɕɔ³⁵ci⁴⁴	tɕin³³tsɿ³³	mɛ¹³n̥ɛ³³	tsieu⁴⁴men⁵³	mo²²n̥o¹³	ɕeu³³	qɛ⁵³tɕeu³⁵nje⁴²	tɕeu³⁵tsɿ⁰³	ʔa⁰²tsu⁵³	kau³³tɕaŋ¹³	ʔaŋ³³ŋkuŋ³³	tɕiŋ³⁵tsɿ⁰³	tsjeu⁵⁵mo³²pa¹³	kjaŋ⁵³	kjiŋ³⁵	tɕiŋ²⁴	ʔaŋ⁵⁵tʃiŋ⁵⁵	tɕin²⁴tsɿ⁵³	tuŋ⁵³tsju⁴²
耳环	ʔa⁰²mbji³¹ȵin³¹	mbo³¹ȵin³¹	kou³¹ntʂe³¹	qə⁰²mplɛ⁵⁵	mpʐe²²	ŋqɯ³³	qʰɑŋ⁵³mʐɯ³¹	pji⁵⁵mɯ¹³	pʰo⁴⁴zɛ⁵⁵	qa³³njei²²	qʰaŋ⁵³ȵei³¹	ɕi¹¹mei⁵⁵	qa⁰³lja⁵⁵njo³³	vi³¹se⁵⁵	mpje¹³pjau²²	kon¹³pia⁴²	tɕʰyn³³mpje⁵⁵	tɬʰjuŋ³¹³	kʰjon³³	juŋ³⁵mui³¹	ŋjin³³mpja³³	hun³³	pou³³vjen¹¹	blau³¹ʔun³¹	
手镯	qo⁰⁵vu²⁴	ʔə⁰²vu³⁵	pou¹³	pa²²	po¹³	bau⁵³	qʰɑŋ⁵³pɔ⁴²	səɯ⁵⁵tsʰyan⁵³	ɬʰjoŋ⁴⁴	tɕuan⁵³pɛ²¹²	qa³¹qua³⁵	pɔ²²	qa⁰³po⁴⁴	la⁰³pi³¹ɕe³⁵	pə²²	kon¹³pʰe⁴⁴	ti⁴⁴pei³¹	tjo³¹	tsʰeu²¹	kʰwa⁵³ku³⁵	tʃa³¹θai⁴⁴jəu³³	tɕem³¹	ʃam⁵⁵	pʰau⁵³kʰən³³	
梳子	qo⁰⁵ji²⁴	ʔə⁰²ji³⁵	ʐua¹³	ʐa²²	ʐə¹³	za⁵³	qo³⁵ʐa⁴²	ki⁰³ʑe¹³	ɣa¹³	ʑɛ⁵³	ɣe²²	ɣæ²²	ʔa⁰³ji⁴⁴	la⁰³hei³⁵	ɣi²²	ʑei²²	ɣi³¹	la⁰⁴ʑi²²	ta²¹su⁴⁴	vi³³kɔ⁵⁵	wi¹¹	tsa⁵⁵	tʃaːt⁵⁵	pʰai⁵³səu³³tja⁵³	ta⁴⁴
棺材	ntuŋ²⁴lo⁵⁵	ntoŋ³⁵lo⁵⁵	ɬe⁴³	ɬɛ²⁴	læ²²	ntau³³	qo³⁵pɛ⁴⁴	ki⁰³du¹³	ɬʰɛ³³	teu⁴⁴lo²¹²	ɬai¹³	xeu¹¹teu³³	tja³⁵qo⁵⁵	fu³³tsa³⁵	pəŋ²²	ku²²pien²²	mei⁴²	lau³¹pja⁴⁴	fu⁵⁵fo⁴⁴	kwan⁵⁵tsʰe³¹	ntɒŋ³⁵tʃiŋ⁴⁴	pen³⁵		pən³⁵	vaŋ⁵³koŋ⁴²ben²⁴
钱	qo⁰⁵zen³¹	zen³¹	tsa³¹		sæn⁵³	ȵɦe³⁵	tɕi⁴⁴tɑŋ⁵³	zei³¹taŋ³³	pi⁵⁵sei⁵⁵		sa³¹; saŋ⁵³	pei³³se⁵⁵	tɕiŋ³³	qa⁰³tɕiŋ³³	ȵi¹³	ȵi⁴²	nto¹³	tsʰjen³¹³	tsʰin¹³	tsʰin³¹	ʃiŋ³³	tsin³¹	tin³³	tsin³¹	ȵan²²
货物	qo⁰⁵ho²⁴		nto³¹te⁴³	kã²⁴kɛ¹³	haŋ⁴²nɔ⁵³sæn³²	tɬaɯ⁵⁵nɯ⁵⁵	ho³⁵wu²²	ho³³	hu⁴⁴	ho³⁵	ɕi⁴⁴pia¹³	ho³³	hau³⁵		ho³³	tu²²xo³⁵		kʰo⁵⁵	kʰy⁵⁴	ma³¹na³³	ho³⁵	ho²⁴	hu³¹	kʰwa²⁴	
鼓	qo⁰⁵ɳɖa⁵⁵	ɳɖɑ⁵⁵	nʈua²¹	ntʂu³¹	ɳʈə¹¹	ɳʈa³³qey¹¹	qo³⁵ɳɔ²²	ki⁰³mjəɯ⁵⁵	njə¹¹tu³⁵	njou²¹²	teu³¹nju²⁴¹	nja²¹	ʔa⁰³ma³¹	mpjo¹¹	ɳʈu²³¹	ton³¹ku³⁵	ku⁵³	la⁰⁴djeu³¹	jau³²teu⁴⁴	ku⁵³taŋ²²	ntʃu³¹	dzu²³¹	dʒu³¹	du⁴²	
锣	qo⁰⁵ɳɖa⁵⁵		nʈua²¹	ntʂu³¹	ɳʈə¹¹	ɳɖɦa¹¹	qo³⁵tɕi⁴⁴	ki⁰³ten⁵⁵	njə¹¹		nju²⁴¹qʰau¹³	nja²¹	ʔa⁰³ma³¹la³³	lo³³	toŋ¹³lo¹³	zu¹³ȵin⁴²	lo³¹	lo³¹³	leu¹³	tʰɔŋ³¹lu³¹	tə⁵⁵lu³³	lo³¹	lo³³	lɔ³¹	lo⁵³
钟	tə⁰²po⁵⁵lo⁵⁵ɳɖa⁵⁵		tʂoŋ⁴³	tɕʰĩ¹³	ɳʈə¹¹ʐo⁴²wæ²³²	tʂoŋ⁵⁵	ʈoŋ⁴⁴	tsuŋ⁵⁵	tsoŋ³³	tseŋ²⁴	nju²⁴¹qɔ⁵³	tsuŋ⁴⁴	ma⁰³tɕoŋ³³	tɕuŋ⁵⁵	tsoŋ³³	tsoŋ³³	tsuŋ³³	tsuŋ³⁵	tsaŋ⁴⁴	tsuŋ⁵⁵	tʃuŋ⁵³	tsoŋ³³	tʃaŋ³³	tsɔŋ³³	
喇叭	tə⁰²lje²⁴	tə⁰²læ³⁵	le⁵⁵lua³¹	tʂã⁵⁵la³¹ha³¹	ʈaŋ⁵³taŋ⁵³	li⁵⁵la¹¹	soŋ⁴⁴nɑ³¹	so⁵⁵na³¹	ljoŋ⁵³lji³⁵	so³³na³³	la⁴⁴pa⁴⁴	tuŋ⁵⁵nja²¹	la³¹pa³³	sa³³na³³	kwan⁴²po¹³tʰoŋ³¹	la³³pa³³	la⁴²pa³³	so⁴⁴na³¹	la²¹pʰa⁴⁴	tʰe³⁵taŋ²²	la³³pa³³	dzat²²	ba³³ho³¹	ɕau³³	la⁴⁴pa⁴⁴
香	qo⁰⁵ɕaŋ³¹	ʔə⁰²ɕɑŋ³¹	ɕaŋ⁴³	ɕã²⁴	ʑaŋ²²	ɕaɯ³³	ɕɑŋ⁴⁴	ɕaŋ⁵⁵	ɕʰaŋ³³	ɕaŋ²⁴	ɕaŋ¹³	ɕʰaŋ⁴⁴	ɕaŋ³³	hjuŋ⁵⁵	ʔa⁰²tɕʰoŋ³³	teŋ³³	ntai⁵⁵	ɕon¹³	kʰjeu⁴⁴	kʰjaŋ²²	ʃaŋ⁴⁴	huŋ³³		xuə³³	voŋ⁴⁴
蜡烛	qo⁰⁵tsy³¹	lɑ³¹tsu³¹	tʂu²⁴	tʂɯ²²		la³¹tʂu³¹	lɑ²²ʈu²²	la³¹tsəɯ³¹	qa³³tə⁴⁴tjaŋ⁵⁵	la¹³	tjan¹³	la¹¹tɕu¹¹		la⁵⁵tɕu⁵⁵	la³¹ʈu³¹	la³¹tɕu⁴²	la³¹tsu³¹	la³¹	la¹³tsu¹³	jɔ³¹tsuk³⁵	la¹²tʃɒ⁵⁵	laːp²²tso⁵⁵	lap⁴²ʃu³⁵	ɬat²¹tjɔ⁵³	
话	qo⁰⁵laŋ⁵⁵	lɑŋ⁵⁵	lo²¹	lə̃³¹	haŋ⁴²	lu³³	tu⁵³	sa⁵⁵	xʰə³³; sʰei³⁵	sa³³	xeu¹³	sʰe¹³	koŋ⁴⁴	ta³¹kaŋ³¹³	θa⁵³	sua⁴⁴	tɕou³¹	tɕi⁵⁵	li³²	tjɔ³¹	θen³⁵	wa²¹	va⁴²	tjaŋ⁴²	toŋ²²
歌	qo⁰⁵ji²⁴	ʔə⁰²je³⁵	ŋkou³¹	ŋko⁵⁵	ŋkɔ⁵³	ŋgɦau³⁵	sa⁴⁴	qʰa³³	ɕʰa⁵³	ko²⁴	ɕi³⁵	qa⁵⁵	se³¹	ko⁵⁵	ko³³	tɯ⁴²ʔven³³	ljou⁴⁴	se⁴⁴	ɬe³³	si⁵⁵	ko⁵³	dzuŋ³³	dʒuːŋ³⁵	djuə³³	tsiŋ⁴⁴
故事	ko⁵⁵lo⁵⁵laŋ⁵⁵	qoŋ³¹pɑ⁵⁵lɑŋ⁵⁵	lo²¹nʈua²¹		haŋ⁴²sei¹³lo¹¹	pi⁵⁵dɦau³¹	ku⁵³ci⁴⁴	tʰi³⁵tsəɯ³⁵	qa³³njaŋ¹³qo⁴⁴		suan⁴⁴qoŋ³⁵	tɕi⁵³nje⁵⁵	pu¹¹ȵe³³	ho³⁵ku¹¹	ɕan²²ku⁴²	ku¹³sɿ¹³	tɕou³¹tɕi³¹kɯ⁴⁴	ho³¹ku⁴⁴	ku¹³sɿ¹³	ku²²taŋ²²	kai⁵⁵	kəu⁵³	keu⁵¹	ku⁵³ʑin⁴²	ku⁴²
谜语	ʔa⁰²ʑa⁵⁵muŋ²⁴		toŋ⁴³mi²⁴tsi⁵⁵		haŋ⁴²pei²³²	pi⁵⁵dɦau³¹	qo⁵³	mi³¹tsɿ³⁵	ɬjaŋ³³sʰen⁴⁴		suan⁴⁴qoŋ³⁵	ʔe³³moi³³	ta¹¹tu³¹koŋ⁴⁴	meŋ⁵³tsɿ⁰³	vɔ²²θa⁵³	mi⁴²ʔʑi³⁵	mi³¹y⁴²	mi⁵⁵tsɿ⁰³	ku³³	kuŋ⁵⁵ku²²taŋ²²	kli⁴⁴	mei²⁴	mai⁴²	mui²⁴tsɿ⁵³	
笔	qo⁰⁵pi³¹	ʔə⁰²pi³¹	pi³¹	tɕɯ⁵⁵pi¹³	tɕu⁵³men⁵³	pi³¹	pi²²	pi³¹	pi³¹; tsen⁵³lei⁵³	pi¹³	teu⁴⁴pin⁴⁴	pi¹¹	ti⁵⁵nɔ³¹	pi³⁵	pi³¹	pi⁴²	tɕi⁵⁵nto¹³	pi¹³	pi¹³	pi³¹	pi⁵⁵lja¹¹	pat⁵⁵	ʔpat⁵⁵	pat⁵³	bit⁴⁴
书	qo⁰⁵nto⁵⁵ʔa²⁴	ʔə⁰²nto⁵⁵	nteu⁵⁵	ntə¹³	ntə⁴²	ntey⁵⁵	pei⁵³ntə⁴⁴	pen¹³da⁵⁵	tu³⁵	ɕy²⁴	lei³¹	to¹³	nɔ³¹	ɕi⁵⁵	θu³³	sɿ³³	pei⁵³nto¹³	du⁴⁴	neu³³	tɔ⁵⁵	ntau⁵³	səu³³	teu¹¹	səu³³	su⁴⁴
纸	qo⁰⁵nto⁵⁵	ʔə⁰²nto⁵⁵	nteu⁵⁵	ntə¹³	ntə⁴²	ntey⁵⁵	ntə⁴⁴	da⁵⁵	tu³⁵	tsen⁴⁴	tsei⁴⁴	to¹³	nɔ³¹	qa⁰³ntau³¹³	ntu⁵³	to³⁵	nto¹³	du⁴⁴	tsi⁵⁴	tɔ⁵⁵	ntau⁵³	tsei⁵³	tʃei⁵¹	tjəi³⁵	tsi²⁴
信	sen³³	ɕin³⁵	ɕin²⁴	sʰẽ⁴²	ɕin¹³	mau³³	sei³⁵	sen³³	ɕin³⁵	sen⁴⁴	sen⁴⁴	sʰen³³	seŋ⁵⁵	seŋ⁵⁵	θe⁴²	sin¹³	ɕin⁴⁴	saŋ⁵⁵	ɬin⁵⁴	san²²; tsʰin³¹	θin³⁵	fjen²⁴	teu¹¹	ɕin²⁴	san²⁴
球	qo⁰⁵tɕʰəu³¹	læ³¹tɕʰəu³¹	tɕʰou³¹	tɕʰə³¹	tɕʰəu²¹	tɕʰu³¹	ȵcɯ²²	bi³¹dʑəɯ³¹	tɕʰu³¹	tɕʰeu²²	tɕʰeu³¹	tɕʰeu²¹	tjei³¹ko³³	dʑu³³	kʰju³¹	tɕəu⁴²	tɕʰou³¹	pʰi³¹³tɕʰeu³¹³	kʰjeu¹³	kʰau³⁵pɔ³⁵	kʰjəu³¹	tɕʰəu³¹	kʰjeu³¹		
