Gloss	Pa Hng (Tân Trịnh) [tone values]	Pa Hng (Tân Trịnh) [tone categories]	Page no.
very (挺)	tʰẽʔ³¹	tʰẽʔ3	16
Vietnamese	tɕo⁵⁵tɕi⁵⁵	tɕo5tɕi5	16
village	ʔa³³tʰɛ̃³³	ʔa1tʰɛ̃1	16
vine	tɤ³³mʰa³³	tɤ1mʰa1	16
wait, to	tẽh³¹	tẽh4	16
warm oneself, to	ndo⁵⁵	ndo5	16
wash, to (rice)	ȵdʑiʔ³¹	ȵdʑiʔ3	16
water	ʔɔ̃³³	ʔɔ̃1	16
we	pɯ⁵⁵	pɯ5	16
wear, to (sandals)	tɕɯ⁵⁵(hɛ³³)	tɕɯ5(hɛ1)	16
whip	tɤ³³pjah³¹	tɤ1pjah4	16
white	kʷɔ³³	kʷɔ1	16
wind	tɕi⁵⁵	tɕi5	16
winding	ŋgʷɤ²⁴	ŋgʷɤ6	16
wing	teʔ⁵²	teʔ7	16
woman	pʰiʔ³¹	pʰiʔ3	16
write, to	saʔ³¹	saʔ3	16
yam	nde³³kʷɛ̃³³	nde1kʷɛ̃1	16
year (2)	ȵɛ³³	ȵɛ1	16
year	kaʔ³¹tɕɔ̃⁵⁵	kaʔ3tɕɔ̃5	16
yellow	kʷɤ³³	kʷɤ1	16
you (plural)	mbɯ⁵⁵	mbɯ5	16
you	mɯ̃h²⁴	mɯ̃h6	16
