English gloss	Part of speech	Guiqiong	Chinese loanword
a Chinese character	n.	ʥ’idɐnɐŋ	
Chinese emperor sitting in bed reigning the entire country	n.	dʑiɛ̃’nɐtʂʰĩdʐiʥiɔbu	
Chinese juniper	n.	dʐɐdʐɐ	
Chinese pear-leaved crab apple	n.	lɛisi	
Chinese prickly ash	n.	dzɐŋmɐŋ	
Chinese tingling black pepper	n.	dzɐŋmɐŋ	
Chinese yam	n.	ɐ’ɳɐ’ɳɐ	
chip	v.	tsɔ	
chisel	n.	dzɐntsi	
choke (of smoke)	v.	ɕiu	
choking smoke, fume	n.	muhoɕiumu	
choose	v.	tsʰi	
chop into pieces	v.	tsətsə	
chop	v.	tsə	
chopsticks	n.	tʂuŋʨʰiɐ	cf. Ancient Chinese zhù 箸
a set of chopsticks	npr.	tʂuŋʨʰiɐdɐʨiɐ	
chopsticks’ cage	npr.	tʂuŋʨʰiɐpʰɔtʂo	
Chrysosplenium macrophyllum Oliv (golden saxifrage)	n.	pɐpɐniɔ	
chump	n.	ɖɐ̃mu	
cicada	n.	ɛ’niɛn’niɛn	
a small cicada	n.	guɐnɲiɛ	
circumstantial suffix		-lu	
city, town	n.	kʰiɐ	
clanking	n.	tɐŋlhɐŋlhɐŋ	
clap one’s hands	v.	kodɐ̃	
clap	v.	ʨʰiɐdi	
classifier for a mouthful of liquid food	n.	mu	
a mouthful	npr.	dɐmu	
classifier for a piece of land or a group of people		ʨʰiɔ	
classifier for an episode		-tɛ̃tsɛi	
classifier for animals		ʨiɐŋ	
classifier for backpacks		bu	
classifier for beating or striking		dɐntsi	cf. Chinese Dùn 顿
classifier for bite		tsɐŋdi	
classifier for books		tʰə	
classifier for buildings, mountains, clothing, affairs, etc.		ʨiɐ	
classifier for Chinese characters, sentence, articulation, etc.		nɐŋ	
classifier for cloth		ju	
classifier for cups of drinks	n.	tʂuɐŋ	
classifier for either one of the objects that occurs in a pair		pʰɐ	
classifier for people		pɛi	
classifier for rivers		kʰɐ	
classifier for statue		ʨʰyo	
classifier for the number of months (’li), a month	n:qual.	dɛ’li	
classifier for the times of doing something		pʰɔ	
classifier for trees		pu	
clay	n.	’ɳɔpɐ	
clean	adj. pos. adv.	tsɐŋmɐŋtsɛi; tsɐŋ	
clean up	v.	kʰəɕiʥiɔ	
clean up, sweep	v.	ʨʰiɐ	
clean up	v.	wutsɐŋku	
clear	adj. adv.	guɐntʂɐtsɛi	
cleft lip	n.	əʂui	
clench one’s fist	v.	ko’ɲynɐŋjitɐŋku	
clever	adj.	dʐɐ	
cliff	n.	’lɐ̃χɐŋ	
cliff	n.	gəutsi	
climb upwards	v.	tʰutʂɐ	
clip something in the armpit	v.	jɐtʂimɛjigəku	
close, near	adj. adv.	nɐŋpʰɐ	
close, not long in time	n:qual.	dɐn’ɲin’ŋɐŋmɛtsʰiɛ	
close one’s eyes	vpr.	niɐ̃mi	
close the door (obsolete)	v.	guʥiɔ	
close the door	vpr.	mɛnwukʰyɔ	
close	v.	kʰyɔ	
cloth	n.	ʐɛi	
black cloth	n.	ʐɛigɐntsʰɛi	
a piece of cloth	n.	ʐɛidəju (eitʰer 10.67m or 9.33m)	
a piece of cloth winding around the head	n.	tʂɐntʂʰi	cf. Chinese Chánzi 缠子
a piece of red cloth	n.	ʐɛijinχindəju	
cloth shoes	n.	ʐɛidʐi	
clothes, upper garment	n.	dz’ɛwɛ	
a whole set of clothing	n.	gutsɐŋlitɐ	
a suit of clothing	npr.	dz’ ɛwɛdɐʨiɐ	
cloud	n.	ʐoŋkuɐn; wũpə; mũbə	
clutch	v.	ŋuɐ; wɐdi	
coal	n.	mɛi	cf. Chinese Méi 煤
cockroach	n.	ʥ’iɐŋβuʐu	
cocoon	n.	kʰɔkʰɔ	
coffin	n.	gɐŋ’mu	
cohabitant	n.	nɐŋdzũ	
coin	n.	zuŋtsʰɐi	
cold	adj.	kʰuɐŋ	
cold season	n.	guɐnkʰu	
collapse	v.	lɔ	
collar	n.	guɬuŋ	
collect	v.	kʰəkʰə	
college	n.	tɐɕyə	cf. Chinese Dàxué 大学
colorful cloth	adj.	ʐɛitʂʰəkɛitsɛi	
colour	n.	dɔkʰə; dɔkʰu; tsʰɐntsi	
colourful	adj.	tʂʰəkɛitsɛi; tʂʰɛikɛitʂʰəkɛitsɛi; dʐəmindʐəmɛ	
comb	n.	tʂu; tʂutsi	
comb	v.	tʂu	cf. Chinese Shū 梳
comb the hair	v.	wɐn’jɐntʂu	
come	v.	hɛ	
come again	vpinfl.	dɐhɛ	
come back	vpinfl.	dɐhɛ	
come downstairs	vpinfl.	dɐmihɛ	
come downward	v.	mihɛ	
come downwards along the same course (after one has gone upwards)	vpinfl.	dɐmihɛ	
come in	pder.	jihɛ	
come in along the same course (after one has gone out)	vpinfl.	dɐjihɛ	
come out along the same course (after one has gone in)	vpinfl.	dɐwuhɛ	
come upward	v.	tʰuhɛ	
come upwards along the same course (after one has gone downwards)	vpinfl.	dɐtʰuhɛ	
Come here!	pder.	hɛ’wɛ	
commissioned army officer	n.	’mɐmimɛpɐ̃	
commitments	n.	dɐnɖɐ	
common cold	n.	g’utsɛipʰɛpʰɛtsɛi	
companion	n.	ʐɔpu	
compare	v.	tuipibɛi	cf. Chinese duìbǐ, 对比
competent	adj.	guluŋtʰɐn	
complete	adj.	gudʐui	
complete	vpr.	bɛitsʰu	
completely	adv.	tʰəutʰəugəu(gəu)	
complicated	adj.	χɐŋ	
compost	n.	ʁ’ɐn	
comprehensive	adj.	gutsɐŋlitɐ	
computer	n.	diɐnnə	cf. Chinese diànnǎo 电脑
concave	n.	kʰɔkʰɔ	
conceal	v.	jipɛ	
confused	adj.	lusumɛ̃	
connect	v.	sɐ	
conserve	v.	zuʐu	
constitution, build	n.	ʐiʨiɐ	
consult	n.	dʐuigə	
consult	v.	minkʰɐŋ	
consume	v.	dʑ’iɐ	
contagious	vpr.	ʥiʥibɛi; ʥilujɐn	
contain	v.	tʂʰuɐŋ	
convenient	adj.	ʥiɐn	
cook by directly putting raw food in fire	v.	pɐŋ; pɔ̃	
cook dishes	v.	dzɐnbɐbɛi	
cook	n.	jɔbu; ʈhəŋki	
cool	adj.	ʁoʁotsɛi	
cool	v.	pɐmu	
cool water	n.	tʂuŋpɐ	
copper	n.	dzɐŋmu	
coral	n.	dʐiʐi	
corn bread	n.	yu’mɛb’ɔlɔ	
corn cob	n.	yu’mɛpɔpɔ	cf. Chinese Yùmĭ Bàngbang 玉米棒棒
corn	n.	yu’mɛ	cf. Chinese yùmĭ 玉米
corner	n.	zukʰɐ	
corner of clothes	n.	guɬuŋ	
corpse	n.	’mɐŋ	
corridor	n.	tsʰɐilhɐŋtsi	
cotton	n.	mɐ̃χɐ	cf. Chinese miánhuā 棉花
cotton coat	n.	mɐ̃χɐtʂʰipɐ	
cough again and again	v.	kʰyʂukʰybɔbɛi	
count	v.	ʥ’iɛ	
country	n.	suʨʰiu	
country road	n.	φuʨiɐ	
countryside	n.	huŋtsʰu	
courage	n.	dɐŋ’jɐŋ	
cover	n.	kʰəkʰə	
cow	n.	bə’mu	
cowardly	adj.	dɐŋ’jɐŋni	
cowpea flour	npr.	ʨiɐŋtəupʰɛ	
cowpea	n.	ʨiɐŋtəu	
crab apple flower	n.	lɛisimintɔ	
craftsman	n.	lɐto	
crane	n.	ʥiɔ’wɐŋ	
crawl	vpr.	bəbəʂiʂi	
creep, crawl	v.	tɕʰytɕʰymu	
crematory	n.	doso	
crippled	adj.	kuɐ’jɛ	
crisp	adj.	kʰɔsɔlɔtsɛi	
criticise	v.	dʐɔ	
crop expertise	n.	liɕiɐn	
crop harvest decrease	vpr.	litʰɔɳiɐn	
crop	n.	litʰɔ	
cross legs (in the old times only people of some importance can do this)	v.	d’ɐnd’ɐnbɛi	
cross talks in public places	n.	lũ’mindʐĩ	
cross-eye	n.	niɐ̃ɕiɛ	
crossing	n.	jitʰuŋwutʰuŋ	
crow	n.	gɐ’li	
crowd	n.	mũminmɐŋ	
cruel	adj.	dʐu; sɐnnihɐŋ	
crush	v.	ʨʰiuŋ; tʂʰuŋ	
cry	v.	gɔ	
cuckoo	n.	kuku	
cumin	n.	’ɐntʂi	
cunning	adj.	gui	
cup	n.	pɛipɛitsɛi; tʂuɐŋ	
cupboard	n.	bɐŋ	
curio	n.	ŋɐnbuŋɐn’nɐ	
currency	n.	dzɔ	
curse	n.	mɛlɐŋ	
curse back and forth	v.	dʐɔʂudʐɔbɔ	
curse each other	vpr.	dʐɔdʐɔbɛi	
curved stone or iron leg of the tripod props beneath a wok	n.	dzɐŋluŋ; dzɐnlhuŋ	
customer	n.	dzɔ’ɲiɐŋ’wu	
cut firewood	v.	sɐn’nyŋ	
cut the cackle	v.	kʰɐpɐniɐntsilɛ	
cut the vegetable	v.	dzɐnbɐmido	
cut	v.	do; gə	
cut wood	v.	’ɲyŋ	
Cyclobalanopsis glauca (Thunb.) Oerst	n.	dzisɐn	
cymbals	n.	ʨʰiɐnlhɐ	
cypress, cedar (the leaves of which is burned as incense to worship the God)	n.	ʂɔpu	
Dàdù River 大渡河	n.	nyɐŋtʂi	
damage	v.	dɐŋhɐŋbɛi	
Dānbā 丹巴, places where Jiāróng people live	name.	ʐu’mɛi	
dance	v.	dʐuɐidʐuɐibɛi	
dandelion	n.	gəutsipɐ	
Dào	n.	tɔ	
Dàofú 道孚	name.	ɖə’wu	
dare	v.	’ɲy	
dare not eat	vpr.	gomɛ’ɲy	
dark	adj.	nigɔʐɔ	
dark brown and blue	n.	məpu	
dark cloth	n.	ʐɛigɐntsʰɛi	
