English gloss	Part of speech	Guiqiong	Chinese loanword
open one’s eyes	v.	niɐ̃wuki	
open the door	v.	guɕi (obsolete); mɛiwuki	
open the lid	v.	kʰəkʰəwuhɐ	
opening	n.	dʐɐbɔ	
orientation	n.	ʨʰyoʐitsʰɐŋʨiɛ	
orphan	n.	duʐubuʐi	
other	adj. pron.	kʰukʰu	
other people	pron.	’inɐ; kʰukʰupɛi	
otter	n.	tʂʰisɐŋ	
otter hide	n.	sɐŋpɐ	
ought to	modal verb.	kɛ	
our family	pron.	zogəu	
our home, our place	n.	ŋəgukɐn	
our hometown	n.	ŋəgukɐn	
outgoing	n:qual. adj.	dʐuɐdɐ	
outside	n. adv.	tʂʰimu; tsʰimu; ʨʰiumu	
outside part of the underground floor of a Guìqióng building	n.	buʐo	
overfilled, overflowing	adj.	ʥiʥibəbə	
overhead	adv.	bənɐŋ; g’u	
owe debt of gratitude	vpr.	dʐuɐnbuʥiɐn	
owl	n.	wupu	
ox (lit.)	n.	’lɐŋ	
ox	n.	ni	
ox food	n.	niz’ɛi	
ox keeper	n.	niʑi’wu	
ox killer	n.	nisɛ’wu; nisɐi’wu	
ox shit	n.	ni’nɐŋ	
a lump of ox shit	npr.	ni’nɐŋdədzu	
ox skin	n.	nipɐpɐ	
pacing	n.	ŋɐŋ	
a pace	n.	dɐŋɐŋ	
pagoda	n.	ʨʰytɐn	
pain	v.	ʨʰi	
pair (a)	n:qual.	dətsuŋ	
a pair of shoes	npr.	dʐidətsuŋ	
paint	v.	ʁi	
paintings	n.	χuɐ	cf. Chinese Huà 画
pal	n.	dzu	
palatable	adj.	dʐuɐŋ	
palm	n.	koʂikɐ; lɐtsʰo	
panic-stricken	adj.	bɐ̃bɐ̃dz’ɐndz’ɐn	
pant for breath	vpr.	’wɐŋʨiɐkɛmu	
pants, underpants, undergarments	n.	nɐŋgui	
paper	n.	ʂo’wu	
parents	n.	pʰɛini	
parrot	n.	jɐki	
part of the underground floor of a Guìqióng building	n.	tʰɔʐo	
pass	v.	bo	
pass away	v.	mɛ̃sɐŋ	
pass on	v.	pʰɐn	
pass the bridge	v.	zɐŋbugu	
pass the message	v.	dɐŋdəpʰɐn	
past	adv.	gəbə	
past days	npr.	wubɐtsʰumɛʐɐ	
patch	n.	pɐʨiɐ; pɐʨiɛ	
patch up	vpr.	pɐʨiɛʨiɐ	
path	n.	φuʨiɐ	
patient	adj.	kʰogɛ	
patter	v.	mə’ni’lo	
pause	v.	ʨʰiu	
paw	v.	dɛi’mu	
pay back	vpinfl.	dɐkʰɐŋ	
pea	n.	ɲiɔpʰɐŋlhɐŋ	
peaceful times	n.	nɐŋʐugɛ	
peach	n.	dz’isi; dʐ’isi (Chǎngmǎ)	
a peach	npr.	dz’isidɐ’jɐŋ	
peacock	n.	məʥiɔ	
pear	n.	linkʰin	
peasant	n.	ʥiɐ̃libɛi’wu	
peck	v.	tʂɔ	
peel	n.	pɐpɐ	
peel of groundnut	n.	kʰɔkʰɔ	
peel off	v.	ʂi	
pen made of bamboo strips	n.	’ɲyŋku	
penis	n.	bɛ	
penny	n.	zuŋtsʰɐi	
people bustling about	n.	jikʰywukʰybɛi’wu	
people	n.	min’mɐŋ	
people of the same family	npr.	dɐʥ’iɐŋmũ	
people and families	n.	ʥ’iɐŋmũ	
people working in the field	n.	ʥiɐ̃libɛi’wu	
perfective aspect marker		-lɛ	
perpendicular	adj.	tʰutsu	
persimmon	n.	guɐndʐuɐŋ	
person	n.	mũ	
a person	n.	mũdɛpɛi; mũpɛi	
pervade	v.	wutʂuŋ	
perverted	adj.	’nɐŋʑɔsĩʑɔ; ʑo	
pest	n.	βu’nɐ	
pestle	n.	z’uŋpu	
petrified	adj.	dɐnmu; dɐ̃mu	
Phasianus colchicus, long-tailed crowned bird	n.	ʥihɛʥɛ	
phlegm	n.	ʐ’ɐpɛi	
physician	n.	’mɛ̃kʰɐŋ’wu; ’mɛ̃bɛi’wu	
physique	adj.	ʐiʨiɐ	
Picea brachytyla (Franch.) pritz. (type of spruce)	n.	dzɐŋsɐn	
pick an apple, a pear, etc. from the tree	vpr.	dɐ’jɐŋjikɐ	
pick up and glean leftovers in the field to exchange or sale for mad money	v.	sətʂũʨiɐ’wu	
pick up food with chopsticks	v.	gə	
pick up	v.	ʨikɔ; wukʰəkʰə; kɐ	
pierce	v.	di	
pig	n.	pʰɐ	
the year of pig	n.	pʰɐlo’ŋɐŋ	
pig keeper	n.	pʰɐʑi’wu	
pig killer	n.	pʰɐsɛ’wu; pʰɐsɐi’wu	
pig trotters	n.	pʰɐŋɐ	
pig trough	n.	pʰɐ’ŋu	
piglet	n.	pʰɐtsɛi	
pile	v.	βu	
pile up	v.	tʰũbɛilɛʨʰiu	
pilfering	n.	kʰəɕilhɐɕi	
pillow	n.	χɐŋkʰi	
pimple, small raised spots on the body	n.	ʨuəʨuətsɛi; tɐtɐ	
pin money	n.	z’ə	
pinch	v.	ʨĩdi	
pine	n.	tʰɐŋkɐlɐ	
pit	n.	bətuŋ; kʰɔkʰɔ	
pitfall	v.	jɔtsʰɔ’wu	
places like that	npr.	jiki’wumɛsuʨʰiu	
plainly	adv.	niɐnniɐntsɛi	
plan	n.	sɐŋluŋ; ʐɐŋ	
plan to buy	v.	’ɲyɐŋʐɐŋbɛi	
planet Venus in the evening	n.	mɐŋɲikʰəʨʰə	
planet Venus in the morning	n.	mɐŋsɐŋkʰəʨʰə	
planets of the earth visible in the morning	n.	gəməmɐndʐu	
plant	v.	tsʰɔ; dz’ɔ	
plate	n.	ʨiə	
platform	n.	sɐnhɐŋ	
play jokes	v.	guʐubɛi	
play the hiding in hide-and-seek	v.	nɐnɐbɛi’wu	
play the instrument	v.	ʨiɐʂitɐ̃	
play the seeking in hide-and-seek	v.	lulubɛi’wu	
play	v.	gulubɛi’wu; gulubɛi; guʐubɛi; suɐn	
play wind instruments	v.	mo	
playing	n.	gulubɛi’wu	
plot against	vpr.	dɐŋhɐŋ bɛi	
plough	n.	tʂʰuŋ	cf. Chinese Chán 镵
different parts of a plough	n.	jɔpʰə, kʰu’lu, tʂʰuŋŋɐʥiɐ	
plough rope	n.	gədʐuɐ	
pluck the feather and make it clean	v.	tsʰɐŋɕilɛwutsɐŋku	
pluck	v.	ɕi; kɐ	
plum	n.	lhitsɛi	
plump (of kernels), full, plump-eared	adj.	’wɐŋ	
ply tricks on	vpr.	dɐŋhɐŋbɛi	
pockmark, pockmarked face	n.	mɐtsi	cf. Chinese Mázi 麻子
point	n.	zɛzɛ	
poison	n.	tu	
poisonous	adj.	tubu	
pomegranate	n.	ɕiɐn’luŋ	
pond	n.	tsʰo	
poor	adj.	pʰuŋ	
the poor (those without money)	n.	dzɔmɛ̃’wu; mɛ̃’wu	
poplar	n.	βuʐi	
pork	n.	pʰɐɕi	
porter	n.	ʥiɔkʰukʰu’wu	
portrait	n.	pəʨiɐ	
possessions	n.	bəʐi; bɛi’libəʐi	
pot cover	n.	dɐŋŋə; dɐŋʁə	
potato	n.	jɐŋy	cf. Chinese Yángyù 洋芋
potential mood marker		-luʨi	
poultry	n.	nɐ	
pound	v.	ʨʰiuŋ; tʂʰuŋ	
pour alcohol	vpr.	ɐʐɐtuŋ	
pour into	v.	mituŋ	
powder	n.	pʰɛ	
powerful	adj.	kɔ	
practice abstinence from meat	v.	z’əzɐibɛi	
prayer wheel	n.	lhɐkʰu	
precipitation	n.	ʨʰitʂʰi	
precipitous	adj.	lɐ̃hɐŋ; lɐ̃tʂʰihɐŋ	
preconception	n.	sɐŋʐuŋ	
preconceive	v.	sɐŋʐuŋbɛi	
predict if two people are good match in marriage according to their birth dates by gəmə	vpr.	lo’minʥ’iɛ	
predict one’s future, tell one’s fortune by gəmə at the birth of a child	vpr.	ʥidɐnʥ’iɛ	
pregnant	adj.	ɛ’lɛtsɛibu	
present	n.	ŋɐ	
press	v.	ʥiɐ	
press, rush, urge	v.	kʰuɐi	
pretend not to be	v.	mɛʐiʂu’wu	
previous two or three days	adv.	siɳisɐŋni	
previously	adv.	gəbə	
prey	n.	ʐidɐ	
price	n.	pʰu	
prick	v.	ŋui	
priest	n.	gəmə	
prior	n. adv. pos.	ʂikɐ; ʂi	
progressive aspect marker		su- ~	
prohibitive suffix		tʰɐ	
prolix	adj.	ɕiɛdʐibədʐi	
prominent in social status	adj.	dzətʰɐŋdɐ	
promise to marry one’s daughter	v.	dz’imɛikʰɐŋ	
promise	v.	dʐitsi	
promptly	adv.	wubugəu	
prompt and efficient	adj.	ʂuɐŋʂuɐŋtʰɐtʰɐ	
prop against	v.	wutɐn	
prop	v.	tɐn	
Proso millet	n.	ɳi’mi	
prospective aspect marker		-lɔ	
prosper	v.	pʰɛ͂	
protrude	v.	ɕiɔ	
proud	adj.	mɐndʐĩdʐiɲi	
proverbs	n.	kʰəpɛi	
provide for the children to grow	vpr.	yɔlɛdɐku	
provide for	v.	yɔ	
prune away	v.	kʰɐtɐtɐ	
Pseudois nayaur (bharal)	n.	ʐigui	
public place	n.	kʰiɐlhɐ; tsiʐi	
puff	v.	β’u	
pull	v.	guɐn	
pull at	vpr.	dɐmunɐŋmiʥ’iɐ	
pull down	pder.	mikɐ	
pull out from a lower place	v.	tʰutʂʰuɛ	
pull out teeth	v.	χuikɐ	
pull towards oneself	pder.	jĩguɐn	
pull up weeds	vpr.	niɔɕi	
pulse	n.	tsʰo	
punch a hole through the nose	n.	nilhuŋpʰɔ	
punch a hole	v.	pʰɔ	
punch somebody with a fist	v.	dəʐuŋdi	
pungent	adj.	ɕiu	
purchase	vpr.	dɐn’ɲyɐŋ	
purple	n. adj.	məji	
push and squeeze	v.	gəgətsʰɐi	
push it off oneself	v.	wutʂʰɔ	
push	v.	ʨʰiɔ; tʂʰɔ	
put aside	v.	ʨʰyɛ; wusɔ	
put down a message	n.	dɐŋdəbɛi	
put in a lower position	v.	mi’muku	
put something into the cupboard	v.	bɐŋtʰəu	
put two things close together	v.	nɐŋpʰɐjitɛ̃	
put	v.	ʨʰiu	
pyrotechnics	n.	b’uʨʰiɐŋtɛ’wu	
Qiangic card	n.	pʰɐi	
Qián 钱, a measurement unit of weight smaller than Liǎng 两, 10 Qián make a Liǎng 两.	n.	hɐn	
quantitatively enough	adj.	gə	
quarrel	v.	tsʰɛtsʰɛbɛi	
Quercus griffithii Hook (type of oak)	n.	wopɐ	
questions and answer	n.	lɐnkʰɐŋ	
quick	adj.	ʂuɐŋkutsɛi; ʂɐŋ	
quickly	adv.	ʂuɐŋkutsɛi; ʂɐŋʂɐŋtsɛi	
quick-witted	adj.	’lotʂuɐnjɐn	
quiet	adj.	bɐ̃mɐbɐ̃ ʂɐŋmɐʂɐŋ	
quietly	adv.	d’ɐgɛitsɛi; gəujɐtsɛi	
quite	adv.	gɐlhɐ	
rabbit (lit.)	n.	jibɛi	
rabbit	n.	ʐikuŋ	
race	v.	χɛχɛbɛi	
rags	n.	dz’ɛwɛpɐtɐ	
rain	n.	dz’ɐŋ	
a drop of rain	npr.	dz’ɐŋdɐzɐ	
rain cats and dogs	v.	dʐɐtʂʰidʐɐmu	
raincoat	n.	ʨʰiəgui	
rainfall	n.	ʨʰitʂʰi	
rainy seasons	npr.	dz’ɐŋwuimɛʐɐ	
raise	v.	pɐ; tʰutʰəuku	
raise hands	v.	kotʰupɐ	
raise the salary	v.	mɛipʰukʰɐn	
rapeseed, rape	n.	tsʰɐitsɛi	cf. Chinese Càizi 菜籽
rash	adj.	dʐuɐnɕiɐntsəmɛ̃	
rat	n.	tsʰui	
raw	adj.	ʐɐŋkuɐ	
raw turnip	n.	ʨʰiɐntʂʰu	
reach one’s hand	v.	kowuʨiɛ	
reach out	v.	ʨiɛ	
reach	v.	dʐɔ̃; dʐɔ̃gɛ̃	
reach, arrive	v.	dʐui	
can’t reach	vpinfl.	dʐɔ̃məkɔ; dʐɔ̃mɛgɛ̃	
read a book aloud	vpr.	ʥ’iχi	
read a book, learn from a book	v.	dʑ’itsɐn	
read aloud	v.	χi	
ready to serve, well-cooked	adj.	’mɛi;’min	
real	adj.	ʥiɐn	
reap	v.	kɐ	
rear	v.	ʑi	
rear animals in pens	v.	wo	
rear pig	v.	pʰɐʑi’wu	
reason	n.	dʐəulu	
receive	v.	tʂɐ	
recently	adv.	dɐjɐ	
recite the scriptures said to be imported from India	v.	mə’ni’lo	
recline	vpinfl.	wuɬɐŋɬɐŋ	
recognise	v.	si	
recollect	vpr.	ʂikɐmɛdɐjidɛigi	
recover from illness	v.	ʨʰipʰɐ̃	
recover	v.	pʰɐ̃; pʰɐi	
red adj.	n.	’jinχin	
red paper	n.	ʂo’wu ’jinχin	
reduce	vpinfl.	dɐniɐn	
refine oil	v.	mə’nɐʨiɐ	
region	n.	pɔtɔ	
regret	v. n.	dʐu; ɳiɐngi	
relatively	adv.	tɔji	
relatives	n.	tsʰɐŋlhɐŋkʰu; tsʰɐŋʐɐŋkʰu	
release	v.	wuɬɐŋ	
reliable	adj.	ʁ’ɔlubu	
reluctantly	adv.	bədʐɛitsɛi	
rely	v.	tɐn	
remain	v.	tsɐn	
remove from	v.	kɐ	
remove the hair of	v.	g’uɐi; tsʰɐŋkʰuɐi	
remove the root	v.	nɛ’wukɐ	
remove the skin of	v.	ʂi	
remove the walnut from the tree	v.	g’uŋluŋdɐ̃	
rendezvous	n.	min’mɐŋtsʰɔ’ji	
rent the land	v.	ʐɐntʂubɛi’wu	
renter	n.	ʐɐntʂubɛi’wu	
repeatedly	adv.	dulɛ	
reply	n. vpinfl. v.	dɐɕiɛ	
research	n.	dʐuigə	
resemble	v.	yəu	
resemble	n:qual.	tʂʰidʐiʂu’wudɐʨiɐ	
reservoir	n.	tʂʰibɐŋ	
respect	n.	dɐibə	
responsibility	n.	bɛikɛ’wu	
rest on	v.	wutɐn; guigɔwutɐn	
rest	v.	gɐsɐŋ	
rest	v.	tɐn	
restaurant owner	n.	z’ ɛiki’wu	
return the respect, good will, hospitality, kindness, etc.	v.	dɐibədɐʨʰi	
return	vpinfl.	dɐji	
return	vpinfl.	dɐkʰɐŋ	
reveal	v.	bɔ	
rhododendrons	n.	dɐ’mumintɔ	
rib	n.	nɐŋʨiɛ	
rice	n.	tɔ	
rice porridge	n.	tɔʁɐn	
rice steamed with corn flour	n.	’mɛ̃hɐn	
rich dress	n.	guʨiɐntʂʰipɐ	
rich people	n.	dzɔjɐn’wu	
riddle	n.	dʐu	
ride	v.	dzĩ; dzong	
ride a horse	v.	βudzĩ	
ridge	n.	guɐnpʰɐ	
right	adj.	ʐɐ̃; ʐɐn	
right away	adv.	ʥiɐŋzu; niɐŋ’mɛilɛ	
right side	n.	dʐuɐŋlhɐpʰɐ	
ring	n.	mɐŋtʂʰɛtsɛi	
rip	v.	b’ɛ	
ripe	adj.	’mɛi; ’min	
rises well (of rice)	v.	zə	
riverside	n.	tʂʰibɐŋ	
river	n.	tʂikʰɐ	
a small stream	npr.	tʂikʰɐtsɛi	
road	n.	φuʨiɐ	
a road	npr.	φuʨiɐpʰɐ	
road side	n.	gɛʥiɛ	
roast	v.	kʰə	
rob	v.	’yo	
robber	n. v.	’yo ’wu	
rocky mountain	n.	pʰɐŋ’wɐŋ	
roe, Chinese water deer (Hydropotes inermis)	n.	χɛi	
roll up (of smoke, fume, etc.)	v.	muhoɕiumu	
roll	v.	jilulu	
roll into a mass by kneading	v.	dəʥ’iuʐu	
room	n.	dʐuikʰɐn	
root	n.	nɛ	
root of a tree	n.	sɐnpumɛnɛ	
roots	n.	kɛnkɛn’məʐi; nɛ’wu	
rope	n.	ʐɐpu	
a small piece of rope	n.	ʐɐnkʰɐ	
rosary	n.	tʂʰuɐn’wu; tʂʰuɐn’wɐn	
rot (of wood)	v.	bu; lɐn	
rotate	v.	suɐn	
round	adj.	ku’lu’lutsɛi	
round	adj.	lɔlɔ; lɔlɔtsɛi; niɛ	
round gourd	n.	lɔlɔkuɐ	
round radish	n.	ʨʰiɐnluŋpu; ʨʰiɐn	
round the clock	adv.	mɐŋsɐŋsɐŋ	
round up	v.	’lɔ; ’lɔ’lɔ	
rub one’s hands	v.	kowuhəhə	
rub	v.	hə	
rubbish	n.	ʨiɐʨiɐ	
Rubus parvifolius Linn (type of berry)	n.	ʁɛisi	cf. 竻 lè
rules	n.	kətʂʰi	
run fast	vpr.	χɛlɛtʂʰiʂɐŋ	
run, escape	v.	lɐ	
run	v.	χɛ	
rust	n.	tsuŋ	
sack	n.	kʰi	
sad	adj.	sɐɕiu; ʂiχui	
sagacious	adj.	guluŋtʰɐn	
salary	n.	mɛipʰu	
saliva	n.	ʂɐpɛi; ʐ’ɐpɛi	
salt	n.	tsʰɛi	
salty	adj.	kʰi	
same	adj.	dɐʐɐŋ	
same place	n.	suʨʰiudɐʨiɐ	
same thing	n.	dɐkʰɐ ’wu	
same type of things	n.	dɐtɕiɐ’wu	
sandbag	n.	dɛitʂi	
sanguinary	adj.	’məsə mə’lɔ	
sauerkraut	n.	ʥiubu	
sauerkraut soup	n.	dzɐnbɐtsi	
sausage	n.	ɕiɐŋɲo	
save	v.	ʨiu	cf. Chinese Jiù 救
save bit by bit	v.	z’ɔ	
save money or property	v.	səz’ɔ’wu	
save pin money by gleaning wheat	v.	z’əʨiɐbɛi	
save	v.	wusɔ; wuzuʐu	
saw	n.	ɕiɐnsɔ	
saw	v.	gɐi	
say	v.	ɕiɛ	
sayings	n.	kʰəpɛi	
scale	n.	kuɐn	
scarce	adj.	ɖɐŋ	
scarlet	adj.	mətsʰitsʰi	
scatter	v.	wutʰɐn	
scent	n.	dʐitsɐŋ	
school	n.	ɕyəɕiɔ; ʥ’itsɐn’jikɐn; ɬəʐuŋ	cf. Chinese Xuéxiào 学校
scissors	n.	gətu	
scold	v.	dʐɔ	
scoop	n.	tʂʰuɐntsɛi	cf. Chinese Chǎnzi 铲子
scorch	v.	lə	
scratch	v.	wɐ; wɐdi	
sea	n.	ʥiɐŋtsʰo	
seabuckthorn fruit	n.	tsʰinɐdzigɐ	
search for	v.	lu	
season	n.	kuɐntə	
second floor of a Guìqióng building used as sleeping room or storage place for precious	n.	bətsɐ	
second day of a month	npr.	ɳidʐuɐŋ	
second generation	npr.	ɳitʂɐŋ	
second person plural imperative suffix		-so	
second person plural inclusive imperative marker		-li	
second son	npr.	ɛ’lɛtsɛibəməpɛi	
second time	npr.	ɳitʰɐngəu	
secret	n.	d’ɐgɛitsɛi	
secret purse	n.	z’ə	
secret quarters	adv.	d’ɐgɛitsɛi	
secretly	adv.	d’ɐgɛitsɛi	
sedan chair	n.	ʨiɐotsɛi	cf. Chinese Jiàozi 轿子
see	v.	dʑiɔ; dʐidʐuɐŋ	
seed	n.	tsui	
seedlings of cereal crops	n.	butsɛi	
seesaw	v.	’wutsidzĩ’wũ	
select	v.	tsʰi	
self	pron.	ʐɐŋ; ʐɐŋsu	
sell	v.	ki	
sell up	v.	kitsʰukɔ	
sell	infl. ki’wu		
seller	n.	ki’wu	
semen	n.	ʁɐn	
send the letter	v.	dɐŋdəpʰɐn	
send	v.	ɕi; pʰɐn	
sense the fragrance, scent or odour of	v.	ɕiu	
sense the smell of	v.	χuŋ	
sentence-final negative polar item		sɐŋ	
separate	v.	ʥi	
September	n.	gɛibu	
serve as a government official	vpr.	pɐ̃ʨʰyo	
sesame	n.	tʂi’mɐtsi	cf. Chinese Zhīmázi 芝麻子
set	v.	bo	
set a pitfall	n.	jɔtsʰɔ’wu	
set fire	v.	mindɐbɐ	
set one’s mind at rest	v.	sɐŋmudi	
set up a family	v.	kʰu’wokʰuɐi	
set up a stick	vpr.	sɐnʨiɐmɛitsu	
seven	num.	’nin; dɐn; gui; a temporal unit	
of seven days	npr.	dɐntsʰidɐʨʰiɐ	
seven hundred	num.	dɐndʑiə	
seven months	npr.	’nin’li	
seven months	num.	gui’li	
seven o’clock	npr.	’ninʑiɔ	
seven thousand	num.	tuŋtsʰu’ninʥiɐŋ	
seventeen	num.	dʑiudɐn	
seventeenth day of a month	n.	giudɐn	
seventh day of a month	npr.	’nindʐuɐŋ	
seventy	num.	dɐntʂi	
seventy-eight	num.	dɐntʂizədʑiɛ	
seventy-five	num.	dɐntʂizə’ŋə	
seventy-four	num.	dɐntʂizəʐi	
seventy-nine	num.	dɐntʂizəgɛi	
seventy-one	num.	dɐntʂizɐdzi	
seventy-seven	num.	dɐntʂizədɐn	
seventy-six	num.	dɐntʂizədʐu	
seventy-three	num.	dɐntʂizəsɐŋ	
seventy-two	num.	dɐntʂi zɐɳi	
seven Yuán	npr.	ninpɐ	cf. Chinese currency
sew	v.	kʰui	
shade	n.	dʐikʰuŋ	
shadow	n.	wũpɛipɛitsɛi	
shady location	n.	ʁoʁotsɛi	
shake hands	v.	koχɔχɔbɛi	
shake	vpinfl.	wuɖəɖə	
shake	v.	ɖə	
shaman	n.	gəmə	
shameless	adj.	hɐ’limɐnyɐŋ	
shank	n.	mɐŋpɐ	
shape	npr.	kʰɐ’wuyəu	
sharp	adj.	ʨʰiɐŋ	
sharpen a knife	v.	tsʰɐisi; si	
shave	v.	g’uɐi;’ətsɐŋg’uɐi	
she	pron.	zo	
sheath of the knife	npr.	tsʰɐiʨʰiɐŋ	
sheep	n.	ʨʰiɐŋ	
shelf	v.	wuʨʰiudi	
shepherd, people tending cattle	n.	dʐo’jɐʁ’ɐ’wu	
shepherd of cattle	n.	niʁ’ɐ’wu	
shine	v.	tə	
shoe	n.	dʐi	
shoe mender	n.	dʐiʨiɐ’wu	
shoot at	v.	sɐŋ	
shoot at the target	v.	βɐ̃di	
short	adj.	’mu; kʰɔbuni	
short people	npr.	kʰɔbuni’wu	
shortcomings	n.	mɐdʐuɐŋ’wu	
should	v.	ʥiɐn	
shoulder	n.	tʂʰɐkʰo	
shout	v.	ʁɐ	
show	v.	ʂi	
show the way	v.	φuʨiɐʂi	
show a prospect of good harvest	vpr.	dɐlujɐn	
showy	adj.	kʰĩtsɛitʂʰi	
shrimp	n.	tʂini	
shrink	v.	ŋui	
shrink	vpinfl.	dɐmiɳiɐn	
shrivel (by frost, snow)	v.	ʨʰiɔ	
shroud	n.	ʂigui	
shudder	adj.	dɐŋ’jɐŋnikʰudzɐŋ; wutʰɐitʰɐibɛi	
shy	adj.	χɐ	
sickle	n.	sɔli	
side	n.	nɐŋʨiɛ	
sideways	adv.	wujujutsɛi	
sieve	n.	ʁɐʁɐ	
sifter	n.	ʁɐʁɐ	
silken costume	n.	guʨiɐntʂʰipɐ	
silkworm	n.	gukiɐn βuʐu	
silly	adj.	dɐnmu; kʰymɛ’wu	
silver	n.	’wuŋ	
simply	adv.	niɐnniɐntsɛi	
simultaneous aspect marker		ʂi	
sing	v.	’lo; tʂʰɐŋkobɛi; ʨʰiɐŋ	
sing a song	v.	də’lə’lo	
single man	n.	φutuŋ	
sip	vpr.	niɐnniɐntsɛidɐmuʥ’iɐ	
sisters	n.	’nɐŋtsɛiʨʰy	
sisters, daughters of a family	n.	nɐŋtsɛiʨʰy	
sit	v.	ʨʰyo; tʂʰo	
sit down	pder.	miʨʰyo	
sit exams	v.	kʰɐu	cf. Chinese kǎo 考
sitting and idling away	n.	ʨʰyo’wuʨiɐ	
situation	n.	ʈhəuʨʰyo	
six hundred	num.	dʐudʑiə	
six months	npr.	kʰɔ’li	
six	n.	kʰɔ	
six	num.	dʐu	
six o’clock	n.	kʰɔɲiɔ	
six thousand	num.	tuŋtsʰukʰɔʥiɐŋ	
sixteen	num.	dʑiudʐu	
sixteenth day of a month	num.	giudʐu	
sixth day of a month	num.	kʰɔdʐuɐŋ	
sixty	n.	dʐutʂi	
sixty-eight	num.	dʐutʂizədʑiɛ	
sixty-five	num.	dʐutʂizə’ŋə	
sixty-four	num.	dʐutʂizəʐi	
sixty-nine	num.	dʐutʂizəgɛi	
sixty-one	num.	dʐutʂizɐdzi	
sixty-seven	num.	dʐutʂizədɐn	
sixty-six	num.	dʐutʂizədʐu	
sixty-three	num.	dʐutʂizəsɐŋ	
sixty-two	num.	dʐutʂizɐɳi	
ski	v.	kʰu’wugəuʑiɐnʑiɛbɛi’wu	
ski	v.	ʑiɐnʑiɛbɛi	
skin	n.	pɐpɐ	
skirt	n.	’ɐʨʰiɐgui	
sky	n.	bənɐŋ	
slant	pder.	Jiju	
slant	v.	ju	
slash	v.	lɐ	
slasher	n.	ʂɐŋtu	
sleep	v.	ju	
slender	adj.	ʂɐnʂɐntsɛi	
slice	n.	guhɐ	
slight	adj.	gɔsulə	
slim	adj.	g’uɐndʐitsɛi	
slim	adj.	niɐnbuχɐŋ	
slim	adj.	ʂɐnʂɐntsɛi	
slingshot	n.	wutɔ	
slip	v.	dʑiɛ	
slip down	pder.	mĩʥiɛ	
slippery	adj.	ʥiɐŋ’mɐ̃tsɛi	
sloppy	adj.	dʐilumɛ̃	
slovenly person	n.	jĩguɐnwũχĩ	
slow	adj.	d’ɔ	
slowly	adv.	hɐmɐtsɛi; χɐmɐtsɛi	
slow-witted	adj.	ɖɐ̃mu	
small adj.	n.	ni; ni’wu	
small bag for carrying money, odds and ends	n.	zuʐi	
small birds	n.	tsʰitsʰi	
small earthenware	n.	mɐŋtsɛi	
small intestine	n.	bɛitɐŋ	
small pox immunization giver	n.	bɔɬɐŋ’wu	
small premature walnut	n.	g’uŋluŋ’ɐn’ɐntsɛi	
small river	n.	tʂikʰɐ	
small shoes	n.	dʐitsɛi	
smallpox	n.	sĩbɔ	
smash	v.	ʨʰiuŋ; tʂʰuŋ	
smell	v.	jiχuŋχuŋdi	
smiling	adv.	wuʁitsɛi	
smilingly	adj.	wuʁitsɛi	
smoke	n.	muho	
smoke	v.	dʑ’iɐ	
snack	n.	gotsɛi	
snake (lit.)	n.	dʐui	
snake	n.	tʂu	
snap	v.	tɕiɐ	
sneeze	v.	ʁ’ ətʂʰibɛimu	
snow	n.	kʰu’wu	
snow on the mountain top	n.	ʐĩgumɛkʰu’wu	
snow the whole day on	v.	kʰu’wukʰətɐnbɛi	
snub-nosed monkey	npr.	ɲiɔdʐigui	
so	adv.	du35lə	
so	adv.	Jiku	
so	adv. pron.	du35	
so frightened that one’s heart becomes cold	adj.	dɐŋ’jɐŋnikʰudzɐŋ	
so much	pron.	dətsi; dətʂi	
soak	adj.	tʰɐŋtʰɐŋ; tʰɐŋtʰɐŋtsɛi	
soft	adj.	ʥiɐŋmɛijɐŋtsɛi	
soft	adj.	ʥiɐŋmɛijɐŋtsɛi	
softly	adv.	ʥiɐŋmɛijɐŋtsɛi	
soil	n.	’ɳɔpɐ	
sold out	v.	kitsʰukɔ	
soldier	n.	’mɐmi	
sole for footwear	n.	titsi	cf. Chinese dĭzi 底子
sole	n.	gəpʰi; ŋəpʰi	
sole, under-surface of the foot	n.	ŋəpʰi	
solid	adj.	bə	
solid	adj.	gɐdɐlɐ	
solid waste from the body	n.	’nɐŋ	
solution	n.	dɐnŋɐn	
solve a riddle	v.	dʐuʨiɛku	
some	art.	ɲiɐ	
some children	npr.	ɛ’lɛtsɛiɲiɐ	
something taken for granted	n.	dudʐi’wu	
somewhat uncomfortable	adj.	dɛʨimɛʥiɐn	
son and daughter	n.	buʐi	
son	n.	tsɛi	
song	n.	də’lə	
son-in-law	n.	nɐŋdzũ	
son-in-law	n.	ʐipu	
sons and daughters	n.	bəbuʐi	
sons	n.	tsɛiɲ’iɐ	
sons of a common ancestor	n.	bu	
sorghum flour	n.	gəpɛipʰɛ	
sorghum	n.	gəpɛi	
sort out	v.	sɛidɐ	
sound	v.	ʁɐ	
sour	adj.	dzɐŋ	
sour	adj.	dzɐŋ’wu	
sources of unhappiness	n.	dulu	
south	n.	ʈhəu	
south direction	n.	ʈhəuni	
south side of the mountain	n.	niɐnlɔ	
sow (e.g. wheat, barley, soybean, etc.)	v.	χəu; ʁ’əu	
sow down	pder.	miχəu	
