bird	fua	fua	fua	fo	fua	hu	hu	hu	huʔ	huʔ	fu	hua	hua
insect	pə̆tʃoo	pə̆sija	bĕtʃoo	bĕtʃoo	bĕtʃoo	phi	phy	phy	saŋdʒoʔ	–	phu	khroŋtʃuŋ	phu
cockroach	sarigau	sarigau	sarigau	sarigau	sarigau	butʃuluŋ	butʃuluŋ	pitʃuruŋ	batʃɾuŋ	pătʃhuŋ	zaŋzikma	zulu	tʃhiʔduŋ
bee	tʃəmut	tʃəmut	tʃəmut	tʃəmut	tʃəmut	tʃidʒemo	tʃhimu	tʃi	tʃăŋkwĕm	tʃhankhom	tʃə̆khəma	tʃhutʃhu	tʃiʔtʃhuama
fly	mədʒo	mədʒo	mədʒo	madʒoumue	mədʒau	bitʃiŋ	bitʃiŋ	pə̆tʃi	tʃăpim	tʃăpim	tʃăpim	phu	phu
spider	raguŋ	raguŋ	raguŋ	raguŋʃejam	raguŋ	treʃum	preʃuŋ	phy	nant̪ɾisaŋsoŋ	phyadok	nant̪ɾisaŋsoŋ	phusaŋgumbu	saŋkopa
ant	ʃiŋiŋ	siiŋ	ʃiŋiŋ	ʃiŋiŋ	ʃiŋiŋ	sandʒok	sandʒok	saŋdʒo	saŋdʒo	săŋdʒoʔ	saŋdʒo	khintʃhoʔ	khetʃho
mosquito	tʃikitʃoŋ	tʃikitʃoŋ	tʃikitʃoŋ	mədʒou	tʃikdʒoŋ	kroŋtʃuŋ	kroŋtʃuŋ	tampi	tʃapimdʒoŋ	matʃhaɾ	timpuladʒo	kroŋtʃu	koŋtʃuŋ
head	kijatuŋ	khɾuk	khɾuk	khɾuk	khɾuk	kektoŋ	khɾuk	khruʔ	khɾuk	khɾuʔ	mathaŋ	khloʔ	kholo
face	midʒa	mizija	midʒa	mədʒia	mədʒija	doŋpu	bo	dʒuik	zyk	zyk	zyk	doŋpa	doʔ; doŋpa
neck	japu	ejua	ejua	jua	jua	orutuŋ	thuŋtʃe	rutuŋ	phə̆t̪uŋ	bəthuŋ	dro	hendoŋ	hiŋthoŋ
hair	khazijau	khazijaŋ	khazijaŋ	khazijaŋ	khazijaŋ	gə̆zaŋ	gə̆zaŋ	kə̆zaŋ	gə̆zaŋ	gidʒan	gə̆zaŋ	khuʃaŋ	khsaŋ
eye	mijak	mijak	mijak	mije	mijak	khebi	khŭbi	khaʔby	khambyi	kamby	khabə	khum	khumu
nose	ephuŋ	ephuŋ	ephuŋ	ephuŋ	ephuŋ	nophuŋ	nophuŋ	aphuŋ	mə̆phuŋ	maphuŋ	nophuŋ	heŋphoŋ	hempoŋ
ear	khõ	khõ	khõ	khõ	khõ	khutuŋtʃilak	gythyn	kə̆thyŋ	kə̆thyŋ	khutuŋ	gathuŋ	khutuŋ	khutuŋ
cheek	mədʒiamabau	mədʒiamabau	mədʒiamabau	mədʒiamabau	mədʒiamabau	dumpulok	tʃiphilok	mikiŋ	zykmĭkĭŋ	zyskŭk	dʒaphui	koptaŋ	d̪uŋpa
chin	ʃĕandəkhau	semtəkham	ʃĕandəkhau	semtəkham	semtəkham	gamdei	gamdei	tʃakho	gamthi	kamt̪i	nijokhu	kamduŋ	hiŋkuɾ
mouth	ʃijam	sem	sphun	sem	sem	natʃau	natʃau	tʃho	tʃutʃo	tʃotʃo	ditʃe	khotʃu	hotʃok
