English gloss	Chinese character	Proto-Southern Min 原始閩南語	Quánzhōu 泉州	Zhāngzhōu 漳州	Dàtián 大田	Jiēyáng 揭陽	Cháoyáng 潮陽	Léizhōu 雷州
learn	學	*oʔ8	oʔ8	oʔ8	ɤ4	oʔ8	oʔ8	ɔ4
learned	博	*pʰuok7	pʰɔk7	pʰɔk7	pʰoʔ7	pʰak7	pʰak7	pɔk7
leisure	閑	*õi2	uĩ2	iŋ2	iŋ2	ãi2	õi2	ai2
letter	批	*pʰoi1	pʰue1	pʰe1	pʰe1	pʰoi1	pʰoi1	pʰɔi1
lick with tongue	舐	*tsi4	tsi4	tsi6		tsi4	tsi4	tsi4
lie down	倒	*to3	to3	to3	tɤ3	to3	to3	
light	輕	*kʰin1	kʰin1	kʰin1	kʰeŋ1	kʰeŋ1	kʰiŋ1	kʰieŋ1
light green	綠	*lɯk8	liak8	lik8	loʔ8	lek8	lek8	liak8
lips	唇	*tun2	tun2	tun2	tueŋ2	tuŋ2	tuŋ2	tuŋ2
listen	聽	*tʰiã1	tʰiã1	tʰiã1	tʰiã1	tʰiã1	tʰiã1	tʰia1
litchi	荔	*noĩ6	nuĩ5	lãi6	leŋ1	li4	li4	li7
liver	肝	*kuã1	kuã1	kuã1	kuã1	kuã1	kuã1	kua1
long	長	*tõ2	tŋ2	tŋ2	tŋ2	tɯŋ2	tɯŋ2	tɔ2
loose	冗	*nɯŋ6	liŋ5	liŋ6	loŋ1	neŋ6	leŋ6	niaŋ1
lose (hairs)	脫	*tʰut7	tʰut7	tʰut7	tʰoʔ7	tʰuk7	tʰuk7	tʰuk7
louse	蝨	*sat7	sat7	sap7	saʔ7	sak7	sak7	sak7
low	下	*ke4	ke4	kɛ6	kia4	ke4	ke4	
lung[3]	肺	*pʰui5 ~ *hui5	hui5	hi5	pʰui5	hui5	hui5	hui5
make profit	趁	*tʰan5	tʰan5	tʰan5	tʰaŋ5	tʰaŋ5	tʰaŋ5	tʰaŋ5
mango	檨	*suõi6 ̃(?)	suan5	suã̃i6		suã̃i6	suã̃i6	
many	□	*tsoi6	tsue5	tse6	tse1	tsoi6	tsoi6	tsɔi1
marry	嫁	*ke5	ke5	kɛ5	ka5	ke5	ke5	kɛ5
mast	桅	*ui2	ui2	ui2	bui2	ui2	ui2	
meat	肉	*nhɯk8	hiak8			nek8	nek8	hip8
medical plaster	膏	*ko1	ko1	ko1	kɤ1	ko1	ko1	kɔ1
medicine	藥	*ioʔ8	ioʔ8	ioʔ8	ziɤ4	ioʔ8	ioʔ8	iɔ4
melon	瓜	*kue1	kue1	kua1	kua1	kue1	kue1	kuɛ1
metallic ore	礦	*kʰuoŋ5	kʰŋ5	kʰɔŋ5	kua3̃	kʰuaŋ5	kʰuaŋ5	kʰuaŋ5
mill	磨	*mo6	bo5	bo6	bɤ1	mo6	mo6	mɔ1
mirror	鏡	*kiã5	kiã5	kiã5	kiã5	kiã5	kiã5	kia3
miss (v.)	念	*niam6	liam5	liam6	liaŋ1	niam4	niam4	niam1
mist; fog	霧	*bu6 ~ *bou6	bu5	bu6	bu5	bu6	bu6	bɛu5
mix	攙	*tsʰam1	tsʰam1	tsʰam1	tsʰaŋ1			
mixed	雜	*tsap8	tsap8	tsap8	tsaʔ8	tsap8	tsap8	tsap8
mole	痣	*ki5	ki5	ki5	ki5	ki5	ki5	ki5
money	錢	*tsi2̃	tsĩ2	tsĩ2	tsiŋ2	tsi2̃	tsĩ2	tsi2
monkey	猴	*kau2	kau2	kau2	kɔ2	kau2	kau2	kau2
moon; month	月	*guøʔ8	gəʔ8	gueʔ8	bue4	gueʔ8	gueʔ8	buɛ4
mortar	臼	*kʰu4	ku4	kʰu6	kʰu4	kʰu4	kʰu4	kʰu4
mosquito	蠓	*maŋ3	baŋ3	baŋ3	baŋ3	maŋ3	maŋ3	maŋ3
moss	苔	*tʰi2	tʰi2	tʰi2	tʰi2	tʰi2	tʰi2	tʰi2
mother’s brother	舅	*ku4	ku4	ku6	ku4	ku4	ku4	ku4
mountain	山	*suã1	suã1	suã1	suã1	suã1	suã1	sua1
mouth	喙	*tsʰui5	tsʰui5	tsʰui5		tsʰui5	tsʰui5	tsʰui5
move	動	*taŋ4	taŋ4	taŋ6	taŋ4	taŋ4	taŋ4	tʰaŋ4
move by lever	撬	*kiau4	kiau4	kiau6	kiɤ4	kiau4	kiau4	kiau4
mushroom	菇	*kou1	kɔ1	kɔ1	ku1	kou1	kou1	kɛu1
mute	啞	*e3	e3	ɛ̃3	a3	e3	e3	ɛ3
name	名	*miã2	biã2	biã2	miã2	miã2	miã2	mia2
narrow	狹	*oiʔ8	ueʔ8	eʔ8	e4	oiʔ8	oiʔ8	ɔi4
near	近	*kɯn4	kun4	kin6	keŋ4	keŋ4	kiŋ4	kieŋ4
neck	頷	*am4	am2	am6		am4	am4	am4
nest	岫	*siu6	siu5	siu6	siu5	siu6	siu6	siu1
net	網	*maŋ4	baŋ4	baŋ6	baŋ4	maŋ4	maŋ4	maŋ4
new	新	*sin1	sin1	sin1	seŋ1	seŋ1	siŋ1	sieŋ1
nine	九	*kau3	kau3	kau3	kɔ3	kau3	kau3	kau3
north	北	*pak7	pak7	pak7	paʔ7	pak7	pak7	pak7
nose	鼻	*pʰi6 ~ *pʰĩ6	pʰi5	pʰĩ6	pʰi5	pʰĩ6	pʰĩ6	pʰi1
not	唔	*m6	m5	m6	ŋ1	m4	m4	
not to have; no; not	無	*bo2	bo2	bo2	bɤ2	bo2	bo2	bɔ2
oar	槳	*tsiõ3	tsiũ3	tsiɔ̃3		tsiõ3	tsio3	
obey	服	*hok8	hɔk8	hɔk8	hoʔ8	hok8	hok8	hɔk8
oil	油	*iu2	iu2	iu2	iu2	iu2	iu2	iu2
old (1)	老	*lau4	lau4	lau6	lɤ3	lau4	lau4	lau4
old (2)	舊	*ku6	ku5	ku6	ku1	ku6	ku6	ku1
one	蜀	*tsit8 ~ *tsɯk8	tsit8	tsit8	tseʔ8	tsek8	tsek8	ziak8
oneself	家己	*ka1ki6 (?)	kai4ki5	ka1ki2		ka1ki6	ka1ki5	ka4ki1
only	獨	*tok8	tɔk8	tɔk8	toʔ8	tok8	tok8	tɔk8
open	開	*kʰui1	kʰui1	kʰui1	kʰui1	kʰui1	kʰui1	kʰui1
open (eyes)	擘	*peʔ7		pɛʔ7	pa5	peʔ7	peʔ7	pɛ7
outside	外	*gua6	gua5	gua6		gua6	gua6	bua1
owe	欠	*kʰiam5	kʰiam5	kʰiam5	kʰiaŋ5	kʰiam5 ~ kʰim5	kʰeŋ5	kʰiam5
oyster	蠔	*o2	o2	o2	ɤ2	o2	o2	ɔ2
pair (of shoes)	雙	*saŋ1 ~ *siaŋ1	saŋ1	siaŋ1	saŋ1	saŋ1	saŋ1	siaŋ1
palm	掌	*tsiõ3	tsiũ3	tsiɔ3̃	tsŋ3	tsiõ3	tsiõ3	tsiɔ3
peel (v.)	擘	*peʔ7	peʔ7	pɛʔ7	pa5	peʔ7	peʔ7	pɛ7
pen	筆	*pit7	pit7	pit7	peʔ7	pek7	pik7	piek7
person	儂	*naŋ2	laŋ2	laŋ2	laŋ2	naŋ2	naŋ2	naŋ2
pick up	抾	*kʰioʔ7	kʰioʔ7	kʰioʔ7	kʰiɤ5	kʰioʔ7	kʰioʔ7	kʰiɔ7
picture	畫	*ue6	ue5	ua6	bua1	ue6	ue6	uɛ1
pig	豬	*tɯ1	tɯ1	ti1		tɯ1	tu1	tu1
pigeon	鴿	*kap7	kap7	kap7	kaʔ7	kap7	kap7	kap7
pillar	柱	*tʰiau4	tʰiau4	tʰiau6	tʰiɔ4	tʰiau4	tʰiau4	tʰiau4
pinch (1)	夾	*ŋoiʔ7 ~ *koiʔ7	gueʔ7	gɛ̃ʔ7	kaʔ7	kiap8	kiap7	kɔi7
pinch (2)	□	*niam5		liam5		niam5	niam5	niam7
placenta of womb	衣	*ui1	ui1	ui1		ui1	ui1	
play (n.)	戲	*hi5	hi5	hi5	hi5	hi5	hi5	hi5
play (v.)	□□	*tʰit7 tʰo2	tʰit7 tʰo2	tsʰit7 tʰo2		tʰek7 tʰo2	tʰik7 tʰo2	tiŋ7 tʰɔŋ2
plow	犂	*loi2	lue2	le2	le2	loi2	loi2	lɔi2
plum	梅	*mue2 (?)	m2	m2 ~ bue2	ŋ2	bue2	bue2	buɛ2
poison (n.)	毒	*tak8	tak8	tak8	toʔ8	tak8	tak8	tak8
port	港	*kaŋ3	kaŋ3	kaŋ3	kaŋ3	kaŋ3	kaŋ3	kaŋ3
pour liquid into cup	□	*tʰin2	tʰin2	tʰin2	tʰeŋ2		tʰiŋ2	
precious	寶	*po3	po3	po3	pɤ3	po3	po3	pɔ3
press (v.)	□	*diʔ8	tsʰiʔ8	dziʔ8		ziʔ8	ziʔ8	
press down	□	*teʔ7	teʔ7	tɛʔ7	ta5	teʔ7	teʔ7	tɛ7
pretend	□	*tẽ5	tĩ5	tɛ̃5	tã5	tẽ5	tẽ5	tɛ5
price	價	*ke5	ke5	kɛ5	ka5	ke5	ke5	kɛ5
prosper	旺	*uoŋ6	ɔŋ5	ɔŋ6	buaŋ1	uaŋ4	uaŋ4	baŋ4
pull out	挽	*maŋ3	ban3	ban3	baŋ3	maŋ3	maŋ3	maŋ3
pulse	脈	*meʔ8	beʔ8	bɛ̃ʔ8	mã4	meʔ8	meʔ8	bɛ4
pungent	辣	*luaʔ8	luaʔ8	luaʔ8	lua4	luaʔ8	luaʔ8	lua4
punish	罰	*huat8	huat8	huat8	huaʔ8	huak8	huak8	huak8
purchase grain	糴	*tiaʔ8	tiaʔ8	tiaʔ8	tia4	tiaʔ8	tiaʔ8	tia4
rabbit	兔	*tʰou5	tʰɔ5	tʰɔ5		tʰou5	tʰou5	tʰɛu5
rain	雨	*hou4	hɔ4	hɔ6	hu4	hou4	hou4	hɛu4
rainbow	□	*kʰɯŋ4	kʰiŋ4	kʰiŋ6	kʰueŋ1	kʰeŋ4	kʰeŋ4	kʰiaŋ4
rain-hat	笠	*loiʔ8	lueʔ8	leʔ8	le4	loiʔ8	loiʔ8	lɔi4
raise (head)	□	*giaʔ7 (?)	kaʔ8	giaʔ7	kʰia5		kiaʔ8	
raise; go up	上	*tsiõ4  ~ *tsʰiõ4	tsʰiũ4	tsʰiɔ̃6	tsŋ4	tsiõ4	tsiõ4	tsiɔ4
rank	級	*kip7 ~ *kʰip7	kip7 ~ kʰip7	kip7	kʰeʔ7	kʰip7	kʰip7	kʰip7
ransom	贖	*siok8 ~ *sɯk8	siɔk8	siɔk8	soʔ8	sok8	sok8	siak8
rat	鼠	*tsʰɯ3	tsʰɯ3	tsʰi3	tsʰi3	tsʰɯ3	tsʰu3	tsʰu3
ravine	坑	*kʰẽ1	kʰĩ1	kʰɛ̃1	kʰã1	kʰẽ1	kʰẽ1	kʰɛ1
read	讀	*tʰak8	tʰak8	tʰak8	tʰaʔ8	tʰak8	tʰak8	tʰak8
real	真	*tsin1	tsin1	tsin1	tseŋ1	tseŋ1	tsiŋ1	tsieŋ1
reaping hook	鐮	*liam2 ~ *nõi2	nuĩ2	liam2		niam2	liam2	liam2
receive	接	*tsiʔ7	tsiʔ7	tsiʔ7	tsiaʔ7	tsiʔ7	tsiʔ7	tsi7
recognise	認	*din6	lin5	dzin6	leŋ1	zeŋ6	ziŋ6	zieŋ1
red	紅	*aŋ2	aŋ2	aŋ2	aŋ2	aŋ2	aŋ2	aŋ2
remain	留	*lau2	lau2	lau2	lɔ2	lau2	lau2	lau2
remember	記	*ki5	ki5	ki5	ki5	ki5	ki5	ki5
remove to another place	徙	*sua3	sua3	sua3	sua3	sua3	sua3	sua3
residence	宅	*tʰeʔ8	tʰeʔ8	tʰɛʔ8	tʰa4	tʰeʔ8	tʰeʔ8	tsai1
rest	息	*set7	sit7	sit7	seʔ7	sek7	sek7	sik7
rice gruel	糜	*muø2	bə2	bãi2	mŋ2	mue2	mue2	muɛ2
rice in grain	米	*bi3	bi3	bi3	bi3	bi3	bi3	bi3
rice plant	粙	*tiu4	tiu4	tiu6		tiu4	tiu4	tiu4
rice seedlings	秧	*õ1	ŋ1	ŋ1	ŋ1	ŋ1	ŋ1	iɔ1
rice water	飲	*am3	am3	am3	aŋ3	am3	am3	am3
rice-cake	餜	*kuø3	kə3	kue3	kue3	kue3	kue3	kɔ3
ride	騎	*kʰia2	kʰa2	kʰia2	kʰi2	kʰia2	kʰia2	kʰia2
right; correct	著	*tioʔ8	tioʔ8	tioʔ8	tʰiɤ4	tioʔ8	tioʔ8	tiɔ4
ringworm	癬	*tsʰuã3 ~ *sian3	sian3	sian3	siaŋ3	siaŋ3	siaŋ3	tsʰua3
rinse mouth	□	*lɔk8 (?)	lɔk8	lɔk8				lɔŋ4
river	溪	*kʰoi1	kʰue1	kʰe1	kʰe1	kʰoi1	kʰoi1	kʰɔi1
road	路	*lou6	lɔ5	lɔ6	lu1	lou6	lou6	lɛu1
robber	賊	*tsʰat8	tsʰat8	tsʰat8	tsʰaʔ8	tsʰak8	tsʰak8	tsʰak8
roll up (sleeves)	□	*piʔ7	piʔ7	piʔ7	pi5			
root	根	*kɯn1	kun1	kin1	keŋ1	keŋ1	kiŋ1	kieŋ1
rope	索	*soʔ7	soʔ7	soʔ7	sɤ5	soʔ7	soʔ7	sɔ7
round	圓	*ĩ2	ĩ2	ĩ2	mŋ2	ĩ2	ĩ2	i2
rub with hands	挲	*so1	so1	so1		so1	so1	sɔ1
rudder	舵	*tua4	tua4	tua6	tɔ2	tua4	tua4	tua4
