Gloss	Form	Language
pot, intestine, bowel	pʰu	Gong (Suphanburi)
potato	mɯŋ⁴cʰu³	Gong (Uthai Thani)
pound down, to beat, to strike	ba²ʔɔ²	Gong (Uthai Thani)
pound, crush to a pulp, break	tʰɔ̀ŋ	Gong (Suphanburi)
pound, to punch by using elbow	tʰɔŋ⁴ʔɔ⁵	Gong (Uthai Thani)
pound, to punch by using elbow	tʰɔ̂ŋ	Gong (Suphanburi)
pounded rice	kʰúk goèʔ	Gong (Suphanburi) - older generation
pounded rice	kʰúk koèʔ	Gong (Suphanburi) - younger generation
pour (water)	cʰəʔ¹dɔŋ⁴ʔɔ⁵	Gong (Uthai Thani)
pour down, scissors	cʰɛ̌ʔ	Gong (Suphanburi)
pour in drop by drop	kʰaʔ¹ʔɔ⁵	Gong (Uthai Thani)
pour in drop by drop (paddy in the hole for planting)	cʰəŋ⁴ʔɔ⁵	Gong (Uthai Thani)
prawn	cʰaŋ²kʰle³	Gong (Uthai Thani)
praying mantis	kuk¹ca²leŋ¹	Gong (Uthai Thani)
press	kɯ⁴kʰla²ʔɔ²	Gong (Uthai Thani)
prick, pierce (by needle)	dûɔ	Gong (Suphanburi)
project (the tongue)	cʰɛŋ⁴dɔʔ²ʔɔ²	Gong (Uthai Thani)
protruding	doŋ⁴ʔɔ⁵	Gong (Uthai Thani)
pry and draw (as a bow)	bèk	Gong (Suphanburi)
pry open, to pick out	kɛʔ¹ʔɔ⁵	Gong (Uthai Thani)
pull	tʰi²ʔɔ²	Gong (Uthai Thani)
pull	lɔj	Gong (Suphanburi) - older generation
pull	lɔj	Gong (Suphanburi) - younger generation
pull a fishing rod	jaʔ¹kʰɔʔ²ʔɔ²	Gong (Uthai Thani)
pull up	tʰɔk¹ʔɔ⁵	Gong (Uthai Thani)
pull, to pull with force	tʰi¹kʰle²ʔɔ²	Gong (Uthai Thani)
pump	juk¹ʔɔ⁵	Gong (Uthai Thani)
pumpkin	tʰɔŋ⁴kʰa³	Gong (Uthai Thani)
pupil	ɲɔʔkɔŋ sɤ̩́k/nɔʔ 	Ugong
pus	phǔ̵ŋ / plɯ̌ŋ 	Ugong
push	tu⁴jɔʔ²ʔɔ²	Gong (Uthai Thani)
push	cʰeŋ jɔ́ ~ seŋʔɔ̀	Gong (Suphanburi) - older generation
push	tʰi seŋʔɔ̀	Gong (Suphanburi) - younger generation
put on	cʰuk¹ʔɔ⁵	Gong (Uthai Thani)
put on, add, to cry, to shout	ho³ʔɔ³	Gong (Uthai Thani)
put some drop on, into	kʰǎʔ	Gong (Suphanburi)
put the hand in and take with force	kuk¹ʔɔ⁵	Gong (Uthai Thani)
putting fish on yes	toŋ⁴doʔ¹	Gong (Uthai Thani)
python	dɨ̌ŋ	Gong (Suphanburi)
quail	mù	Gong (Suphanburi)
quail	mɛʔ¹mω¹	Gong (Uthai Thani)
quarrel, to sing	cʰi³ʔɔ³	Gong (Uthai Thani)
question word	wè	Gong (Suphanburi)
quickly	wɛ³wɛ²	Gong (Uthai Thani)
quiet	cɯk¹cɔʔ²	Gong (Uthai Thani)
quite, doing nothing, reconcile	ŋɔ̀	Gong (Suphanburi)
rabbit	pʰida	Gong (Suphanburi)
rabbit	pi²da¹	Gong (Uthai Thani)
rabbit	pʰida	Gong (Suphanburi) - older generation
rabbit	pʰida	Gong (Suphanburi) - younger generation
raft	kʰù	Gong (Suphanburi)
rags	cʰu³ji²lɛi³	Gong (Uthai Thani)
rain	wɨ³	Gong (Uthai Thani)
rain	wě	Gong (Suphanburi) - older generation
rain	we	Gong (Suphanburi) - younger generation
rainbow	kuŋ³kɔŋ¹cʰaŋ³	Gong (Uthai Thani)
rainbow	cʰaŋkʰléʔkà ~ saŋkʰléʔkà	Gong (Suphanburi) - older generation
rainbow	saŋlékà	Gong (Suphanburi) - younger generation
rambeh	ʔɛŋ³cʰɯʔ¹ʔɛ¹	Gong (Uthai Thani)
rash	ji³daŋ²	Gong (Uthai Thani)
rat	wuk¹	Gong (Uthai Thani)
rat	wǔk	Gong (Suphanburi) - older generation
rat	wǔk	Gong (Suphanburi) - younger generation
rat, mouse	wuk	Gong (Suphanburi)
rattan	wǐŋ	Gong (Suphanburi)
rattan	wiŋ³	Gong (Uthai Thani)
rattan	wǐŋ	Gong (Suphanburi) - older generation
rattan	wǐŋ	Gong (Suphanburi) - younger generation
razor	kɯʔ¹	Gong (Uthai Thani)
reach	blaʔ¹doʔ²	Gong (Uthai Thani)
ready	pʰlɔŋ³joʔ¹	Gong (Uthai Thani)
receive, to dry	laʔ¹ʔɔ³	Gong (Uthai Thani)
reconcile	ŋɔ²ʔɔ²	Gong (Uthai Thani)
red	buŋ	Gong (Suphanburi)
red	pu⁴ʔɔ⁵	Gong (Uthai Thani)
red	buŋ³bluŋ²	Gong (Uthai Thani)
red	boŋ boŋ	Gong (Suphanburi) - older generation
red	boŋ bòŋ	Gong (Suphanburi) - younger generation
red ants	bə²cʰə³	Gong (Uthai Thani)
red pepper	ciŋ cɛ	Gong (Suphanburi) - older generation
red pepper	cìŋ cɛ	Gong (Suphanburi) - younger generation
reed organ	kʰɛŋ	Gong (Suphanburi)
refrain from, to starve, to fast	jaŋ⁴ʔɔ⁵	Gong (Uthai Thani)
refrain from, to starve, to fast	tʰeŋ	Gong (Suphanburi)
refrain from, to starve, to fast	mo	Gong (Suphanburi)
released (animal), come off easily, denuded	bek	Gong (Suphanburi)
return	doŋ²ʔɔ²	Gong (Uthai Thani)
return	dóŋ dìe	Gong (Suphanburi) - older generation
return	dóŋ die	Gong (Suphanburi) - younger generation
return, to come back	doŋ¹lɛ²ʔɔ²	Gong (Uthai Thani)
rhizome	ka²cʰɛ³	Gong (Uthai Thani)
rib	naʔ¹tʰɔŋ²wu¹	Gong (Uthai Thani)
rib	hǎŋ khɔ́ŋ wú/ᴜ 	Ugong
rice sheaf	kuk¹bak²	Gong (Uthai Thani)
ride	kʰɔʔ	Gong (Suphanburi)
ride, to give	cʰi³ʔɔ⁵	Gong (Uthai Thani)
ridge of the spine	mɯŋ⁴ʔa³	Gong (Uthai Thani)
right (correct)	dia	Gong (Suphanburi) - older generation
right (correct)	dǐa	Gong (Suphanburi) - younger generation
right, to hit	tɔŋ⁴ʔɔ⁵	Gong (Uthai Thani)
rightside	lɔʔ wi	Gong (Suphanburi) - older generation
rightside	lɔʔ wi	Gong (Suphanburi) - younger generation
ring	lɔʔ¹cʰeŋ³	Gong (Uthai Thani)
ring finger	lɔʔ¹ka³	Gong (Uthai Thani)
ring finger	lɔ̌ʔ kàʔ/klàʔ 	Ugong
ring worm	ʔu⁴lɔ⁵	Gong (Uthai Thani)
ripe	miŋ	Gong (Suphanburi)
ripe paddy rice	kʰuk sɨ̀ŋ	Gong (Suphanburi)
rise, hard	kʰɔʔ²ʔɔ³	Gong (Uthai Thani)
road	bitʰî	Gong (Suphanburi) - older generation
road	patʰî	Gong (Suphanburi) - younger generation
roast, to be high, tall	ʔu²gɔŋ²ʔɔ³	Gong (Uthai Thani)
robin	te²tɛ⁵	Gong (Uthai Thani)
rod	wiŋ³tiɛŋ²	Gong (Uthai Thani)
roll	wɨ⁴ʔɔ⁵	Gong (Uthai Thani)
roll cigarette, to count	li	Gong (Suphanburi)
roll over	dəŋ³ʔɔ³	Gong (Uthai Thani)
roof	jiŋ³kʰɔŋ²	Gong (Uthai Thani)
roof	kʰɔŋ pʰuŋ	Gong (Suphanburi) - older generation
roof	kʰɔ́ŋ pʰùŋ	Gong (Suphanburi) - younger generation
roof, to broad over	mu³ʔɔ³	Gong (Uthai Thani)
root	kʰa¹	Gong (Uthai Thani)
root	ʔə̌k kʰa	Gong (Suphanburi) - older generation
root	ʔə́k kʰa	Gong (Suphanburi) - younger generation
root	ka	Lawa (Kwê Yai)
root	hāng ka	Lawa (Kwê Noi)
root, plant (chili) using seeds	kʰa	Gong (Suphanburi)
rope	loěŋ	Gong (Suphanburi)
rope	ləŋ³	Gong (Uthai Thani)
rotten	cʰɨ tʰe	Gong (Suphanburi) - older generation
rotten	sɨ tʰe	Gong (Suphanburi) - younger generation
round	lə²lə¹	Gong (Uthai Thani)
round	dɨ dø	Gong (Suphanburi) - older generation
round	dɨ dø	Gong (Suphanburi) - younger generation
ruak (Thyrsostachys siamensis)	daw pī	Lawa (Kwê Yai)
ruak (Thyrsostachys siamensis)	daw pi	Lawa (Kwê Noi)
rub	jɛ̀ŋ	Gong (Suphanburi)
rub	bèʔʔɔ̀	Gong (Suphanburi) - older generation
rub	bènáʔɔ̀	Gong (Suphanburi) - younger generation
run, to move rapidly, to flee	cʰɔŋ⁴ʔɔ⁵	Gong (Uthai Thani)
saliva	wi³	Gong (Uthai Thani)
saliva, to laugh	wi	Gong (Suphanburi)
salt	ʔapʰe	Gong (Suphanburi) - older generation
salt	ʔapʰé	Gong (Suphanburi) - younger generation
salty	ɲìŋ	Gong (Suphanburi)
salty	ɲɨŋ²ʔɔ²	Gong (Uthai Thani)
same	tʰi dʌk jɔ	Gong (Suphanburi) - older generation
same	tʰi dʌk ɲɔ	Gong (Suphanburi) - younger generation
sand	wi²ʔɛi¹	Gong (Uthai Thani)
sand	wíʔʔɛŋ	Gong (Suphanburi) - older generation
sand	wìʔʔɛŋ	Gong (Suphanburi) - younger generation
sand	dê wēng	Lawa (Kwê Yai)
satchel	cʰi³jaŋ²	Gong (Uthai Thani)
save, economize	jěkò	Gong (Suphanburi)
saw	lɨaj	Gong (Suphanburi)
scab	phɯ́ŋ khlɛ̌ʔ 	Ugong
scale	kʰɛ̀ʔ	Gong (Suphanburi)
scales (of fish)	ŋa²ʔa³kʰlɛʔ¹	Gong (Uthai Thani)
scar	phɯ́ŋ / fɯ́ŋ / phlɯ́ŋ 	Ugong
scarab beetle	ʔɛi³ka²ləŋ¹	Gong (Uthai Thani)
scatter, sprinkle	wàn	Gong (Suphanburi)
scissors	cʰɛʔ¹	Gong (Uthai Thani)
scold, curse, abuse	dɛ̀ʔ	Gong (Suphanburi)
scoop (dry fried dish)	kûɔ	Gong (Suphanburi)
scorpion	kʰɔŋ³lo³	Gong (Uthai Thani)
scorpion	kʰɔ́ŋdò	Gong (Suphanburi) - older generation
scorpion	kʰɔ́ŋdò	Gong (Suphanburi) - younger generation
scrape fiber from plant, abrade	kʰuʔ	Gong (Suphanburi)
scrape the fiber from plant	kʰwik	Gong (Suphanburi)
scratch	nìkʔɔ̀	Gong (Suphanburi) - older generation
scratch	nìkʔɔ̀	Gong (Suphanburi) - younger generation
scratch with claws	kɔ̀ŋ	Gong (Suphanburi)
scratch, to summon, to pare, to cut by using the scissors	cʰɛʔ¹ʔɔ⁵	Gong (Uthai Thani)
scum	mak¹nɔʔ²	Gong (Uthai Thani)
scurf	ku²kɨ¹	Gong (Uthai Thani)
second	nɨŋ	Gong (Suphanburi)
see	cʰɛ³ʔɔ³	Gong (Uthai Thani)
see	cʰɛ̀ʔɔ̀	Gong (Suphanburi) - older generation
see	cʰɛ̀ʔɔ̀	Gong (Suphanburi) - younger generation
seed	hɔŋ kʰɔ̌ŋ	Gong (Suphanburi) - older generation
seed	kʰɔ́ŋ	Gong (Suphanburi) - younger generation
seed grain	kʰuk su	Gong (Suphanburi)
seed, mind	kʰɔŋ³	Gong (Uthai Thani)
seed, mind, heart	kʰɔŋ	Gong (Suphanburi)
segment of plant (bamboo or sugar-cane)	hɔŋ sə̌k	Gong (Suphanburi)
self	kêŋ	Gong (Suphanburi)
sell	cʰɔ̌ʔ	Gong (Suphanburi)
sell	cʰɔʔ¹ʔɔ⁵	Gong (Uthai Thani)
sell	cʰɔ̂ʔʔɔ̂ ~ sɔ̂ʔʔɔ̂	Gong (Suphanburi) - older generation
sell	sɔ̂ʔʔɔ̂	Gong (Suphanburi) - younger generation
semen	nɪ́ wɯ̌ŋ 	Ugong
separate	bek¹kaŋ²ʔɔ²	Gong (Uthai Thani)
septum	nàthɛ̂ŋ khu khyɪ̂ 	Ugong
sesame, stink, rancid	naŋ	Gong (Suphanburi)
sesame, two	naŋ⁴	Gong (Uthai Thani)
set, place, set up, erect, to settle, locate	ŋoŋ³dɛ³ʔɔ⁵	Gong (Uthai Thani)
seven	ʔi³	Gong (Uthai Thani)
seven	ʔí	Gong (Suphanburi) - older generation
seven	ʔí	Gong (Suphanburi) - younger generation
seven	thī	Lawa (Kwê Yai)
seven	lī	Lawa (Kwê Noi)
seven, corpse	ʔî	Gong (Suphanburi)
sew	kʰok¹ʔɔ⁵	Gong (Uthai Thani)
sew	kʰòkʔɔ̀	Gong (Suphanburi) - older generation
sew	kʰòkʔɔ̀	Gong (Suphanburi) - younger generation
shackle	kʰɔʔ¹tuŋ²	Gong (Uthai Thani)
shake	lɯŋ²ʔɔ²	Gong (Uthai Thani)
shake (tree, things), to tremble (tree)	nuɔ	Gong (Suphanburi)
shake, clear	cʰe⁴ʔɔ⁵	Gong (Uthai Thani)
shallow	ma²nɔʔ¹	Gong (Uthai Thani)
sharp	tʰɔ	Gong (Suphanburi)
sharp (blade)	naŋ-ʔɔ	Gong (Suphanburi) - older generation
sharp (blade)	naŋʔɔ	Gong (Suphanburi) - younger generation
sharp ended knife	ku²cʰo¹	Gong (Uthai Thani)
sharp, to blow, to wound, to patch, to light (candle, incense)	tʰɔʔ¹ʔɔ³	Gong (Uthai Thani)
sharpen	ʔɛʔ¹ʔɔ³	Gong (Uthai Thani)
sharpen	ʔɛi⁴ʔɔ⁵	Gong (Uthai Thani)
sharpen, pointed	cʰo⁴ʔɔ⁵	Gong (Uthai Thani)
shave	koěʔ	Gong (Suphanburi)
shell	kʰlɛ̌ʔ	Gong (Suphanburi)
shell	kəʔ¹kɔŋ¹	Gong (Uthai Thani)
shell (of egg, shellfish)	klaʔ¹	Gong (Uthai Thani)
shell (of egg, shell-fish), razor	kʰěʔ	Gong (Suphanburi)
shin	gǒŋ khòŋ 	Ugong
shin bone / tibia	gɔ̌ŋkhɔ̀ŋ wú/ᴜ 	Ugong
shin, calf	puŋ²ʔa²lə¹	Gong (Uthai Thani)
shine	tʰɛŋ¹ʔɔŋ²ʔɔ²	Gong (Uthai Thani)
shirt, coat	jɯŋ¹	Gong (Uthai Thani)
shoe	pa²tɨ³	Gong (Uthai Thani)
shoot	jɛʔ¹ʔɔ³	Gong (Uthai Thani)
shoot	jɛʔʔɔ	Gong (Suphanburi) - older generation
shoot	jɛ̀ʔʔɔ̀	Gong (Suphanburi) - younger generation
shoot, gun	jɛ̌ʔ	Gong (Suphanburi)
shore, bank of a river	lɔŋ⁴pʰɔŋ²	Gong (Uthai Thani)
short	jɨ	Gong (Suphanburi)
shoulder	lɔʔ¹kʰlɛʔ²	Gong (Uthai Thani)
shoulder	lɔ́ʔkʰɛ̀ʔ	Gong (Suphanburi) - older generation
shoulder	láʔkʰɛ̀ʔ	Gong (Suphanburi) - younger generation
shoulder	lɛ̌ʔ-khɛʔ(bǒ̩ŋ) / lɔ̌ʔ 	Ugong
shoulder blade / scapula	lɔ́ʔ khɛ́ʔ wú 	Ugong
shoulder pole	taŋ⁴ʔa¹	Gong (Uthai Thani)
shrink	kəŋ¹ʔɔŋ²ʔɔ²	Gong (Uthai Thani)
shut, to block	pek¹ʔɔ⁵	Gong (Uthai Thani)
sick	nà	Gong (Suphanburi) - older generation
sick	nà	Gong (Suphanburi) - younger generation
sickle	cʰi²wiʔ¹	Gong (Uthai Thani)
sickness, disease	bìa	Gong (Suphanburi)
side burn	khu sǎŋ nɪ thǒ̩ŋ 	Ugong
side of body	nǎŋ khɔ̀ʔ 	Ugong
side of buttocks	nà blɔ̂n 	Ugong
side of waist	sᴜ̌k kho̩ŋ 	Ugong
sift	dəŋ⁴ʔɔ⁵	Gong (Uthai Thani)
sift or winnow the paddy to be in the mid of	lə̌ŋ	Gong (Suphanburi)
silver	ŋə̀ŋ	Gong (Suphanburi)
silver	ŋɨ̌ŋ	Gong (Suphanburi) - older generation
silver	ŋə̀ŋ	Gong (Suphanburi) - younger generation
similar to a dove partridge	tuŋ⁴cʰɨ³	Gong (Uthai Thani)
sin	baʔ¹tɯk²ʔɔ²	Gong (Uthai Thani)
sinew	ku³na¹	Gong (Uthai Thani)
sinew / tendon (muscle to bone	ʔěn 	Ugong
sing	cʰìa	Gong (Suphanburi)
sing	pʰeŋ cʰia	Gong (Suphanburi) - older generation
sing	feŋ cʰìa	Gong (Suphanburi) - younger generation
sip, to taste	klok¹ʔɔ³	Gong (Uthai Thani)
sister	jǒʔ	Gong (Suphanburi) - older generation
sister	jóʔ	Gong (Suphanburi) - younger generation
sit	ŋòŋ	Gong (Suphanburi)
sit	ŋoŋ²ʔɔ²	Gong (Uthai Thani)
sit	ŋòŋʔɔ̀	Gong (Suphanburi) - older generation
sit	ŋòŋʔɔ̀	Gong (Suphanburi) - younger generation
sitting (a manner of)	ha	Gong (Suphanburi)
six	kʰɔʔ¹	Gong (Uthai Thani)
six	kʰɔ̌ʔ	Gong (Suphanburi) - older generation
six	kʰɔ́ʔ	Gong (Suphanburi) - younger generation
six	kaw	Lawa (Kwê Yai)
six	kaw	Lawa (Kwê Noi)
six, bird	kʰɔ̌ʔ	Gong (Suphanburi)
skilled, good at	lɔʔ	Gong (Suphanburi)
skin	koéʔ	Gong (Suphanburi) - older generation
skin	koéʔ	Gong (Suphanburi) - younger generation
skin	kó̵̩ʔ̩ 	Ugong
skin, coir, bark	kəʔ¹	Gong (Uthai Thani)
skin, leather	koěʔ	Gong (Suphanburi)
skink	cɯŋ⁴klɯŋ⁵	Gong (Uthai Thani)
skull	khuphɔ́wú/ᴜ 	Ugong
sky	mu¹	Gong (Uthai Thani)
sky	mù	Gong (Suphanburi) - older generation
sky	mu	Gong (Suphanburi) - younger generation
slap, to applaud	blɛ⁴ʔɔ⁵	Gong (Uthai Thani)
sleep	jik¹ʔɔ⁵	Gong (Uthai Thani)
sleep	jɨ̀kʔɔ	Gong (Suphanburi) - older generation
sleep	jɨ̀kʔɔ	Gong (Suphanburi) - younger generation
sleep (polite), lie down	jɨk	Gong (Suphanburi)
sleep cramped with others	neŋ	Gong (Suphanburi)
sleep restlessly	diŋ	Gong (Suphanburi)
sleepy	jɯk¹ŋə²ʔɔ²	Gong (Uthai Thani)
slice off	kʰəŋ	Gong (Suphanburi)
slice, to cut	kʰəŋ⁴ʔɔ⁵	Gong (Uthai Thani)
slip	blaŋ⁴ʔɔ⁵	Gong (Uthai Thani)
slough, snake skin	pʰɨŋ gɛ̌ʔ	Gong (Suphanburi)
slow, long	cʰa²ʔɔ²	Gong (Uthai Thani)
small	pɛʔ cʰɛ ~ pɛ́ʔ sɛ	Gong (Suphanburi) - older generation
small	papɛ́ʔ sɛ	Gong (Suphanburi) - younger generation
small beast flea, rain	we	Gong (Suphanburi)
small cup (for drinking Chinese tea)	cʰɨaŋ pɛʔ	Gong (Suphanburi)
small green frog, to whip	ba	Gong (Suphanburi)
small intestine	phᴜ̌ pɛʔ 	Ugong
smart	dɔ	Gong (Suphanburi)
smell	nàŋ-ʔɔ̀	Gong (Suphanburi) - older generation
smell	nàŋŋɔ̀	Gong (Suphanburi) - younger generation
smell, name	ɲi³	Gong (Uthai Thani)
smell, to kiss, to cleave (bamboo)	naŋ⁴ʔɔ⁵	Gong (Uthai Thani)
smoke	jikʰu	Gong (Suphanburi) - older generation
smoke	jìkʰu	Gong (Suphanburi) - younger generation
smoke of fire	tʰoŋ⁴ʔe³kʰu¹	Gong (Uthai Thani)
smoke,pump	nɨk	Gong (Suphanburi)
smooth	blɛŋ²ʔɔ²	Gong (Uthai Thani)
smooth	blɛŋ	Gong (Suphanburi) - older generation
smooth	blɛŋ samə	Gong (Suphanburi) - younger generation
smooth, trim, sharpen	ʔɛŋ	Gong (Suphanburi)
snake	pʰɨ̀ŋ	Gong (Suphanburi) - older generation
snake	pʰɨ̀ŋ	Gong (Suphanburi) - younger generation
snake, cobra	pʰɨ̀ŋ	Gong (Suphanburi)
snake, pus	pɯŋ³	Gong (Uthai Thani)
snare	plɨ³	Gong (Uthai Thani)
snare (a kind of trap)	pʰli	Gong (Suphanburi)
snare with a loop	kʰɔŋ¹dɛ³ʔɔ⁵	Gong (Uthai Thani)
sneeze	ci⁴ʔɔ⁵	Gong (Uthai Thani)
snore, to smear	mω³ʔɔ³	Gong (Uthai Thani)
soak	tik²ʔɔ²	Gong (Uthai Thani)
soak, bubbles, foam	tʰɨk	Gong (Suphanburi)
soaking wet (child)	cok	Gong (Suphanburi)
soft	jɯʔ¹ʔɔ⁵	Gong (Uthai Thani)
soft (sound)	tʰəʔ¹tʰəʔ²	Gong (Uthai Thani)
soft-boiled rice	maŋ⁴juk¹	Gong (Uthai Thani)
soft-shelled turtle	kɯ³kɨ²	Gong (Uthai Thani)
soldier	nàj	Gong (Suphanburi)
solid mucus	na khlɪ̂ 	Ugong
some	ʔɔŋ nìa	Gong (Suphanburi) - older generation
son	cʰɨ²juk¹	Gong (Uthai Thani)
son-in-law	cʰɨ²mɔʔ¹	Gong (Uthai Thani)
sorrowful, worried, anxious	tʰuk	Gong (Suphanburi)
soul, guardian spirit	kěk	Gong (Suphanburi)
sound	tʰoeŋ	Gong (Suphanburi)
sound	tʰəŋ³	Gong (Uthai Thani)
sound of wooden flute (big sound)	luŋ ti	Gong (Suphanburi)
sour	cɨ̀a	Gong (Suphanburi)
spade	cəʔ¹	Gong (Uthai Thani)
spade	sin la	Lawa (Kwê Yai)
speak	cʰuʔɔ̂	Gong (Suphanburi) - older generation
speak	soʔɔ̂	Gong (Suphanburi) - younger generation
speak , talk, say; to pull, draw, drag	ʔɛi³ʔɔ³	Gong (Uthai Thani)
spear	bulɔŋ	Gong (Suphanburi) - older generation
spend	kò	Gong (Suphanburi)
spend	ko²ʔɔ²	Gong (Uthai Thani)
spider	baŋ²cʰa²lɔʔ¹	Gong (Uthai Thani)
spider	waŋcʰalɔ́ʔ ~ waŋsalɔ́ʔ	Gong (Suphanburi) - older generation
spider	waŋsalɔ́ʔ	Gong (Suphanburi) - younger generation
spin	poŋ	Gong (Suphanburi)
spin	klǎŋ	Gong (Suphanburi)
spin	pωŋ³ʔɔ³	Gong (Uthai Thani)
spin	klaŋ⁴ʔɔ⁵	Gong (Uthai Thani)
spine of fish-fin, barb of fish	jəŋ	Gong (Suphanburi)
spirit feeding on the entrails of a person it possesses	baŋ	Gong (Suphanburi)
spit	pʰi⁴ʔɔ⁵	Gong (Uthai Thani)
spit (v)	pʰimu tʰeŋʔɔ̂	Gong (Suphanburi) - older generation
spit (v)	pʰia	Gong (Suphanburi) - younger generation
spit out	pʰa¹dɔʔ²ʔɔ³	Gong (Uthai Thani)
spit, to rinse	mu²koŋ⁴ʔɔ⁵	Gong (Uthai Thani)
spittle	wì 	Ugong
spleen	ce¹	Gong (Uthai Thani)
spleen, to tie	ce	Gong (Suphanburi)
splinter	pi²ŋɛi¹	Gong (Uthai Thani)
split	kʰə³ʔɔ⁵	Gong (Uthai Thani)
split	cʰeʔɔ̂ ~ seʔɔ̂	Gong (Suphanburi) - older generation
split	seʔɔ̂	Gong (Suphanburi) - younger generation
spoon	bɔʔ¹cʰe²	Gong (Uthai Thani)
spray	buɔ	Gong (Suphanburi)
spread out (as mat)	pʰaŋ	Gong (Suphanburi)
spur (of cock)	wωʔ¹kləʔ²	Gong (Uthai Thani)
square	pʰi baŋ	Gong (Suphanburi)
squeeze	cǐ	Gong (Suphanburi)
squeeze	nek¹ʔɔ⁵	Gong (Uthai Thani)
squeeze	bíʔʔɔ̀	Gong (Suphanburi) - older generation
squeeze	bíkʔɔ̀	Gong (Suphanburi) - younger generation
squeeze, press (using finger nails)	nik	Gong (Suphanburi)
squeeze, press (using finger nails), lift	də̀ŋ	Gong (Suphanburi)
squeeze, press (using fingers)	nek	Gong (Suphanburi)
squirm	pu²ʔɔ²	Gong (Uthai Thani)
squirrel	pωʔ¹wωk²	Gong (Uthai Thani)
stab	dǔɔ	Gong (Suphanburi) - older generation
stab	dǔɔ	Gong (Suphanburi) - younger generation
stab (hole for planting rice)	tʰəŋ²ʔɔ²	Gong (Uthai Thani)
stab (pig's throat)	du	Gong (Suphanburi)
stag beetle	cʰaʔ¹wωʔ¹pi³	Gong (Uthai Thani)
stand	jěʔ	Gong (Suphanburi)
stand	jiʔ¹ʔɔ⁵	Gong (Uthai Thani)
stand	jèʔʔɔ	Gong (Suphanburi) - older generation
stand	jèʔʔɔ	Gong (Suphanburi) - younger generation
star	cʰinû	Gong (Suphanburi) - older generation
star	sinû	Gong (Suphanburi) - younger generation
stare	bɔ̌ʔ	Gong (Suphanburi)
stare, to look	bɔʔ¹wu²ʔɔ²	Gong (Uthai Thani)
steal	kɯ⁴ʔɔ⁵	Gong (Uthai Thani)
steam	pʰǔŋ	Gong (Suphanburi)
steam	puŋ⁴ʔɔ⁵	Gong (Uthai Thani)
steamy breath	(ka)thᴜ́ŋ ʔɔ́ʔ 	Ugong
step, take a step	tʰoŋ	Gong (Suphanburi)
stick	ʔə́k lɔ̀ʔ	Gong (Suphanburi) - older generation
stick	ʔə́k lɔ̀ʔ	Gong (Suphanburi) - younger generation
sting (wasp)	daŋ	Gong (Suphanburi)
sting (wasp)	doj	Gong (Suphanburi)
stinger(sting)	cʰɨ³ʔe⁴jaŋ¹	Gong (Uthai Thani)
stingy	dùɔ	Gong (Suphanburi)
stingy	ku²na²ʔɔ²	Gong (Uthai Thani)
stink, bad-smelling	naŋ²ʔɔ²	Gong (Uthai Thani)
stir	ko³wa²ʔɔ²	Gong (Uthai Thani)
stomach	bɔ́ŋphɔ́ pɛʔ / bɔ́ŋphɔ́dˆ 	Ugong
stone	luʔ¹kʰω³	Gong (Uthai Thani)
stone	dúkkʰu	Gong (Suphanburi) - older generation
stone	dúʔkʰù	Gong (Suphanburi) - younger generation
stone	law kū	Lawa (Kwê Yai)
stone	law kū	Lawa (Kwê Noi)
stoop, to crouch	kʰoŋ²ʔɔ²	Gong (Uthai Thani)
stop, give way, evade	pʰeŋ	Gong (Suphanburi)
stop, to rest	ɲuŋ³ɲa¹ʔɔ⁵	Gong (Uthai Thani)
straight	koŋ³ʔɔ³	Gong (Uthai Thani)
straight	cɔʔ-ʔɔ	Gong (Suphanburi) - older generation
straight	cɔ̀ʔʔɔ	Gong (Suphanburi) - younger generation
strain, to pull up	cʰaŋ⁴dɔʔ²ʔɔ³	Gong (Uthai Thani)
straw	pʰəŋ⁴ʔa¹	Gong (Uthai Thani)
strength	li³pɛi²	Gong (Uthai Thani)
strength, rapid, dry	lɛŋ³ʔɔ³	Gong (Uthai Thani)
stretch	kʰɯŋ⁴ʔɔ⁵	Gong (Uthai Thani)
stretch out	kʰlà	Gong (Suphanburi)
stretch out	kʰla²ʔɔ²	Gong (Uthai Thani)
stretch out (something or part of the body), open	pʰɔŋ	Gong (Suphanburi)
stretch out (the leg)	cʰɛi³ʔɔ³	Gong (Uthai Thani)
stretched (muscle)	tɨŋ	Gong (Suphanburi)
stretched out (leg)	cʰɛŋ	Gong (Suphanburi)
string	ʔə̀ŋ	Gong (Suphanburi)
string	ʔɯŋ²ʔɔ²	Gong (Uthai Thani)
striped	gok¹ʔɔ⁵	Gong (Uthai Thani)
stroke	ʔaʔ	Gong (Suphanburi)
stumble and trip, stagger	dì	Gong (Suphanburi)
stumble on a rope	pʰeʔ	Gong (Suphanburi)
stump of tree	lak¹	Gong (Uthai Thani)
sty, pen, support against, shove with foot	tʰɛŋ	Gong (Suphanburi)
subside	ʔěk	Gong (Suphanburi)
suck	nɨ̀kʔɔ	Gong (Suphanburi) - older generation
suck	nɨ̀kʔɔ̀	Gong (Suphanburi) - younger generation
suck (by tube)	nùk	Gong (Suphanburi)
suck, to cut (banana flower stalk)	nəʔ¹ʔɔ⁵	Gong (Uthai Thani)
