#	Gloss	Chugpa (Duhumbi)	Lishpa (Khispi)	Sherdukpen (Rupa)	Sherdukpen (Shergaon)	Sartang (Rahung)	Sartang (Khoitam)	Sartang (Jerigaon)	Sartang (Khoina)	Bugun (Dikhyang)	Bugun (Singchung)	Bugun (Wangho)	Bugun (Bichom)	Bugun (Kaspi)	Bugun (Namphri)	Puroik (Bulu)	Puroik (Kojo Rojo)	Puroik (Rawa)	Puroik (Saria)	Puroik (Chayangtajo)	Puroik (Lasumpatte)	Puroik (ZMYYC 1991)	Puroik (Li Daqin 2004)
65	rain	na-mu	na-mu ~ na-mɔː	nə-ʦʰoː ~ nə-ʦʰuː	ɲi-mi	pʰ-ʨʰu	nə-ʨʰu	nə-ʨʰu	naː-ʦʰu	haːpʰiɛ	hapʰije	hapʰije	hapʰije	hapʰije	hapʰije	hampiː	hampɹoː	hampɹoː	haʔpɹo	ampɹuː	ampjuː	aŋ³³pru⁵³	aŋ³³pru⁵³
66	red	ʔɔ-kʰjek	ʔɔ-hɛk ~ hɔːla	ʔə-hɛk	ʔə-hɛk	ʔə-hɛk̚	ʔə-hɛk ~ ʔa-hɛk	ʔə-hɛk ~ʔa-hɛk	ʔa-xɛk	əɕɛk	eʃaik	eʃek	ʃeⁱk/eʃaik	ʃeⁱ	eʃaik	aʃiʔ	ahɨː	arjuʔ	arjuʔ	arjuk	arjuk	a³³jiʈ³³	a³³jiˀ⁵⁵
67	root	raba	hiŋŋa lej	ʔə-hĩː	rabɔː	ʔi-hĩː ~ ʔə-hĩː	ʔa-hĩː	ʔi-hĩː	ʔa-xĩː	ərəŋ	eraŋ	eraŋ	eraŋ	eraŋ	eraŋ	ʃiN-rin	hɨ̃-rin	arɨŋ	ariŋ	areŋ	areŋ	heʴn³³kuŋ³³	a³¹koŋ⁵⁵
69	to run	dur	dul	kjaː ~ ʨʰaː	ʨʰaː	ʨɛː	riŋ	lɛ ʔikʰɛn	ʦʰɔː	ran	-	-	-	-	-	rin	ren	rit	riʔ	riʔ	riʔ	riʈ³³	ʑei⁵⁵
70	salt	ha	ha	hũː	huŋ	hũŋ	huŋ	huŋ	hũː	səruə	suruwa	suruwa	surəja	suɹe	suruwa	fəu	fou	foː	hoŋ	hoŋ	hoŋ	hɔŋ³³	hoŋ⁵⁵
71	sand	beʦa	beʦa	mə-kʰɔ	beʦɔ	kʰə-bɔ	kʰə-pʰɔ	kʰ-pʰa ~ kʰ-fa	gə-pʰa	baːli	bali	bali	bali	bali	bali	səmpjɛː	panʧɨːhɹɛː	pãʧɨʔ	bɛɛʧiʔ	pɹɛːʧeiʔ	pjɛːʧeʔ	pɹæʳ³³ʦət³³	paʳ⁵⁵ʦeʳ³³
73	to say	ʔin	ʔin	ʔam	ʔam	ʔan ~ ʔɛm	ʔan	ʔɛn	ʔɛn	jaː	jemage	je	jepʰa	sipʰa	jopʰa	riː	rjoː	rjoː	jɔː	luiʔ	luiʔ	luiʔ	ɬuiᵗ⁵³
74	to see	ʔaj	ʔaj	ʔɔː	ʔɔː	ʔɔː	nũː (-ʨʰi)	-	nɔ̃ː-ʨʰi	gərak	rəkmage	rək	rəg	rekpʰa	rək	niŋ	njəŋ	niŋ	ɲɨː	ʤei	ʤei	ŋua³³/daȶ³³	ŋwa⁵⁵daᵗ³³
82	to sit	ʥu	ʥu	ʥau	ʥau	ʥo	ʥɔː	ʥɔː	ʣɔː	duk	dukma	tuk	duk	dəkmu	dukmage	rɨː	ʤao	tuŋ	tuŋ	tuŋ	tuŋ	toŋ³³	toŋ⁵⁵
75	skin/hide	ɕa-kʰɔʔ	ɕa-kɔ ~ ɕa-kʰɔʔ	s-kuk	s-kuk	s-kuk ~ s-kʰuk	sə-kuk ~ s-kuk	s-kuk ~ s-kʰuk	ʂ-kʰuk	eːkʰuk	ekʰuk	ekʰuk	ekʰuk	ekʰuk	ekʰuk	akuʔ	akɨː	akəː	akəː	akəː	akəː	a³³kə⁵³	a³¹kə⁵³
27	to sleep	min	min	ʥiŋ	ʥin	ʥiŋ	ʥiŋ	ʥiŋ	ʣiŋ	mjɛn	mijenmage	mijen	mijanpʰa	men	menpʰa	rəm	rəm	rəp	rəʔ	rəm	rəm	ɣəŋ³³	ɣəŋ⁵⁵
76	small	kati	ɕada	ʔa͡-ʨan-du	ʔa͡-ʨan-du	ʨɔ̃n-du ~ ʨɔ̃ː-du	ʔa-ʥan-du	ʔadudu	ʔa-ʥãn-du	ətidua	ẽeᵘ	ejuŋ	ejuŋ	ejuŋ	iu	aziː	aziː	ajiŋ	ɲɛːdoː	kəsiʔ	kəsiʔ	ciaŋ³³	ʥiaŋ⁵⁵
