Gloss	Thami (Babre)	Thami (Lapilang)	Thami (Suspa Kshamavati)	Thami (Daduwa)	Thami (Chokati)	Baram	body	head	hair	face	eye	ear	nose	mouth	teeth	tongue	breast	belly	arm/hand	elbow	palm	finger	fingernail	leg	skin	bone	heart	blood	urine	feces	village	house	roof	door	firewood	broom	mortar	pestle	hammer	knife	axe	rope	thread	needle	cloth	ring	sun	moon	sky	star	rain	water	river	cloud	lightning	rainbow	wind	stone	path	sand	fire	smoke	ash	mud	dust	gold	tree	leaf	root	thorn	flower	fruit	mango	banana	wheat (husked)	barley	rice (husked)	potato	eggplant	groundnut	chili	turmeric	garlic	onion	cauliflower	tomato	cabbage	oil	salt	meat	fat (of meat)	fish	chicken	egg	cow	buffalo	milk	horns	tail	goat	dog	snake	monkey	mosquito	ant	spider	name	man	woman	child	father	mother	older brother	younger brother	older sister	younger sister	son	daughter	husband	wife	boy	girl	day	night	morning	noon	evening	yesterday	today	tomorrow	week	month	year	old	new	good	bad	wet	dry	long	short	hot	cold	right	left	near	far	big	small	heavy	light	above	below	white	black	red	one	two	three	four	five	six	seven	eight	nine	ten	eleven	twelve	twenty	one hundred	who	what	where	when	how many	which	this	that	these	those	same	different	whole	broken	few	many	all	eat	bite	hungry	drink	thirsty	sleep	lie (down)	sit	give	burn	die	kill	fly (v.)	walk	run	go	come	speak	hear/listen	look	I	you (informal)	you (formal)	he	she	we (inclusive)	we (exclusive)	you (plural)	they
oli	oli	oli	oli	wɑli	car (IA loan)
wɑlŋɑ	wɑlŋɑ	wɑlŋɑ	wɑ̃lɑ	hwɑlŋɑ	pãc (IA loan)
mɑt	mɑt	mɑt	mʌt	mɑt	chə (IA loan)
rɑ	rɑ	ro	lo	ɽo	sat (IA loan)
lɑ	lɑ	lɑ	lɑ	lɑ	aʈh (IA loan)
kit	kit	kyut	kit	kit	nəu
dicip	dicip	dicip	dicip	dʰicip	dəs
dicipdi	dicipdi	dicipdi	dicipdi	dʰicipde	egharə
dicipnis	dicipnis	dicipnis	dicipnis	dʰicipnis	barə
nisdicip	nisdicip	nisdicip	nisdicip	nisdʰicip	bis
dicipdicip	dicipdicip	dicipdicip	dicipdicip	dʰicipdʰicip	de səe (IA loan)
su	su	su	su	su	su
ɦɑrɑ	ɦɑrɑ	ɦɑrɑ	ɦɑrɑ	ɦɑrɑ	hai
kutɑ	kutɑ	kutɑ	kutɑ	kutɑ	kuni
kutɑleŋ	kutɑleŋ	kutɑleŋ	kutɑleŋ	ɦɑŋgɑlyɑŋ	kəile
ɦɑni	ɦɑni	ɦɑni	ɦɑ̃lĩ	ɦɑi	kwa
kundu	kundu	kundu	kundu	kundu	kun
kɑ	kɑ	kɑ	kɑ	kɑ	jo
to	to	to	dʰɑ	to	tjo
kɑbɑŋ	kɑbɑŋ	kɑbɑŋ	kʌpʌliŋ	kɑbɑli	jibaŋ
tobɑŋ	tobɑŋ	tobɑŋ	topʌliŋ	tobɑŋ	ubaŋ
to	to	to	to	to	ui
bʰindʌi	bʰindʌi	beɡɑle	toŋɑkɑ	pʰʌrʌk	phərək (IA loan)
sɑkkʰɑle	sɑkʰɑle	sɑkɑle	sɑkɑle	sʌkkʰɑli	səbəi (IA loan)
kwɑdu	kwɑʔdu	kwɑɡdu	ʈʰemɑn	cʰyomdu	kipak
ucʰincɑ	ucʰincɑ	ucʰin	ucʰincɑ	icʰini	jurse
ɑɦe	ɑɦe	ɑɦe	ɑɦe	ɑɦe	dherəi (IA loan)
sɑkkʰɑle	sɑkʰɑle	sɑkɑle	sɑkɑle	sʌkkʰɑli	səpəi (IA loan)
cyɑsɑ	cyɑsɑ	cyɑsɑ	cyɑsɑ	cyɑsɑ	cago
ceʔsɑ	ceʔsɑ	ceksɑ	ceʔsɑ	ceʔsɑ	aŋakko
krɑisɑ	krɑisɑ	kʌrɑisɑ	krʌisɑ	isɑkɑrɑinɑn	hego
tunsɑ	tunsɑ	tunsɑ	tuncʰɑ	tuncʰɑ	sjaŋgo
lɑkɑisɑ	lɑkɑisɑ	lɑkɑsɑ	lɑkɑŋsɑ	lɑkɑinɑn	əs kago
ɑmisɑ	ɑmisɑ	ɑmisɑ	ɑmisɑ	ɑmisɑ	nago
pʌlʈʌisisɑ	pʌlʈʌisisɑ	pʌlʈʌisɑ	bliŋsɑ	pʌlʈʌisisɑ	ləllumgo
ɦoʔsɑ	ɦoʔsɑ	ɦoksɑ	ɦoʔsɑ	ɦoʔsɑ	hukko
piʔsɑ	piʔsɑ	pisɑ	piʔsɑ	piccʰɑ	pigo
cieʔsɑ	jousɑ	jyoksɑ	joʔsɑ	jyʌusɑ	cimakko
sisɑ	sisɑ	sisɑ	sisɑ	sisɑ	sigo
