No.	English gloss	Chinese gloss	Proto-Lalo	Lalo, Central-Western (Qingyun)	Lalo, Western (Shanglizhuo)	Lalo, Eastern (Diaocao)	Xuzhang	Mangdi	Eka	Yangliu
100	sambar deer	水鹿/黑鹿	*tsʰe̠ᶫ		tsʰɛ⁴⁴	ma²¹lu²⁴	tsʰai³³	tɕʰɛ̠³³	tɕʰi³³ka̠ʔ²¹	tsʰai⁵⁵
101	porcupine	豪猪/箭猪	*pu¹		ɛ²¹ve⁵³	kɤ̪⁵⁵	hɛ̃˞³³dzɛi²¹	pu⁵⁵	a²⁴pu²⁴	pv̩³³
102	rat	老鼠	*hɛ̠ᴴ	a⁵⁵ha̠³³	a⁴⁴hɛ̃⁴⁴	xa³³tsɿ⁴²pu⁴²	a⁵⁵hɛ̃³³	a⁵⁵tɕʰɛ²¹	a²⁴ŋa³³xa⁵⁵kʰu⁵⁵mi²¹	ɛ˞⁴⁴hɛ˞⁵³
103	squirrel	松鼠		ha̠³³tʂʰu²¹pa̠²¹	hɛ̃⁴⁴ma⁵⁵bɛ²¹		hɛ̃³³tʂʰʅ³³po³³	a⁵⁵tɕʰɛ²¹mɛ²¹bu³³	a²¹tso²⁴	hɛ˞⁵⁵pɛ˞⁴¹pɛ˞³¹
104	chicken	鸡	*a¹ɣe̠ᴴ	a⁵⁵jɛ̠³³	a⁴⁴ʝi⁴⁴	i³³	a⁴⁴ʝi̠⁴⁴	a⁵⁵ji̠³³	a²⁴ji̠³³	a⁵⁵ji⁵³
105	rooster	公鸡	*a¹ɣe̠ᴴpʰo¹pa̠ᶫ	a⁵⁵jɛ̠³³fi⁵⁵pa̠²¹	a⁴⁴ʝi⁴⁴tsʰɿ²²pa⁵³	i³³pʰə⁵⁵	a⁴⁴ʝi̠⁴⁴tsʰɿ⁵⁵po³³mo³³	a⁵⁵ji̠³³pʰi⁵⁵	a²⁴ji̠³³pʰɨ⁵⁵ta⁵⁵ko²¹	a⁴⁴ji⁴⁴pa⁶³
106	hen	母鸡	*a¹ɣe̠ᴴma³ko̠ᴴ	a⁵⁵jɛ̠³³ma³³ko³³	a⁴⁴ʝi⁴⁴ma³³ko³³	i³³mu³³ku³³	a⁴⁴ʝi̠⁴⁴mv̩³³kv̩³²	a⁵⁵ji̠³³mo³³	a²⁴ji̠³³zo²¹mo³³	a⁵⁵ji⁵⁵ma³³
107	duck (a)	鸭子	*a¹bɛ²					a⁵⁵bɛ²¹	a²⁴bɛ²¹	
107	duck (b)	鸭子	*a¹ɛ̠ᴴ		ɛ⁴⁴ɛ⁴⁴	ɔ²⁴a³³	ã³³ã³³			
108	goose	鹅	*a¹ŋwa¹	a⁵⁵ŋø⁵⁵	a⁴⁴ŋv̩⁴⁴	ɣɔ²⁴,ɔ²⁴	a³³ŋu⁵³	a⁵⁵ŋo⁵⁵	a³³ŋao²⁴	o²¹aŋ⁵³
109	bird	鸟	*ŋja̠ᴴ	a⁵⁵ɲɛ̠³³	a⁴⁴ɲi⁴⁴	ɲia³³	a⁵⁵ɲa³³	a³³ŋa³³	bə²⁴xa̠³³	a⁵⁵ɲa⁵³
110	swallow	燕子	*py̠ᴴ	a⁵⁵pø̠³³	pɨ²¹tʂɛ˞⁵³	xɛ⁵⁵n̩²¹tsɛ²¹	ɲa³³dzɿ²¹	a³³ŋa³³no²¹ʔɛ⁵⁵	bɨ²⁴nɛ⁵⁵o²¹, bɨ²⁴nɛ⁵⁵	
111	sparrow	麻雀	*dʒa¹mu²	dʑɛ⁵⁵n̩²¹	dʐa˞²⁴mv̩²¹	dza²⁴ma²¹	kʰɨ²¹dʐa²⁴mɨ˞̩²¹	a³³ŋa³³dʒo⁵⁵ka³³la²¹	dzoŋ²⁴ka⁵⁵jo³¹	mi³³kə³³tɛ˞⁵³
112	crow (a)	乌鸦	*a¹ŋja̠ᴴbɛ̠ᴴ	a⁵⁵ɲɛ̠³³ba̠³³	a⁴⁴ɲi⁴⁴bɛ⁴⁴		a⁵⁵ɲa³³bɛ³³mu³³			
112	crow (b)	乌鸦	*a¹ne̠ᴴ					a⁵⁵nɛ̠³³	a⁵⁵ni̠³³mo³³	a⁵⁵ni⁵³
113	magpie	喜鹊	*a¹tʃɛ̠ᶫ	a⁵⁵tʂa̠²¹	a⁴⁴tʂa⁵³	a⁵⁵tsɛ⁴²	a³⁵tʂɛ˞̠³³		kʰa⁵⁵tsa̠ʔ²¹	a⁵⁵tsɛ˞⁵³
114	dove	鸽	*a²pɨ¹mu²	a̤²¹pʉ⁵⁵	a²¹pɨ²⁴	a²¹pə⁵⁵mə²¹	a²¹pɨ̃ŋ⁴⁵²	a²¹pɨ⁵⁵	dɛ²¹pɨ²⁴muɛ³³jo³¹	a²¹pv̩³³
115	pheasant	野鸟/野鸡	*a¹ʃu²	a⁵⁵ʂə²¹	a⁵⁵ʂv̩²¹	sɤ̪²¹	dy²¹ʂʅ²¹	a⁵⁵ji̠³³ka²¹	to³³xo²¹	to²¹so²¹
116	eagle	老鹰	*a¹dzy¹	a⁵⁵dzy⁵⁵	dʑy²⁴ma²¹nɛ³³	a⁵⁵dzə²⁴	a⁴⁵dzy³³pɑ³³mu³³	a⁵⁵dʒə⁵⁵	a²⁴dzə²⁴mo³³	tsə³³ma³³
117	owl (a)	猫头鹰	*gy³ly²	wu³³ly²¹	lv̩²¹ʝi⁴⁴	ə³³lə²¹	ø³³mɤ̪˞²¹	a³³ŋa³³lo²¹pɑ̠²¹	gao²¹	
118	bat	蝙蝠	*a¹py̠ᴴ	mai³³ma²¹ha³³	a⁴⁴py⁴⁴	pə⁵⁵pə³³	ko⁵⁵pø̠³³	a⁵⁵pɑ̠³³	a³³pʷɨʲ⁵⁵jo³¹	jiɛ³³tʰiɛ˞³³
119	frog	青蛙	*ʔmu¹pa̠ᶫ	ə⁵⁵pa̠²¹	om²⁴pa⁵³	u⁵⁵pu⁴²	m̩⁴⁵³po³³	u⁵⁵pɑ̠²¹	o²⁴pʷoʲ⁵⁵jo³¹	a⁴⁴pɛ˞⁴⁴lɤ̪⁴²
120	toad	癞蛤蟆	*ʔmu¹pa̠ᶫ	ə⁵⁵pa̠²¹dzaŋ⁵⁵pʰy³³	om²⁴pa⁵³lv̩⁴⁴tsɿ⁴⁴	nɛ³³dɛ³³sɛ³³u⁵⁵pu⁴²	m̩⁴⁵³po³³	u⁵⁵pɑ̠²¹dzo⁵⁵jɛ²¹	o²⁴poʔ²¹ɕi⁵⁵ɕi³³	lai³³tui³³li³¹
121	fish	鱼	*ʔŋa²	a̤ŋ²¹	ãŋ²¹	ɔ²¹	õ²¹	õm²¹pa⁵⁵	oŋ²¹pʰv̩²⁴	aŋ²¹
122	snake	蛇	*la¹ʃɛ¹	la⁵⁵ɕɛ⁵⁵	la²⁴ʂɛ⁴⁴	sɛ⁵⁵	lo³³ʂɛ˞⁴⁴	lo³³ɕɛ⁵⁵	lu³³ɕɛ²⁴	la³³sɛ˞³³
123	lizard	蜥蜴/壁虎		a̤³³mɛ̤³³lɛ²¹ɑ²²wo³³	lu²⁴ba²¹	a⁵⁵mə²¹i⁵⁵mɔ²¹tɕʰi²¹	a²¹mɛ˞²¹ʂɛ˞⁴⁴lɛi³³kv̩²⁴	ɛ̃²¹xã⁵⁵	tʰaŋ³³gi³³li⁵⁵pʰɛ²⁴mo³³	tɕʰyən²¹sɛ˞²¹
124	leech	蚂蟥/水蛭	*ɣi¹ve̠ᶫ	ɣɨ⁵⁵vɛ̠²¹	ɣɨ²⁴ve⁵³	i²⁴vei⁴²	vv̩²⁴vɛi³³	ɣɨ⁵⁵vɛ̠²¹	ɣɨ²⁴vi̠ʔ²¹	ɣɨ³³pai⁵⁵
125	spider	蜘蛛		a³³mai³³	a²¹wu⁵⁵mi³³tɕi³³kʰə³³	ɲia³³mɔ³³bə²¹	a³³kaŋ⁴⁴laŋ⁴⁴tɕi̠³³	bom²¹bɛ²¹lɛ²¹xɛ⁵⁵	bi²¹laʔ³³	xam³³pao²¹
126	insect (a)	昆虫	*bo²			bə²¹				
126	insect (b)	昆虫	*bi²di¹	bʉ̤²¹di⁵⁵	dzɿ²¹di²⁴		dzɿ²¹dy²⁴	bi²¹di⁵⁵	pɨ³³tɕɛ³³lɛ³³	bi²¹bi³³
127	ant	蚂蚁	*bo²ʒo̠ᴴ					bi²¹ɕi⁵⁵	bɨ²¹jo⁵³	bi²¹jao⁵³
127	ant (b)	蚂蚁	*a²ʒu²	a̤²¹ʐṳ²¹						
128	termite	白蚁	*a²ʒo̠ᴴpʰu¹	tʰu²¹bʉ²¹di⁵⁵	a³³ʐu⁴⁴fv̩²⁴	a³³ju³³fɤ̪⁵⁵	a²¹ʐu³³pʰᶠv̩⁵⁵zo²¹	ɕi³³bi²¹di⁵⁵	ma²¹vai²¹bɨ²¹di²⁴	bi²¹ma⁵⁵pʰv̩³³
129	mantis	螳螂	*a¹tʃʰi̠ᶫlo̠ᶫ		a³³tʂʰʅ⁴⁴lu⁵⁵a²¹pa²⁴ma³³		ja²⁴laŋ²¹mu³³	i⁵⁵sɛ⁵⁵mo³³ga²¹lɨ²¹ɣɨ²¹	nai²⁴mo³³	tsʰai⁵⁵dza³³pv̩³³
130	roach	蟑螂		pʉ⁵⁵tʂʅ̠²¹	lu⁵⁵tsu²¹dzɿ²¹	ta³³kʰa³³za²¹	lu³⁵tsu²¹dy²¹	me³³sæ⁵⁵la⁵⁵	dzo²⁴xa̠ʔ²¹mo³³	tsao⁴⁴m̩²¹tʂɛ˞³³
131	fly	苍蝇	*ɣaŋ¹ʃɛ¹	ɣɨ⁵⁵ɕɛ⁵⁵	vu²⁴ʂɛ³³	ja²⁴mə²¹	ja²⁴mɨ˞²¹	i⁵⁵sɛ⁵⁵	ɣɨ²⁴suɛ⁵⁵jo³¹	ɲɛ˞³³m̩²¹
132	honeybee	蜜蜂	*bja²	ba̤²¹	bɑ²¹	bia²¹	hĩ⁵⁵ba²¹	do⁵⁵ka³³bo²¹	bo²¹	ba²²ɲo²¹
133	wasp (a)	黄蜂	*bja²tu¹	ba̤²¹də⁵⁵	bɑ²¹tv̩²⁴				dʑi³³dzo³³bo²¹	ba²²to³³sɛ˞³³
133	wasp (b)	黄蜂	*bja²ʃɛ¹			ɕi³³sɛ⁵⁵	ba²¹ʂɛ˞⁴⁵³zo²¹	bo²¹sɛ⁵⁵	dʑi³³dzo³³bo²¹	ba²²to³³sɛ˞³³
134	mosquito	蚊子	*ɣaŋ¹bi̠ᶫ	ɣɨ⁵⁵ɕɛ⁵⁵n̩²¹dzɿ̠³³	vu²⁴dzɿ⁵³	ja²⁴sɛ³³	ja³³ʂɛ˞⁵⁵	i⁵⁵sɛ⁵⁵kɛ⁵⁵kaŋ²¹	ɣɨ²⁴suɛ⁵⁵jo³¹	ɲɛ˞³³m̩²¹dzɿ⁵³
135	dragonfly	蜻蜓	*dʒɛ²m̩²kʰa³la³	dʑɛ̤ŋ²¹kʰa³³la³³	dʑɛ²¹m̩²¹pa³³kʰa³³la³³	dɔn²¹dɔn²¹kʰɛ³³lɛ³³	ɣɨ²⁴tʰɤ̪˞²¹ta³³kue⁴⁴lu⁴⁴	bi⁵⁵ɕi⁵⁵li⁵⁵	dza⁵⁵pa²¹tɕi³³li²⁴	
136	butterfly	蝴蝶	*bo²ʔlu³	vi̤²¹ʔlə³³	dzɿ²¹lv̩³³	kɔ⁵⁵lei³³	ko⁵⁵no³³	a⁵⁵bɛ²¹fu³³	xi⁵⁵xo³³lo²⁴	kɛ˞⁵⁵lɛ˞⁵⁵pu²¹
137	cricket	蟋蟀	*bɨ¹tʃɛ̠ᶫ	bɤ̤²¹tʂʅ̠²¹	bɨ²⁴tʂɛ⁵³	bə³³tsɿ⁴²	bɨ²¹tsɿ³³sy⁵⁵ly⁵⁵	ɛ³³toŋ³³	pɨ³⁵tɕɛ²¹nio³¹	a⁵⁵kʰɨ⁴¹tsa²¹pɛ˞³³lo²¹
138	grasshopper	蚱蜢	*tʃɛ¹pu¹	a⁵⁵pa̠²¹tʂə⁵⁵fv̩⁵⁵	pɛ˞⁴⁴tʂu⁴⁴	tsa⁵⁵kɔ⁵⁵	pu⁵⁵tʂu⁵⁵lu⁵³	tɕɛ⁵⁵pu⁵⁵	pɨ³³tɕɛ³³lɛ³³	tsa³³pu³³
139	flea ('dog louse')	跳蚤	*kʰi²xe¹	kʰɨ²¹ɕi⁵⁵	kʰɨ²¹ɕi²⁴	kʰu²¹ɕi⁵⁵	kʰɨ²¹ɕi⁵³	ko²¹xɛ⁵⁵	a²⁴no³³ko²¹xi²⁴	kʰo²¹ɕi⁵⁵
140	louse (clothing)	虱子(衣上)	*xe¹	ɕi⁵⁵	ɕi²⁴	ɕi⁵⁵	ɕi⁵³	i⁵⁵pu⁵⁵	xi²⁴	ɕi⁵⁵ma³³pʰu³³
141	centipede	蜈蚣	*ʃa¹xe¹	ʂa⁵⁵ɕi⁵⁵	ʂa²⁴ɕi²⁴	mi²⁴ɕi⁵⁵	ɕi⁵⁵ʂɛ˞ʔ⁵⁵	sa⁵⁵xɛn⁵⁵	mɛ⁵⁵dza²¹xa²⁴ni²⁴mo³³	
142	earthworm	蚯蚓	*a¹di¹	ʂa⁵⁵kʰə³³bʉ̤²¹di⁵⁵ʔɲi⁵⁵	ĩ²¹dzɿ²¹di²⁴	a⁵⁵di²⁴	a⁵⁵ɲa³³dzɿ²¹dy²⁴	a⁵⁵di⁵⁵	an²⁴ti³³ki³³li³³	bi²¹la³³kɛ˞⁵⁵
143	worm	虫	*bo²di¹	bʉ̤²¹di⁵⁵	dzɿ²¹di²⁴	bə²¹	a⁵⁵ɲa³³dzɿ²¹dy²⁴	bi²¹di⁵⁵	bɨ²¹tɕi²⁴tɕi²⁴	bi²¹bi³³
144	caterpillar	毛虫		bʉ̤²¹di⁵⁵ʔna³³	dzɿ²¹di²⁴ni⁴⁴tɕʰy³³be³³	bə²¹ni²⁴tsɿ⁵⁵	dzɿ²¹dy²⁴tsʰɛ˞⁵⁵po³³	bi²¹di⁵⁵tsʰɿ⁵⁵ɣɨ⁵⁵	bɨ²¹tɕi²⁴tɕi²⁴	bi²¹sɿ²¹pa⁵³
145	maggot	蛆/蛆虫	*ho̠ᴴ	vi̤²¹	hõ⁴⁴	fɤ̪³³	hõ˞³³	xo³³jo²¹	xuʲ⁵³jo³¹	ho⁵³
146	nest (a)	窝(鸟窝)	*kʰi¹	kʰɨ⁵⁵	kʰɨ²⁴	nia³³tɕʰi⁵⁵	by²⁴	jɛ²¹kʰɨ⁵⁵	kʰi²⁴	tə³³tə³³
146	nest (b)	窝(鸟窝)	*ty¹		kʰɨ²⁴		by²⁴		kʰi²⁴	tə³³tə³³
147	egg	蛋	*fu³	fv̩³³	fv̩³³	fɤ̪³³	fɤ̪˞³³	jɛ²¹fu³³	ɛ³³fv̩³³	fv̩³³fv̩³³
148	wing	翅膀	*du¹le̠ᶫ	də⁵⁵lɛ̠²¹	dv̩²⁴le⁵³	dɤ̪²⁴lei⁴²	dɤ̪˞²⁴lɛi³³	du⁵⁵lɛ̠²¹	ɛ²¹dv̩²⁴li²¹	dɤ̪³³lai⁵³
149	talon (a)	爪	*kʰi¹kji³		kʰɨ⁴⁴tɕi⁴⁴					
149	talon (b)	爪	*kʰi¹kaŋ³	kʰɨ⁵⁵ko³³			kʰɨ⁵⁵ka³³la³³			
150	hoof	蹄	*kʰi¹by̠ᶫ	bø̠²¹	kʰɨ⁴⁴by⁵³	bə⁴²	tʰi²⁴	kʰi⁵⁵bɑ̠²¹	kʰi⁵⁵bə²¹	tʰi²¹kʰɛ˞³³
151	horn	角	*kʰo¹	kʰə⁵⁵	kᶠʰv̪̪²⁴	kʰə⁵⁵	kʰɤ̪˞⁵³	jɛ²¹kʰɨ⁵⁵	ɛ³³kʰɨ²⁴	kʰɤ̪³³
152	tail	尾巴	*ʔmɛ²pʰɛ²							
152	tail	尾巴	*ʔmɛ²	ʔmɛ̤²¹	mɛ⁵³	mɛ²¹	mɛ˞²¹gɤ̪˞²¹ʂʅ²¹	jɛ²¹mɛ²¹	ɛ³³mɛ̠²¹	mɛ˞²¹tʰɛ˞²¹sɿ³³
153	tusk	长牙	*dʒɛ¹	dʑɛ⁵⁵	sɛ²¹fɛ²⁴, ɕy²¹fɛ²⁴	dzɛ²⁴	dʐɛ˞²⁴	jɛ²¹dʑɛ⁵⁵	ɕi²¹dʑi²⁴	xu²¹ja²¹
154	cockscomb	冠(鸡冠)	*kjo¹	a⁵⁵jɛ̠³³kø⁵⁵	kuɛ²⁴	i³³kə⁵⁵	kue⁵⁵	jɛ²¹ko⁵⁵	ka̠²¹kɨ²⁴	kei³³
155	tree	树	*si̠ᴴdze¹	sɿ̠³³dzɿ⁵⁵	sɿ⁴⁴dzɿ³⁴	ɕi³³dzei²⁴	sɿ⁴⁵³dzɿ²⁴	ɕi³³dʑɛ⁵⁵	ɕi³³dʑi²⁴	sɿ⁵³
156	pine tree	松树	*tʰaŋ²dze¹	tʰu̥²¹dzɿ⁵⁵	tʰu²¹dzɿ²⁴	sə⁵⁵dzei²⁴	tʰaŋ²¹dzɿ²⁴	tʰu²¹po³³dʑɛ⁵⁵	tʰaŋ²¹dʑi²⁴	tʰa²¹ɕy³³sɿ⁵³
157	fir tree	杉树	*ʔŋy¹dze¹	nə⁵⁵dzɿ⁵⁵	ŋo²⁴dzɿ²⁴	ŋɯ⁵⁵dzei²⁴	tʰaŋ²¹dzɿ²⁴		ma²¹pɛ²¹vaŋ⁵³	a⁵⁵ji⁵⁵san³³sɿ⁵³
158	willow tree	柳树	*ɣi¹mɨ²dze¹	ɣɨ⁵⁵ŋ²¹dzɿ⁵⁵	ɣɨ²⁴mə²¹dzɿ²⁴	i²⁴mʉ²¹dzei²⁴	vv̩˞²⁴ɲi²¹dzɿ²⁴		o²⁴muʲ⁵³jo³¹dʑi²⁴	ɲɛ˞³³m̩²¹sɿ⁵³
159	bamboo (a)	竹子	*va²	va̤²¹ma⁵⁵	va²¹ma³³dzɿ²⁴			wan²¹to⁵⁵	vu²¹do²⁴	
159	bamboo (b)	竹子	*ma¹	ma⁵⁵dzɿ⁵⁵	ma²⁴dzɿ²⁴	mɔ²⁴dzei²⁴	mo²⁴dzɿ²⁴	mon⁵⁵dʑɛ⁵⁵		ma³³
160	bamboo shoot	竹笋		ma⁵⁵bə̠³³	ma²⁴ny⁴⁴	mɔ²⁴dzɛ²⁴	mo²⁴dʐɛ˞³³	waŋ²¹	o³³mu²¹tsʰi⁵⁵jo³¹	ma³³mo⁵³
161	wheat	小麦	*ʃa¹	ʂa⁵⁵	ʂa²⁴	sɔ⁵⁵	ʂo⁴⁵³	kʰa²¹ɕɛŋ⁵⁵	so²⁴	sa³³
162	buckwheat	荞麦/荞子	*ga²	ɦa̤²¹sɛ̤²¹	ɣa²¹	gɔ²¹	go²¹kʰa²¹	go²¹	go²¹	ga²¹kʰa²¹
163	millet	稷	*tsʰy̠ᶫ	tsʰø̠²¹	tɕʰy⁵³	nɔ²¹nə⁵⁵	tsʰʷø³³	tsʰɑ̠²¹	vi²⁴	suei³³pai⁵⁵tsa³³
164	barley	大麦	*zi³	zɿ³³	zɿ³³	zɿ³³	zɿ³³		so²⁴	zo³³
165	sorghum	高粱	*ʔlu²	ʔlə²¹	lv̩⁵³		kao⁵⁵liaŋ⁵⁵		ko³³lɛŋ²¹	kao³³liaŋ³³
166	Job's tears	薏苡	*na²baŋ²sɛ²	tsɿ⁵⁵ka⁵⁵	na²¹pu²¹sɛ²¹		ʂʅ²¹sɛ˞²¹	a⁵⁵mu²¹tɕi⁵⁵la³³pɛ⁵⁵	ki³³li³³	ho⁵⁵sɛ˞⁴¹
167	corn	玉米	*ʃa¹mɨ²	ʂa⁵⁵mʉ̤²¹,ʂam⁵¹	ʂʅ⁴⁴mɨ²¹	u⁵⁵mɛ⁵⁵	ʂu⁴⁵mu³³	sə⁵⁵nə⁵⁵	ka³³sa²¹	tɕi⁵⁵mɨ³³
168	ear of grain	穗子	*ʔny¹	ʔny⁵⁵	ny⁴⁴	ja³³lə⁵⁵za²¹	ny⁴⁵³	jɛ²¹vɛ̠³³	ɛ²¹viʔ³³	
169	peanut	花生		lo̠²¹ti⁵⁵soŋ³³	lo²¹ti⁵⁵soŋ³³	lɔ²¹ti⁵⁵ɕiu³³	lo²¹ty⁵⁵soŋ³³	a⁵⁵nu³³tʰa⁵⁵tʰa²¹	a²⁴nu²¹tʰo³³lɛ̃³³	lo²¹soŋ³³
170	walnut	核桃	*sa²me¹	sɛ̤²¹mi⁵⁵	sa²¹me²⁴	sa²¹mei²⁴	sa²¹my²⁴		ma³³maŋ⁵³	sa²¹mi³³
171	cotton	棉花	*sa¹la²	sa⁵⁵la̤²¹	sa⁴⁴la²¹	xɔ⁵⁵miao²¹	so⁴⁵lo²¹	so⁵⁵lo²¹	so⁵⁵lo²¹	sa³³la³³xuɛ˞³³
172	ramie	苎麻	*dzi²	dzɿ²¹	dzɿ²¹	dʑi²¹	dzɿ²¹	dʑi²¹	dzɿ³³sɿ²¹	dzɿ²¹sɛ˞²¹sɿ⁵³
173	bean	豆子	*a¹nu̠ᴴ	a⁵⁵nə̠³³	a⁴⁴nu⁴⁴	no³³, nu³³	a³³nuʔ³³	a⁵⁵nuʔ³³	a²⁴nu²¹	nu⁴⁵³
174	melon	瓜	*pʰy²	a⁵⁵pʰy̥²¹	a⁵⁵pʰy²¹		a⁵⁵pʰy²¹	pʰən²¹	pʰəŋ²¹	
175	gourd	葫芦	*pʰy²	a⁵⁵mʉ̠²¹	a²¹my⁵³	a⁵⁵pʰə²¹tʰə³³		a⁵⁵pʰɨ²¹	a²⁴pʰɨ²¹	a⁵⁵pʰɨ⁴¹
176	cucumber	黄瓜	*sa²kje²	sɛ̤²¹kɛ̤²¹	sa²¹kai²¹	sa²¹kei²¹	saŋ²¹kai²¹	sa²¹kɨ²¹	ɕi³³kĩŋ²¹	sa²¹kai²¹
177	eggplant	茄子	*ga¹zi³	ɦa⁵⁵zɿ³³	ɣa²⁴zɿ³³	ɣɔ²⁴zɿ³³	go²⁴zɿ³³	aŋ⁵⁵kɛ⁵⁵lɛ⁵⁵	ma³³kʰɨ²⁴	tɕʰue²¹tsɿ³³
178	vegetable	蔬菜	*ɣaŋ²tʃe̠ᶫ	wṳ²¹	wu²¹tɕi⁵³	ja²¹	ɣa²¹tɕi̠³³	ɣa²¹	va²¹pʰi²⁴	wv̩²¹tsʰai³³
178	vegetable	蔬菜	*ɣaŋ²tʃe̠ᶫ		wu²¹tɕi⁵³		ɣa²¹tɕi̠³³			wv̩²¹tsʰai³³
179	greens	青菜	*ɣaŋ²	wṳ²¹	wu²¹pʰɛ²⁴	ja²¹lɔ³³tsɿ³³	ɣa²¹tɕi̠³³	ɣa²¹pʰɛ⁵⁵	va²¹pʰi²⁴	tɕʰiŋ³³tsʰai³³
180	radish	萝卜	*ɣaŋ²tʃʰe¹	wṳ²¹tɕʰi⁵⁵	wu²¹tɕʰi⁴⁵	ja²¹tɕi⁵⁵mɔ³³	ɣa²¹dzɿ²¹	ɣa²¹tɕʰɛ⁵⁵	va⁵⁵dʑi²¹da³³	wv̩²¹tsɿ²¹
181	garlic	蒜	*kʰa²sy¹	kʰa̤²¹sy⁵⁵	kʰa²¹ɕy²⁴	kʰa²¹tsʰə⁵⁵	kʰa²¹sy³⁵²	ko²¹sɿ⁵⁵	kə²¹sə²⁴	kʰa²¹sɨ³³
182	ginger	姜	*tʃʰaŋ²	tʂʰṳ²¹	tʂʰu²¹	tsʰa²¹	ja³³ga²⁴tʂʰʅ²¹	tsa²¹pʰɛ⁵⁵	tsa²¹pʰi²⁴ka³³la̠ʔ²¹	tsʰo²¹tɕia³³pɛ˞³³
183	galangal	高良姜(山奈)		a⁵⁵ʂo³³lo³³	ka⁵⁵tʂʰu²¹	tsa²¹tsɤ̪⁵⁵lɤ̪⁵⁵	mi³⁵ʂu³³	pa³³tʃa³³ji⁵⁵	jaŋ²¹tsʰɿ²¹ku³³	kɛ˞³³no²¹tʰu³³tʰu⁴³
184	chili pepper	辣椒	*pʰe¹				a³⁵mv̩²¹hĩ³⁵²	ma⁵⁵pʰi²¹	tsa²¹pʰi²⁴	
185	fruit	水果	*sɛ²	sɛ̤²¹	sɛ²¹	sɛ²¹	ʔø³³	jɛ²¹ɕɛ²¹	ɕɛ²¹ma²⁴	sɿ⁵⁵sɛ⁴¹sɛ²¹
186	peach	桃子	*sa²vy²	sø̤²¹ʔø̤²¹	sa²¹ve²¹	sa²¹ɣə²¹	sa²¹wu²¹ʔø³³	tsʰa²¹ɣɨ²¹	sa³³pʰɛ²¹	
187	persimmon	柿子	*mu²bɛ¹	m̩²¹bɛ⁵⁵	m̩²¹bɛ²⁴	m̩²¹bɛ²⁴	ʝi³⁵³bɛ˞²⁴ʔø³³		a²⁴tʰo⁵⁵ɕi³³pʰi²¹	a⁵⁵m̩²¹bɛ˞³³
188	banana	香蕉	*ʔŋja̠ᴴbjo²be³	ɕiaŋ³³tɕiao³³	ɲi⁴⁴be⁴⁴	ɲia³³ɲiu⁴²	ɲa³³dzɿ²¹be³³		a³³kuiŋ²¹, a³³kuɛ²¹	pa³³tɕiao³³
189	taro (a)	芋头	*a¹tʃʰo̠ᴴ	a⁵⁵tʂʰo̠³³	a⁴⁴tʂʰu⁴⁴	tsʰo³³, tsʰu³³	sɿ³³tɕʰi³³			
189	taro (b)	芋头	*bi²					bɨ²¹	bi²¹za²⁴	bi²¹tʰo³³
190	tobacco	烟/烟草		jin³³tsɿ³³	tsʰao²¹jɛ̃n³³	i⁵⁵nə³³pʰei²¹	kʰɤ̪˞²¹mɤ̪˞²¹	a⁵⁵kʰɨ²¹	su³³mu²⁴	jo³³jo³³
191	grass (a)	草	*ʃɨ²by̠ᶫ	ʂʅ²¹	ʂʅ²¹	sɿ²¹pə⁴²	ʂʅ²¹bɛi²¹			pə⁵⁵sɿ²¹
191	grass (b)	草	*mo̠ᶫ					mo²¹	mu̠ʔ²¹	
192	thatch	茅草		ʂʅ²¹hə⁵⁵ʂʅ²¹	kʰɨ²¹ʂʅ²¹mɛ⁵³	tɕi²¹tɕʰi⁵⁵	lo²¹sɿ³⁵³	ɨ⁵⁵sɿ²¹	tɕʰi⁵⁵ɣɨ³³tsuɛ⁵⁵jo³¹	
193	reed	芦苇		a⁵⁵kʰa³³	tʰu²¹hã²⁴	kɛ⁵⁵mɔ²⁴	a³⁵mɤ̪˞²¹pʰᶠɤ̪˞̪⁵⁵mu³³dzɿ²⁴	o²¹na²¹	ma³³naŋ²¹	
194	mushroom	菌子	*mo¹	mu⁵⁵lu⁵⁵,ŋ⁵⁵lu⁵⁵	mv̩²⁴	mə²⁴	n̩³⁵³to³³	ma⁵⁵lɛ⁵⁵jɛ⁵⁵	mɨ³³li²⁴ko²¹	m̩³³nai²¹
195	seed	种子	*ʃɨ²	ʂʅ²¹,ha⁵⁵ʂʅ²¹	hã⁴⁴ʂʅ²¹	ja³³sɿ²¹	ja³³ʂʅ²¹	jɛ²¹sɿ²¹	ɛ³³sɿ²¹	sɿ²¹kʰa³³
196	root	根	*kji³	tɕi³³	tɕi³³	ja³³tɕi³³	sɿ³⁵³tɕi³³	jɛ²¹kɛ³³	ɛ²¹kiŋ³³	kən³³tɕi³³
197	stem	茎	*dze¹		dzɿ²⁴	ja³³dzei²⁴	sɿ⁴⁵³dzɿ²⁴	jɛ²¹to⁵⁵	ɛ³³uʲ⁵⁵jo³¹	sɿ⁵⁵dzɿ³³
