No.	English gloss	Chinese gloss	Proto-Lalo	Lalo, Central-Western (Qingyun)	Lalo, Western (Shanglizhuo)	Lalo, Eastern (Diaocao)	Xuzhang	Mangdi	Eka	Yangliu
936	twenty one	二十一	*ni²tse¹ti̠ᶫ	n̩²¹tsi⁵⁵ti̤²¹	n̩²¹tsʰe²⁴tʰi⁵³		n̩²¹tɕʰi⁴⁵³tʂʅ²¹	n̩²¹tɕɛ⁵⁵tɕʰi²¹	ŋ̩²¹tɕi²⁴tʰi²¹	n̩²¹tsei³³tɕʰi⁵³
937	hundred	百	*ha¹	ha⁵⁵	hã²⁴	xɔ⁵⁵	hõ⁴⁵³	xo⁵⁵	ɛ²¹xo²⁴	ta²¹ha³³
938	thousand	千	*tu¹	tə⁵⁵	tv̩²⁴	tɤ̪⁵⁵	kɨ⁴⁵³	xɛn⁵⁵	ɛ²¹xĩn⁵³	tɕʰĩ³³
939	half (a)	半(一半)	*kʰy²	kʰy²¹	kᶠʰv̩²¹			kʰə²¹	ti³³kʰə²¹	
939	half (b)	半(一半)	*bɛ²				bɛ˞²¹			a³³bɛ˞²¹
939	half (c)	半(一半)	*bɨ¹			bə²⁴				
940	bowlful	碗	*kje²	kɛ²¹	kai²¹	kei²¹	kai²¹	ɕɛ²¹	ti³³ɕi²¹	a²¹kai⁵³
941	arm spread	庹(两臂伸直)pai	*ly¹	ly⁵⁵	tʰy²⁴	pʰei²¹	ly²⁴	lə⁵⁵	lə²⁴	a²¹lə³³
942	handspan	柞(拇指-中指)	*tʰy¹	tʰy⁵⁵	tʰy²¹	tʰə⁵⁵	tʰy⁴⁵³	tʰə⁵⁵	tʰə²⁴	a²¹tsa²¹
943	CLF.times	次	*pʰo̠ᴴ	pʰo³³	pʰa³³	tɕa²¹	po³³	tə⁵⁵	tʰi²¹po³³	a²¹po⁵³
944	1SG	我	*ŋa¹	ŋa⁴⁵	ŋa²⁴	ŋɔ⁵⁵	ũ⁴⁵³	ŋa⁵⁵	ŋo²⁴	ŋa³³
945	1PL (a)	我们	*ŋa¹tsa³	ŋa³³tsa³³		ŋɔ³³tsɔ³³				
945	1PL (b)	我们	*ʔŋa²		u²¹	na⁵⁵tɕia³³	nu⁴⁵³	ə⁵⁵xɨ³³	ŋo⁵⁵so³³	ŋa⁵³
946	1PL (inclusive)	咱们		a̤²¹va²¹				ə²¹	o⁵⁵so³³	
947	2SG	你	*ni¹	ŋ̩⁵⁵	ĩ⁵³	ni⁵⁵	ɲi⁴⁵³	ni⁵⁵	ni²⁴	ni³³
948	2PL	你们	*ɲa²		n̩⁴⁴tsa³³				ni⁵⁵so³³	ɲa²¹
948	2PL	你们	*ni¹tsa³	n̩³³tsa³³	n̩⁴⁴tsa³³	ni³³tsɔ³³		ni⁵⁵xɨ³³	ni⁵⁵so³³	
949	3SG	他	*ʒaŋ³	wu³³	ʐu³³	ja³³	ja³³	jɛ²¹	ɛ²¹	ja³³
950	3PL	他们	*ʒaŋ²					jɛ²¹xɨ³³	ɛ²¹so³³	ja²¹
950	3PL	他们	*ʒaŋ³tsa³	wu³³tsa³³	u³³tsa³³	ja³³tsɔ³³				
951	3SGR (another)	其他人/别人	*su¹	sɿ⁵⁵,tse⁵⁵ɣɨ²¹	ka²¹se³³	kə⁵⁵lə²¹sə⁵⁵		su⁵⁵	ɛ²¹wai²⁴tɕʰio⁵³	piɛ³³ni³³su³³
952	self	自己	*ɛ¹mɛ³	kua³³	a³³me³³	tsɿ²¹tɕi²¹		dʒəŋ²¹	dza²⁴	tɕa³³kɨ⁵³
953	another (thing)	另外		tse¹³	ka²¹se³³	a⁵⁵pɔ²¹pi²⁴	piɛ²⁴tiɛ³³	su⁵⁵	ɛ²¹wɛʲ²⁴	wai⁵⁵ĩ³³
954	POSS	的	*ɣɨ²	ɣɨ²¹	ɣɨ³³	ɣə²¹	xɨ²¹	la³³	no²¹	ɣɨ²¹
955	this (1)	这(个)	*tʃu¹	tʂʅ⁵⁵	tʂa²⁴	tsɿ⁵⁵lə²¹	tʂʅ⁴⁵³	tsʰa⁵⁵	tʰo²⁴	tsɿ⁵³
956	this kind	这种		tʃa⁵⁵si³³,tʂʅ⁵⁵ʐṳ²¹	tʂʅ⁴⁴ma³³	tsɿ⁵⁵ju³³		tsʰa⁵⁵jan⁵⁵	tʰo⁵⁵tʰi²¹tsaŋ²⁴	tsɿ⁵⁵ja⁵³
957	here (1)	这里		tʂao⁵⁵ko⁵⁵	tʂʅ⁴⁴ko⁴⁴	tsɿ⁵⁵ka⁵⁵	tʂʅ⁴⁵³mɛi³³lɛi²¹	tsʰa⁵⁵tʰɛ²¹	tʰo⁵⁵ka²⁴	tei³³hei³³
958	that one	那个		na⁵⁵tʂʅ⁵⁵ma⁵⁵	na⁴⁴ma³³	nu²⁴lu²¹	na⁴⁵³ja³³	kʰɨ⁵⁵wa³³	no³³mo²⁴	nə³³ja⁵³
959	that (higher)	那(上位)	*na(ŋ)¹	nao⁵⁵	na⁴⁴ma³³	nu⁵⁵mɔ³³	na⁴⁵³ja³³	nə⁵⁵	no³³mo²⁴	nə³³ja⁵³
960	that (lower)	那(下位)			na⁴⁴ma³³	tɕy⁵⁵mɔ³³	na⁴⁵³ja³³	kʰɨ⁵⁵	gɛ³³mo²⁴	nə³³ja⁵³
961	that (far)	那(远位)		kua³³	ni⁴⁴ma³³	gu²⁴mɔ³³	na⁴⁵³ja³³	nə⁵⁵na³³	kʰo⁵⁵mo³³	nə³³ja⁵³
962	there	那里		nao⁵⁵kuo⁵⁵,dʑio⁵⁵ko⁵⁵	na⁴⁴pa²¹	nu²⁴ka⁵⁵	na⁴⁵³ka⁴⁵³	ta²¹ka⁵⁵	kʰo⁵⁵ka²⁴	nei³³hei³³
963	in front (a)	前面	*u²si¹	ʔɲi²¹di²¹	wu⁴⁴by²¹	ə²¹sə⁵⁵	wu²¹ɕi⁴⁴	wo²¹sɛ⁵⁵	sa⁵⁵pə²¹	ɣɨ²¹hei³³
963	in front (b)	前面	*u²by²	ʔɲi²¹di²¹	wu⁴⁴by²¹				sa⁵⁵pə²¹	
964	on the other side	对面			wu³³tɕy³³	tei²¹ku²¹bɔ²¹	tɛi³³ku³³	næ⁵⁵xɛ²¹	tʰi²¹bʲa⁵³	tai⁵⁵ku²¹lai²¹
965	behind (a)	后面	*i²se¹			kɔ²¹ta³³		pʰɛ²¹tɛ²¹kɛ⁵⁵		ŋa³³ni²¹
965	behind (b)	后面	*ɣa¹du³	lɛ⁴⁵də³³	ɣa²⁴dv̩³³		ɣɛ˞²⁴dɛ˞³³		o⁵⁵tu³³	ŋa³³ni²¹
966	between	中间	*ka̠ᶫkaŋ¹	ka²¹kə⁵⁵	ka⁵⁵kv̩⁴⁴	ka⁵⁵la⁵⁵	a²¹li³³li³³ka³³	ka⁵⁵dʒɿ³³	taŋ³³ka²⁴	ka³³la³³
967	left	左边	*ʔvɛ²	ʔvɛ̤²¹si⁵⁵	lɛ⁴⁴vɛ˞⁵⁵se⁴⁴	lei⁴²vɛ²¹	ɛ˞²¹pʰɛi³³	vɛ²¹sɿ⁵⁵	ma³³pʰa̠²¹	tʰa²¹pʰiɛ˞³³bei³³lei³³
968	right	右边	*ʒa¹	jɛ⁵⁵si⁵⁵	lɛ⁵³tʂʅ³³se⁴⁴	lei⁴²tsɿ⁵⁵	ʐu⁵⁵pʰɛi³³	dʒə⁵⁵sɿ⁵⁵	pʰa̠²¹ka³³	suən³³sou²¹bei³³lei³³
969	beside	旁边	*ba²ta³	ba̤²¹tai⁵³	ba²¹tɛ³³se⁴⁴	bɔ²¹tɛ³³	dzi²⁴lə²¹	jɛ²¹dʒə⁵⁵	ɛ²⁴ŋɨʲ²⁴	dzə³³lai²¹
970	side	边	*ba²dzi¹	beʲ̤²¹	dze²⁴	pʰia²¹		dʒə⁵⁵	ɛ³³kʰɛ²¹	piɛ³³piɛ³³lai²¹
