No.	Gloss	Proto-Karenic (Luangthongkum 2019)	Proto-Karenic (Burling 1969)	Northern Pa-O	Southern Pa-O	Kayan	Kayah	Western Bwe	Kayaw	Northern Sgaw	Southern Sgaw	Northern Pwo	Southern Pwo	Page	Notes
61	comb (v.)	*khwitᴰ	*khwi⁴	khut²¹	-	khiɁ⁴⁵	khwi⁵⁵	khwi³³	khi³³	khwi³³	khwi⁵⁵	khwi³⁵	khwi⁵³	xxi	The SK tones suggest tone *A in PK.
62	cotton thread	*hlowᴮ	*ly²	lu⁵⁵	lu³³	lu¹¹	lo¹¹	lu³³	lu¹¹	lɨ³¹῀	lɨ⁴⁵’	lou³³	lou⁵⁵	xxi	
63	cough (v.)	*kukᴰ	*kuɁ²	(taɁ²¹he⁵⁵) khuk²¹	-	khuɁ⁴⁵	khɨ⁵⁵	θə⁵⁵khu³³	khɨ³³	kuɁ⁴⁵	kɔuɁ²¹	kauɁ⁴⁵	kɔuɁ³¹	xxi	
64	crab	*chwɛᴮ	*chwɛ²	chwɛ⁵⁵	chwɛ³³	chwɛ¹¹	chwa¹¹	ʃwɛ³³	chɛ¹¹	chwɛ³¹῀	chwɛ⁴⁵’	chwɛ³³	chwɛ⁵⁵	xxi	
65	cricket	*s-kiᴬ		ki³¹ ̈	ki³¹ ̈	ki⁵³	ki³³	-	(dɛ¹¹) ki⁵⁵	sə¹¹ki³³	tə¹¹ki⁵⁵	-	-	xxi	ki⁵³ in Kayan is a kind of grub.
66	crocodile	s-hmaᴮ	*ma²	-	-	-	-	θə³³mɛ ³³	ma¹¹	sə³³ma³¹῀	ma⁴⁵’	ma³³	ma⁵⁵	xxi	
67	crop (of fowl), gizzard	*k-hniᴬ	*nin⁴	-	-	-	kɛ³³ni³³	kə⁵⁵ni⁵⁵	ki¹¹ni⁵⁵	kə¹¹ni³³	ni⁵⁵	nei³⁵	nei⁵³	xxi	
68	cross (v.)	*khaNᴬ		-	-	-	khɛ³³	-	khɔ⁵⁵	khɔ³³	khɔ⁵⁵	khɛ̃³⁵	khɔ̃⁵³	xxii	
69	crossbow	*klejᴮ	*khli²	khli⁵⁵	kli³³	-	klə¹¹	khli³³	khli¹¹	khli³¹῀	khli⁴⁵’	khlei³³	khlei⁵⁵	xxii	
70	crow (v.)	*Ɂoᴮ		Ɂu⁵⁵	Ɂu³³	-	Ɂu¹¹	ʊ³³	Ɂu¹¹	Ɂɔ³¹῀ Ɂo³³	Ɂu⁵⁵	Ɂu³³	Ɂɔ̃³¹ ̈Ɂu⁵⁵	xxii	Sgaw has tone A while Pwo, NK and CK have tone B.
71	crush (v.)	*k-hnɔNᴮ		-	-	-	no¹¹	kə³³nʊ³³	no¹¹	no³¹῀	nu⁴⁵’	nɔ̃³³	nõ⁵⁵	xxii	
72	cucumber	*Ɂdejᴬ	*di³	-	di³¹ ̈	-	də³³	ɗi⁵⁵	di⁵⁵	di³³	di⁵⁵	thei⁵⁵	thei³¹ ̈	xxii	Pwo has an irregular initial. It should be /d-/ instead of /th-/.
73	dark, late evening	*khiɁᴰ	*khiɁ²	kheɁ²¹	khiɁ²¹	khɨɁ⁴⁵	khi⁵⁵	khi³³	khi³³	khiɁ⁴⁵	khaiɁ²¹	khaiɁ⁴⁵	khaiɁ³¹	xxii	
74	daughter-in-law	*Ɂdɛᴮ	*dɛ²	-	-	dɛ¹¹	dɛ¹¹	-ɗɛ³³	dɛ¹¹	dɛ³¹῀	dɛ⁴⁵’	dɛ³³	dɛ⁵⁵	xxii	
75	day	*nejᴬ	*ni³	ni³³	ni⁵³	-	nə¹¹	ni³³	ni³³	ni³³	ni³³	nei⁵⁵	nei³¹ ̈	xxii	
76	dead, die	*sejᴬ	*si⁴	si³¹ ̈	si³¹ ̈	θɨ⁵³	sə³³	θɨ⁵⁵	si⁵⁵	si³³	si⁵⁵	sei³⁵	θei⁵³	xxii	
77	deaf	*Ɂəŋᴬ		Ɂəŋ³¹ ̈	Ɂəŋ³¹ ̈	Ɂəŋ⁵³	Ɂɔ³³	tə’o⁵⁵	Ɂə⁵⁵	Ɂə³³	Ɂə⁵⁵	Ɂɑ̃⁵⁵	Ɂə̃³¹ ̈	xxii	
78	deep	*jɔɁᴰ	*ŋoɁ¹	jɔɁ⁴⁵	jɔɁ⁴⁵	ɈauɁ²¹	jɛ³³	jɔ¹¹	-	jɔɁ²¹	jo¹¹ ̈	joɁ²¹	juɁ⁴⁵	xxii	
79	deer (barking ~)	*d-khejᴬ		khi³¹ ̈	khi³¹ ̈	khɨ⁵³	khə³³	do¹¹khi⁵⁵	khi⁵⁵	-	-	-	-	xxii	
80	deer (sambhar ~)	*t-khroɁᴰ		khjoɁ²¹	khjoɁ²¹	khjɔɁ⁴⁵	khrɔ⁵⁵	kho³³	khə³³	ta³³xɔ³³	thɔ³³xɔ⁵⁵	ta³³xɔ⁵⁵	chə³³xo³¹ ̈	xxiii	In SK, the rhyme *-oɁᴰ has become -ɔᴬ (SG, N.PW) and -oᴬ (S.PW).
81	delicious	*Ɂwiᴮ		Ɂwi⁵⁵	Ɂwi³³	Ɂwi¹¹	wi¹¹	-	wi¹¹	kwi²¹	-	Ɂwi³³	Ɂwi⁵⁵	xxiii	
82	descent, go down, set	* laŋᴬ	*laŋ³	laŋ³³	laŋ⁵³	laŋ³³	lɛ¹¹	la³³	lɔ³³	lɔ³³	lɔ³³	lɛ̃⁵⁵	lɔ̃³¹ ̈	xxiii	
83	dig	*khuᴮ	*khun²	khu⁵⁵	khu³³	-	khɨ¹¹	-	khu¹¹	khu³¹῀	khu⁴⁵’	khɑ³³	khə⁵⁵	xxiii	
84	dip up (water)	*Ɂd( )Nᴮ	*dəm²	-	-	du¹¹	-	ɗɔ⁵⁵	du¹¹	də³¹῀	dɨ⁴⁵’	dãə³³	dãə⁵⁵	xxiii	
85	Dipterocarpus tuberculatus	*thəNᴬ		təŋ³¹ ̈	-	thə⁵³	thɔ³³	-	thə⁵⁵	thə³³	thɔ⁵⁵	thɑ̃⁵⁵	-	xxiii	In N.Pwo, it is an irregular tone change, i.e. tone 55 (A23) instead of tone 35 (A1) as in Sgaw, NK and CK.
86	disappear, lost	*maᴮ	*ma¹	ma⁵³	ma⁵⁵	ma¹¹	me¹¹	hɛ⁵⁵mɛ¹¹	ma¹¹	ma¹¹ ̈	ma³¹	mɛ¹¹ ̈	ma³³	xxiii	
87	dog	*thwiᴮ	*thwi²	thwi⁵⁵	thwi³³	thwi¹¹	thwi¹¹	thwi³³	thi¹¹	thwi³¹῀	thwi⁴⁵’	thwi³³	thwi⁵⁵	xxiii	
88	do, make	*maᴬ	*ma³	ma³³	ma⁵³	ma³³	me¹¹	mɛ	ma³³	ma³³	ma³³	mɛ⁵⁵	ma³¹ ̈	xxiii	
89	dove	*(thoᴮ)lwiᴮ		lwi⁵³	lwi⁵⁵	lwi¹¹	lwi¹¹	lwi³³	li¹¹	lwi¹¹ ̈	lwi³¹	lei¹¹ ̈	lwi³³	xxiii	
90	dream (v.)	*maŋᴮ	*maŋ¹	maŋ⁵³	maŋ⁵⁵	maŋ¹¹	mɛ¹¹	mi⁵⁵ma³³	mɔ¹¹	mi³³mɔ³¹῀	mɔ³¹	mɛ̃¹¹ ̈	mɔ̃³³	xxiii	
91	drink (v.)	Ɂɔᴬ	*Ɂɔ³	-	-	Ɂau⁵³	Ɂo³³	ɔ⁵⁵	Ɂo⁵⁵	Ɂɔ³³	Ɂɔ⁵⁵	Ɂɔ⁵⁵	Ɂo³¹ ̈	xxiii	
92	dry (v.)	*hloᴬ	*lo⁴	lo³¹ ̈	lo³¹ ̈	lau⁵³	-	lo⁵⁵	lo⁵⁵	lɔ³³	lɔ⁵⁵	lu³⁵	lu⁵³	xxiv	
93	drunk	*mwɨNᴬ	*mun³	mun³³	mu̯əm⁵³	mɨ³³	mɨ¹¹	mu³³	mʉ³³	mu³³	mu³³	mɑ̃⁵⁵	mə̃ɨ³¹ ̈	xxiv	
94	dung, excrement	* Ɂeᴮ	*Ɂe²	Ɂe⁵⁵	Ɂe³³	Ɂai¹¹	Ɂi¹¹	ɪ³³	Ɂi¹¹	Ɂe³¹῀	Ɂe⁴⁵’	Ɂi³³	Ɂi⁵⁵	xxiv	
95	ear	*naᴮ	*na¹	na⁵³	na⁵⁵	na¹¹	ne¹¹	nɛ³³	na¹¹	na¹¹ ̈	na³¹	nɛ¹¹	na³³	xxiv	
96	earthworm	*jɛɁᴰ		jɛɁ⁴⁵	jɛɁ⁴⁵	ɟɛɁ²¹	ja³³	-	je³³	-	-	-	-	xxiv	
97	easy	*hɲawᴬ	*ŋɔ⁴	-	-	jau⁵³	ju³³	jo⁵⁵	ju⁵⁵	ɲɔ³³	ɲɔ⁵⁵	jɔ³⁵	jo⁵³	xxiv	
98	eat	*Ɂamᴮ	*Ɂam²	Ɂam⁵⁵	Ɂam³³	Ɂaŋ¹¹	Ɂɛ¹¹	a³³	Ɂɔ¹¹	Ɂɔ³¹῀	Ɂɔ⁴⁵’	Ɂɛ̃³³	Ɂɔ̃⁵⁵	xxiv	
99	egg	*Ɂdejᴮ	*di²	di⁵⁵	di³³	tɨ¹¹	də¹¹	- ɗi³³	di¹¹	di³¹῀	di⁴⁵’	dei³³	dei⁵⁵	xxiv	Kayan has an irregular onset, i.e. /t-/ instead of /d-/.
100	eggplant	*s-gaNᴬ		-	-	kaŋ³³	kɛ¹¹	-	-kɔ³³	sə¹¹kɔ³³	kɔ³³	-	-	xxiv	
