English gloss	Part of speech; notes	Proto-Bodo-Garo
soda from ashes, curry, gravy	n. (cf. 'salt' B, 'water')	*khar[¹]-dɯi
soft	v.i.	*nom³
sour	v.i.	*khɯi¹
sow, scatter (seeds, etc.)	v.t.	*phu¹
spirit, god	n.	*mɯ-Dai⁴
spirit, life	n.	*[ci¹-u]
spotted, multicolored	adv.	*prɯm¹
spouses, a couple	n. (cf. 'wife', 'husband')	*jɯk-Sai
spread out, mats, etc.	v.t.	*[]an¹
sprinkle, scatter, as water or seeds	v.t.	*sat
stab, pierce, pound, strike	v.t.	*shu²
stand	v.i.	*diŋ¹
stand, get up, from sitting or lying	v.i.	*[ci⁴-khat-]
star	n.	*[ha⁴-tV-khi]
step, tread, trample	v.t.	*ga²
stick, twig	n.	*kol²
stomach	n. cf. 'hungry'	*bwok
stone	n.	*loŋ²
stony land	n.	*grɯm¹
straight	v.i.	*p[l]eŋ¹
strength	n.	*bɯl¹
stretch out, rope, etc.; build a bamboo bridge	v.t.	*Srɯŋ¹
subordinating suffix		*-e⁰
suck	v.t.	*[Sɯp]
suckle, feed liquids	v.t.	*khan¹
suddenly	adv.	*[t]ap³
sufficient	v.i.	*thɯk
sun, day	n.	*sal¹
swallow	v.t.	*mo⁴-nok
sweat, perspiration	n.	*lɯm⁴
sweet	v.i.	*tɯi²
swell	v.i. (A)	*tuk
swell	v.i. (B)	*BV¹
swoop down, carry off, of hawks	v.t.	*Srap
take away	v.t.	*laŋ²
take	v.t.	*la²
tall, high	v.i.	*cu¹
tamarind	n.	*[cen⁴-tleŋ]
tartar of teeth	n. (cf. 'tooth', 'feces')	*wa³-khi
taste good, tasty	v.i.	*thao¹
tear	v.i.	*ki⁴-ci
tear	v.t.	*cit
tears	n. (cf. 'eye', 'water')	*mɯk⁴-tɯi
thatch	v.t.	*thap
thick	v.i.	*rɯ⁴-ca
thin	v.i.	*pa²
thirsty	v.i.	*gaŋ²
this	dem.	*i⁴
thorn	n.	*su²
thread	n. (cf. 'cotton')	*khul⁴-tuŋ
three	num.	*tham²
thresh by treading on grain stalks, massage,	v.t.	*nak
through	adv. part.	*-phru⁴
throw away, discard	v.t.	*kar¹
throw, shoot	v.t.	*kao¹
tie	v.t.	*kha¹
tiger	n.	*mV⁴-sha
tip	n.	*cV[²]
tired	v.i.	*neŋ²
toe nail	n. (cf. 'toe', 'skin')	*ya²-si-kur
together, close	adv.	*grɯm³
tongue	n.	*shV¹-lai
tooth	n.	*phwa¹-Gam
touch	v.t. (A)	*Daŋ¹
touch, hit target, stick to	v.t. (B)	*naŋ¹
transform, return	v.i.	*phil²
tree, cut tree, wood	n. (B)	*pol¹
tree, standing tree, trunk, stem	n. (A)	*phaŋ³
trembling shivering	adv. (B)	*dɯr³
trembling, shivering	adv. (A)	*thVr[²]
trough	n.	*kh[r]oŋ⁴
tuber, yam	n.	*tha²
turban	n. (A) (cf. 'head')	*khao⁴-[pVŋ]
turban	n. (B)	*pha⁴-Ga
two	num. (A)	*[ki⁴]-niŋ
two	num. (B)	*nɯi⁴
uncle, father's elder brother	n. (cf. 'father')	*pha⁴-yoŋ
uncle, father's younger brother	n.	*bwaŋ¹
untie	v.t.	*[]eŋ³
up to, until	pp.	*[dɯ²-pV]
urinate	v.i.	*Su[²]
village	n.	*shoŋ¹
voice	n. (A) (cf. 'mouth')	*khu²-raŋ
voice	n. (B)	*rao¹
waist	n. (A)	*khaŋ²
waist	n. (B)	*seŋ²
waist	n. (C)	*siŋ²
warm hands by fire	v.i.	*haŋ¹
wash	v.t.	*shu²
watch house	n.	*bo³-Raŋ
watch, guard	v.t.	*ne[t]
water	n.	*tɯi¹
water-pot	n.	*kɯm³-bai
we	pro.	*ciŋ¹
weaken	v.i.	*rop
wear (as shawl or shirt)	v.t.	*cun¹
wear, put on	v.t.	*kan¹
weave (cloth)	v.t.	*tak
weave (edge of basket)	v.t.	*khao¹
weave bamboo basketry	v.t.	*bwat
weave, intertwine	v.t.	*[h]rVp
weed, remove weeds with a tool	v.t.	*taŋ¹
wet	v.i.	*Si⁴
what	q.w.	*ma⁴
white	v.i. (A)	*bok
white	v.i. (B)	*phu[r]⁴
who	q.w.	*shar¹
widely spaced, sparse	v.i.	*heŋ²
wife	n.	*jɯk
willing, want to do	v.i.	*goŋ¹
wind (thread)	v.t.	*phwan²
wind around, wrap	v.t.	*phan²
wind	n.	*par¹
wing, feather	n.	*kraŋ¹
winnow	v.t.	*cao¹
winnow, wave	v.t.	*jip
woman, wife	n.	*mV²-cik
worm, insect, bug	n.	*yoŋ²
worn out	v.i. (cf. 'old')	*cam²
wrap in leaf, paper	v.t.	*cu²
year, last	n.	*kha⁴-lV
yesterday	n.	*mi¹-a
you (sg.)	pro. (A)	*na²
you (sg.)	pro. (B)	*naŋ²
