No.	Gloss	Proto-Ersuic
751	under	*kʰuija
752	upper part	*gɑpʰo¹
753	urine	*mbrɑ¹
754	use	*zjẽ¹
755	used / old	*pʰælæ¹
756	vagina	*htɕi¹
757	vat / jar	*tʂʰwæ
758	village	*xu¹
759	vomit, spit	*mpʰi²
760	waist	*dʒu¹
761	wait	*kʰelo¹
762	wake up	*detɕa¹
763	walk	*xui
764	walking stick	*(d)zibu¹
765	wall (stone)	*lodʑu¹
766	walnut	*kʰɑrV¹
767	want (to go)	*debwo¹
768	want / need	*hõ¹
769	wash (clothes)	*tsʰe²
770	watch, look	*hto
771	water / soup	*re¹
772	water, river	*dʒiu¹
773	we	*ɑdo(ri)¹
774	we (dual)	*ɑdzje / adzɑ¹
775	wear (a bracelet)	*desæ¹
776	wear (a garment)	*deɣui¹
777	wear (a hat)	*detsu¹
778	weave / knit	*de¹
779	wedge	*ndzẽ¹
780	weigh (v.)	*ndʒew
781	welcome, receive somebody	*tse
782	west	*niu¹
783	wet	*dzjẽdzjẽ²
784	what	*(h)æne
785	wheat	*ʃæ¹
786	when	*nikʰæ²
787	white	*deliu¹
788	who	*se²
789	wide / broad	*(d)zi²
790	widow	*tʃʰiumæ
791	willow	*mbro¹
792	win	*tʰekʰwɑ¹
793	wind	*meli / mele²
794	wind (thread onto a keel)	*tɕo¹
795	window	*pwondʐoŋgæ²
796	wing	*du(liu)¹
797	winnow	*ɬje¹
798	winnowing tray / basket	*lipʰi / læpʰi¹
799	wipe (the table)	*pʰjapʰja¹
800	wok (large, iron) / pan	*dʐiu¹
801	wood / log	*sẽ¹
802	work / labor	*belæ¹
803	worry / be anxious	*sæmbæ² neɕi
804	wound	*lɑkʰɑ / lokʰɑ¹
805	wrap (v.)	*kʰekuliu¹
806	write	*riu¹
807	yak	*rA
808	yak (male)	*bu¹
809	yawn	*xɑ¹ mu
810	year	*diutʂʰe¹
811	year after next	*ndʒihĩ²
812	year before last	*ʂo(ji)hĩ¹
813	yellow	*ʂiu¹ (< Yi?)
814	yesterday	*janiu¹
815	you	*ne / no²
816	you (pl.)	*neri
817	you two	*nedzje / nedzɑ¹
818	young lad / chap	*mpʰrozæ¹
819	younger sibling	*ninɑ¹
