No.	Category no.	Semantic category	Gloss	Proto-Tibeto-Burman
505	1.3.5	Throat/Pharynx	throat	*mit
1725	1.3.5	Throat/Pharynx	throat	*ri
501	1.3.5.2	Windpipe/Trachea	windpipe / trachea / throat	*ti
3411	1.3.5.2	Windpipe/Trachea	windpipe / Adam's apple	*tsyi-k
3412	1.3.5.4	Adam's Apple/Larynx	larynx	*lwak
3365	1.3.5.4	Adam's Apple/Larynx	larynx / windpipe / neck	*baw
627	1.3.5.6	Swallow	swallow (v.) / throat	*mlyəw-k
2130	1.3.5.6	Swallow	sneeze / nose / swallow	*s-brit
3400	1.3.5.6	Swallow	swallow (v.)	*tun
2260	1.3.5.7	Choke	hawk / gag / choke	*ha(ː)k
36	1.3.5.8	Eat/Devour	eat / food / feed / rice	*m-dz(y)a-k/n/t/s
1707	1.3.5.8	Eat/Devour	eat	*ka-y/w/m
3414	1.3.5.8	Eat/Devour	eat	*h(w)a-k
5809	1.3.5.8	Eat/Devour	taste	*m-(r/y)aŋ
487	1.3.5.9	Drink	eat / drink	*ʔam
1704	1.3.5.9	Drink	drink	*hwap
1705	1.3.5.9	Drink	drink	*m-l(i/u)(ŋ/k)
1713	1.3.5.9	Drink	drink	*ʔ-wa
1714	1.3.5.9	Drink	drink	*ʔuŋ
561	1.3.5.9	Drink	drunk	*yit
479	1.4.2	Neck	neck	*g/m-liŋ
255	1.4.2	Neck	neck	*tsiŋ
359	1.4.2	Neck	head / skull / neck	*tuk ~ *twak
3361	1.4.2	Neck	neck / throat	*gwaŋ
481	1.4.2	Neck	neck	*s/m-key-k
483	1.4.2	Neck	neck / waist	*s-ŋwa(ŋ/k)
484	1.4.2	Neck	neck / throat	*bran ~ *pwat
389	1.4.2	Neck	neck / nape	*s/r-gwa-n
393	1.4.2	Neck	nape of neck	*tsyak
3404	1.4.2	Neck	neck	*p(w)aŋ
485	1.4.2	Neck	neck	*g-n(y)a
3407	1.4.2	Neck	neck	*dwar
1277	1.4.2	Neck	ravine / valley	*grawk
5650	1.4.2	Neck	neck	*rim
5651	1.4.2	Neck	neck / throat	*ku
3344	1.4.3	Shoulder	shoulder	*baw
3343	1.4.3	Shoulder	shoulder	*t(w)a(ŋ/k)
570	1.4.3	Shoulder	carry / shoulder	*ba-k
568	1.4.3	Shoulder	shoulder	*p(r)ak ~ *r-pak
563	1.4.3	Shoulder	shoulder	*m/p-lyaŋ
565	1.4.3	Shoulder	shoulder	*d(y/w)ar
3350	1.4.3	Shoulder	shoulder	*l/k-wak
3347	1.4.3	Shoulder	shoulder	*bal
3346	1.4.3	Shoulder	shoulder	*k(r)waŋ
3393	1.4.3	Shoulder	shoulder / carry on shoulder	*k(w/y)an
3409	1.4.3	Shoulder	shoulder	*kyaŋ
3408	1.4.3	Shoulder	shoulder	*dway
6704	1.4.3	Shoulder	shoulder	*(t)swak
1214	1.4.4	Front	front / before	*səy
1213	1.4.4	Front	front	*s-rəy
1209	1.4.4	Front	front / forehead	*ka
1212	1.4.4	Front	front / forehead	*ti-ŋ
1210	1.4.4	Front	front	*maŋ
1255	1.4.4.2	Bosom/Lap	chest / lap / bosom	*(p/b)a(k/ŋ)
1193	1.4.4.2	Bosom/Lap	lap / bosom	*m-dum
560	1.4.4.3	Chest	chest / rib	*k(r)u
288	1.4.4.3	Chest	chest	*b/g-raŋ
310	1.4.4.3	Chest	chest	*k(w)a
299	1.4.4.3	Chest	chest	*tsu-N
291	1.4.4.3	Chest	chest / rib	*wa(m/p)
1276	1.4.4.3	Chest	cage	*kruːŋ
289	1.4.4.3	Chest	chest / breast / rib	*m-twa(k/ŋ)
3396	1.4.4.3	Chest	chest	*ru
3399	1.4.4.3	Chest	chest / rib	*kywak
3373	1.4.4.3	Chest	chest	*tan
3376	1.4.4.3	Chest	chest / rib	*tsyal
3377	1.4.4.3	Chest	chest	*ŋaN
3398	1.4.4.3	Chest	chest	*ki
554	1.4.4.4	Ribs/Ribcage	rib / side	*s-ri(p/m)
558	1.4.4.4	Ribs/Ribcage	rib	*s/b-ram
553	1.4.4.4	Ribs/Ribcage	rib	*s-nam
3379	1.4.4.4	Ribs/Ribcage	rib	*s-riŋ
1305	1.4.5	Sides	side	*pa(ŋ/k)
407	1.4.5	Sides	edge / corner / side	*z(u/i)r
594	1.4.5	Sides	edge / side	*m-dzya
215	1.4.6	Waist	waist	*gyu-k ~ *dzyu-k
219	1.4.6	Waist	waist / hips / buttocks / tail / back	*k(w)a(ŋ/k)
223	1.4.6	Waist	waist / lower back / loins	*m-(t)syi(ŋ/k)
217	1.4.6	Waist	waist / loins	*krya(t/n)
1361	1.4.6	Waist	waist / hips / lower back / buttocks / tail	*d/s-pəy
220	1.4.6	Waist	waist	*ru
1362	1.4.6	Waist	hips / waist / small of back / buttocks / tail	*(d/t)am
1364	1.4.6	Waist	below / buttocks / lower back	*hwaŋ
1373	1.4.6	Waist	waist / belt / zone / flat expanse	*s-daːy
222	1.4.6	Waist	waist	*k/m-sya(ŋ/n)
221	1.4.6	Waist	waist / lower back / loins	*kray
3368	1.4.6	Waist	waist	*pak
211	1.4.8	Back	back	*k(r)aw ~ *k(y)aw
203	1.4.8	Back	back / behind / after	*s-nu(ŋ/k)
209	1.4.8	Back	back / spine	*g/b-liŋ ~ *g/b-lyaŋ
207	1.4.8	Back	back / kidney	*m-k(y)un
1107	1.4.8	Back	back (lower) / buttocks	*man
206	1.4.8	Back	back / body	*(k/g)um
3322	1.4.8	Back	back (of body)	*tu(k/ŋ)
3326	1.4.8	Back	back / bottom / under / behind	*pa(ŋ/k)
3324	1.4.8	Back	back (body)	*(l/n)am
3323	1.4.8	Back	back (body)	*m-ruŋ
2827	1.4.8	Back	back (adv.) / back (body part)	*kur
3329	1.4.8	Back	back	*(p/b)al
3330	1.4.8	Back	waist / back / buttock	*paw
3391	1.4.8	Back	back	*ts(y)a
225	1.4.8.1	Lower Back/Small of Back	buttocks / hips / tail / lower back / loins	*m-daŋ
201	1.4.8.1	Lower Back/Small of Back	back (lower) / kidney / load / carry	*m-kal ~ *s-gal
213	1.4.8.1	Lower Back/Small of Back	back (lower) / loins	*r-gyap
208	1.4.8.1	Lower Back/Small of Back	back (lower)	*dzyaŋ
212	1.4.8.1	Lower Back/Small of Back	lower back / waist / loins	*dal
214	1.4.8.1	Lower Back/Small of Back	lower back / crotch	*s-ha(k/ŋ)
3384	1.4.9	Loins/Groin	groin	*dak
3340	1.4.9	Loins/Groin	waist / loins	*m-tya(k/ŋ)
1278	1.4.9.1	Crotch/Fork	fork / branch / crotch	*s-ka(ː)k
1279	1.4.9.1	Crotch/Fork	fork / branch / crotch / groin	*kap
3341	1.4.9.1	Crotch/Fork	groin / crotch	*b-la
410	1.4.9.2	Hips/Pelvis/Haunches	hips / buttocks / tail	*m-(p/b)a
3334	1.4.9.2	Hips/Pelvis/Haunches	hip	*tsyu(m/p)
406	1.4.9.2	Hips/Pelvis/Haunches	backside / hips	*s/m-ta
3352	1.4.9.2	Hips/Pelvis/Haunches	hip	*na
404	1.4.9.2	Hips/Pelvis/Haunches	hips / buttocks / tail / anus	*(p/b)waŋ
413	1.4.9.2	Hips/Pelvis/Haunches	hips / buttocks / anus	*s-li
399	1.4.9.2	Hips/Pelvis/Haunches	hips / buttocks	*(p/b)laŋ
202	1.4.9.2	Hips/Pelvis/Haunches	back (lower) / buttocks / hips	*(k/g)yal
408	1.4.9.2	Hips/Pelvis/Haunches	buttocks / anus / hips	*g-raŋ ~ *k-laŋ
398	1.4.9.2	Hips/Pelvis/Haunches	hips	*m-pu
400	1.4.9.2	Hips/Pelvis/Haunches	hips	*pin
3357	1.4.9.2	Hips/Pelvis/Haunches	hips	*liŋ
265	1.4.10	Buttocks/Rump	buttocks / hips / rectum	*pur
3331	1.4.10	Buttocks/Rump	tail / backside	*m/b-gyu(ŋ/k)
411	1.4.10	Buttocks/Rump	buttocks / tail / back	*mu(n/ŋ)
3333	1.4.10	Buttocks/Rump	buttocks / tail	*swap
405	1.4.10	Buttocks/Rump	buttocks / anus	*r-kup
3358	1.4.10	Buttocks/Rump	buttock	*saŋ
3359	1.4.10	Buttocks/Rump	buttock	*pat
3337	1.4.10	Buttocks/Rump	anus / buttock	*s-mi
5639	1.4.10	Buttocks/Rump	tail / buttocks / back	*du
1288	1.4.10.1	Tail	tail / penis	*r-may ~ *m-ray
5545	1.4.10.1	Tail	tail	*r-mey
205	1.4.10.1	Tail	tail / back	*r-ŋa
3332	1.4.10.1	Tail	tail	*k-lyak
5547	1.4.10.1	Tail	tail	*r-mi
5546	1.4.10.1	Tail	tail	*r-may
377	1.5.1	Hand, Arm, Wing	arm / hand / wing	*lak ~ *C-yak
695	1.5.1	Hand, Arm, Wing	hand / limb	*lak
696	1.5.1	Hand, Arm, Wing	arm / hand / armpit / tickle	*yak
699	1.5.1	Hand, Arm, Wing	hand / arm / leaf	*d-yak
700	1.5.1	Hand, Arm, Wing	arm / hand	*dak
702	1.5.1	Hand, Arm, Wing	arm / hand / cubit	*g-yak
705	1.5.1	Hand, Arm, Wing	arm	*p-yak
350	1.5.1	Hand, Arm, Wing	leg / foot	*la
375	1.5.1	Hand, Arm, Wing	leg / foot	*ya
888	1.5.1	Hand, Arm, Wing	foot	*d-ya OR g-ya
712	1.5.1	Hand, Arm, Wing	hand / fist / arm	*k(r)u-t
739	1.5.1	Hand, Arm, Wing	arm / hand / wing	*k(w)ay
373	1.5.1	Hand, Arm, Wing	hand	*wul
751	1.5.1	Hand, Arm, Wing	arm / hand	*m-bi
770	1.5.1	Hand, Arm, Wing	hand	*ri
725	1.5.1	Hand, Arm, Wing	hand / wrist / fin	*g-wan
745	1.5.1	Hand, Arm, Wing	arm / hand / shoulder	*ban
6118	1.5.1	Hand, Arm, Wing	arm / hand	*pow
240	1.5.1	Hand, Arm, Wing	arm (upper) / wing	*k(w)aŋ
1327	1.5.1	Hand, Arm, Wing	arm (upper) / shoulder	*pwaŋ
754	1.5.1	Hand, Arm, Wing	arm / shoulder	*pum
236	1.5.1	Hand, Arm, Wing	arm	*m-brwaŋ
771	1.5.1	Hand, Arm, Wing	arm	*dum
711	1.5.1	Hand, Arm, Wing	wing / hand	*dwaŋ
710	1.5.1	Hand, Arm, Wing	cubit	*dwaŋ
753	1.5.1	Hand, Arm, Wing	arm / hand / wing	*m/p/s-(l/d)ap
757	1.5.1	Hand, Arm, Wing	wing / feather	*lap
2077	1.5.1	Hand, Arm, Wing	wing / flutter / eyelash / gill	*s-lap
760	1.5.1	Hand, Arm, Wing	wing / feather	*p-(l/y)ap
756	1.5.1	Hand, Arm, Wing	wing / feather	*pap
758	1.5.1	Hand, Arm, Wing	wing / feather	*m-dap
720	1.5.1	Hand, Arm, Wing	wing / hand / arm	*g-raŋ
731	1.5.1	Hand, Arm, Wing	wing / hand	*g-(t)syəw-k/ŋ
735	1.5.1	Hand, Arm, Wing	wing	*sya
737	1.5.1	Hand, Arm, Wing	arm / hand / wing	*s/k-la
742	1.5.1	Hand, Arm, Wing	wing / hand	*ka-t
713	1.5.1	Hand, Arm, Wing	hand / wing	*kwar
709	1.5.1	Hand, Arm, Wing	wing	*m-kiŋ
714	1.5.1	Hand, Arm, Wing	wing / feather	*m/s-pa
1228	1.5.1	Hand, Arm, Wing	feather / wing / hair (body)	*s-pu
762	1.5.1	Hand, Arm, Wing	feather / wing	*tir
768	1.5.1	Hand, Arm, Wing	wing / arm / hand / finger	*m/s-lam
741	1.5.1	Hand, Arm, Wing	wing / arm	*kan
1603	1.5.1	Hand, Arm, Wing	bird / egg / wing / fowl	*w(a/u)
707	1.5.1	Hand, Arm, Wing	plank / palm / flat surface / wing	*(p/b)lyaŋ
769	1.5.1	Hand, Arm, Wing	arm / cubit	*muː(k/ŋ)
1282	1.5.1	Hand, Arm, Wing	clench / fist	*tu(p/m)
1289	1.5.1.2.3	Underarm/Armpit	armpit / tickle	*g-li-k
336	1.5.2	Foot	foot / leg	*r-k(y)aŋ
338	1.5.2	Foot	foot	*r-kya-ŋ
342	1.5.2	Foot	foot	*li
335	1.5.2	Foot	foot	*krəy
349	1.5.2	Foot	leg / foot / hoof	*bwal
343	1.5.2	Foot	leg / thigh / foot	*pey
341	1.5.2	Foot	foot / leg	*m-pa
344	1.5.2	Foot	foot	*t(w)aŋ ~ *s-d(y)aŋ
5621	1.5.2	Foot	foot	*r-kwa(ŋ)
395	1.5.2.1	Heel	heel	*tsyu
394	1.5.2.1	Heel	heel	*r-ti(ŋ/n)
397	1.5.2.1	Heel	heel	*gwa-ŋ
417	1.5.4	Hoof/Paw	hoof	*s-k(w/r)a
5622	1.5.4	Hoof/Paw	hoof	*kru-k
821	1.5.5	Palm/Sole	leaf / leaflike part / flat object	*r-pak
2085	1.5.5	Palm/Sole	leaf / leaflike part	*rwak
786	1.5.5	Palm/Sole	leaf / tea / flat thing	*s-la
824	1.5.5	Palm/Sole	leaf / leaflike part	*s-lap
776	1.5.5	Palm/Sole	palm / sole	*p(l)a-n ~ *p(w)a-n
772	1.5.5	Palm/Sole	palm / sole	*dyaŋ
6217	1.5.5	Palm/Sole	palm	*m-ya
320	1.5.6	Finger/Toe	finger	*s-nyuŋ ~ *s-m-yuŋ ~ *s-m-yuw
331	1.5.6	Finger/Toe	finger	*(t)si
330	1.5.6	Finger/Toe	finger	*(t)s(y)ow
326	1.5.6	Finger/Toe	finger	*brya(p/m)
329	1.5.6	Finger/Toe	finger	*bra-n
328	1.5.6	Finger/Toe	finger	*b-ray
580	1.5.7.2	Shin/Tibia	shin	*ŋal
2254	1.5.7.2	Shin/Tibia	edge / side / shin	*r-guːŋ
582	1.5.7.2	Shin/Tibia	shin	*m-raŋ
418	1.5.8	Joint	joint	*tsik
306	1.5.8	Joint	elbow / knee	*du-k
439	1.5.8	Joint	knee / elbow	*tuŋ
422	1.5.8	Joint	joint	*krwak OR krawk
426	1.5.8	Joint	joint	*swam
424	1.5.8	Joint	joint	*la
425	1.5.8	Joint	joint	*sa
419	1.5.8	Joint	joint	*rik
204	1.5.8	Joint	joint / wrist	*s-hwal
420	1.5.8	Joint	joint	*myan
307	1.5.8.3	Elbow	elbow / cubit	*s-g(r)u
436	1.5.8.4	Knee	knee	*put-s ~ *pit-s
435	1.5.8.4	Knee	knee	*pu
1251	1.5.8.4	Knee	knee / angle	*m-kuː(k/ŋ)
437	1.5.8.4	Knee	knee	*s-gyi-t
2786	1.5.9.1	Right	right (hand)	*g-(y/r)a
2154	1.5.9.2	Left	left (hand)	*b(w)ay
5624	1.5.9.2	Left	left (side)	*kyay
1281	1.5.9.4	Span/Handspan	handspan	*m-twa
511	1.5.10	Nail	nail / claw	*m-(t)sin
514	1.5.10	Nail	nail / claw	*m-tsyal
515	1.5.10	Nail	nail / claw	*m-tsyey
512	1.5.10	Nail	nail / claw	*m-(t)syen
513	1.5.10	Nail	nail / claw	*m-(y/r)in
416	1.5.10	Nail	nail / claw / hoof	*m(y)uk ~ *r-mi-k
507	1.5.10	Nail	nail / cuticle	*s-lyaŋ
510	1.5.10	Nail	nail / claw	*g(y)aŋ ~ *g(w)aŋ
415	1.5.10.4	Claw/Talon/Pincer	claw / hoof	*ki
506	1.5.10.4	Claw/Talon/Pincer	claw	*s-dyar
2003	1.5.10.4	Claw/Talon/Pincer	cockspur / hoof	*dak
6424	1.5.11	Numb/Paralyzed	numb	*pit
5685	1.5.11	Numb/Paralyzed	numb	*pir
5686	1.5.11	Numb/Paralyzed	numb	*g-zwəy
7094	1.5.11	Numb/Paralyzed	numb / paralyzed	*ti
6133	1.5.12	Lame/Limp	lame / limp / askew	*(p/b)aːy
363	1.6.1	Body Hair/Fur	hair / fur / feather	*s/r-mul ~ *s-mil ~ *s-myal
1429	1.6.1	Body Hair/Fur	beard / facial hair / hair	*s-mu-t
2058	1.6.1	Body Hair/Fur	chin / beard	*mum
750	1.6.1.1	Feather	feather	*s-grwa
230	1.6.2	Blood/Bleed	blood	*s-hywəy-t
5485	1.6.2	Blood/Bleed	marrow	*suy
231	1.6.2	Blood/Bleed	blood / red	*krak
232	1.6.3	Bone	bone	*s/m/g-rus
234	1.6.3	Bone	bone	*s-rus
233	1.6.3	Bone	bone	*g-rus
238	1.6.3	Bone	bone / skeleton	*g-r(w/y)a(ŋ/k)
237	1.6.3	Bone	bone	*g-ra-t
241	1.6.3	Bone	bone	*g-du(ŋ)
1469	1.6.3	Bone	bone	*m-bwaŋ
459	1.6.3.5	Marrow	marrow / brain	*r-kliŋ ~ *r-klyaŋ
42	1.6.4	Fat/Be Fat	fat (v.a.) / omentum	*tsow-s
48	1.6.4	Fat/Be Fat	fat (n.) / grease / oil	*tsil
60	1.6.4	Fat/Be Fat	fat (n.) / grease / oil / sweat	*saːw
50	1.6.4	Fat/Be Fat	fat / fatty (meat)	*bu(r)
1437	1.6.4	Fat/Be Fat	fat / oil	*tsut
1439	1.6.4	Fat/Be Fat	fat	*di
1443	1.6.4	Fat/Be Fat	fat	*s-n(u/a)m
1440	1.6.4	Fat/Be Fat	fat / oil	*ku
1450	1.6.4	Fat/Be Fat	fat	*s-da
1441	1.6.4	Fat/Be Fat	fat	*mwa-ŋ
1451	1.6.4	Fat/Be Fat	fat	*puŋ
1444	1.6.4	Fat/Be Fat	fat / thick	*dwam
1448	1.6.4	Fat/Be Fat	marrow / fat	*ni
1438	1.6.4	Fat/Be Fat	fat / omentum	*laŋ
1442	1.6.4	Fat/Be Fat	fat	*mi
1446	1.6.4	Fat/Be Fat	fat	*t(y)an
1447	1.6.4	Fat/Be Fat	fat	*s-l(a/u)p
1452	1.6.4	Fat/Be Fat	fat	*prəw
40	1.6.4.1	Oil/Grease	oil / fat / grease	*s-ryak
1470	1.6.4.1	Oil/Grease	gold / yellow / butter / oil	*s-mar
596	1.6.5	Skin	skin	*m/s-k-rəy
586	1.6.5	Skin	outer covering / skin / bark / rind	*s/r-kawk ~ *s/r-kwak
593	1.6.5	Skin	skin	*kur ~ *kwar
591	1.6.5	Skin	skin	*pʷ(i/u)(l/n)
585	1.6.5	Skin	skin / outer covering	*s-graw
448	1.6.5	Skin	lip / skin	*d(y)al
783	1.6.5	Skin	skin / lip / scales (fish) / shell	*kwap
5516	1.6.5	Skin	shell / shield	*krap
589	1.6.5	Skin	skin	*kwa
562	1.6.5	Skin	scale (of fish or reptile)	*s-lip
1454	1.6.5	Skin	scale (of fish or reptile)	*syap
792	1.6.5	Skin	skin	*p(r/y)a
588	1.6.5	Skin	skin	*l-pak
590	1.6.5	Skin	skin / peel	*p(y)ik
3000	1.6.5	Skin	strip off	*bak
784	1.6.5	Skin	rind / shield / skin (n.)	*pu
795	1.6.5	Skin	skin / outer surface	*s-yam
781	1.6.5	Skin	skin	*ryaŋ
782	1.6.5	Skin	skin	*rik-s
595	1.6.5	Skin	skin	*s-lwa
598	1.6.5	Skin	skin	*s-lwap
592	1.6.5	Skin	skin	*m-bwat
790	1.6.5	Skin	skin	*tsəw
780	1.6.5	Skin	skin	*kwaŋ
785	1.6.5	Skin	skin	*taŋ OR tuŋ
3611	1.6.5	Skin	skin	*li(n/ŋ)
5899	1.6.5	Skin	boil / cook	*C-kwəl
2447	1.6.5.3	Skin Blemish/Freckle	wen / mole	*r/s-mya-n
1456	1.6.5.5	Itch/Scratch	itch	*g-ya
1457	1.6.5.5	Itch/Scratch	itch	*m-sak
1459	1.6.5.5	Itch/Scratch	scratch / itch	*pruk
1458	1.6.5.5	Itch/Scratch	scratch	*hyak ~ *hwak
6131	1.6.5.5	Itch/Scratch	scratch / scrape	*m-kryat
1462	1.6.5.5	Itch/Scratch	scrape / rule (line) / scratch / itch / cut / carve	*k(i/u)t
530	1.6.6	Obscure Internal Channels	vein / sinew / internal channel / pulse	*r-sa
535	1.6.6	Obscure Internal Channels	obscure internal channel	*graw
537	1.6.6	Obscure Internal Channels	blood vessel / nerve / ligament	*siŋ
538	1.6.6	Obscure Internal Channels	obscure internal channel / sinew / nerve / muscle	*tsyu
536	1.6.6.3	Nerve	obscure internal channel / blood vessel / sinew / muscle	*r-g-yuŋ
1857	1.6.6.4	Lymph	swollen lymph nodes	*gru
1858	1.6.6.4	Lymph	swollen lymph nodes	*bləy
689	1.7.1	Heart	heart / mind / brain	*s/k-n(y)i-k/ŋ
251	1.7.1	Heart	brain / heart / mind	*s/k-niŋ
1385	1.7.1	Heart	heart / mind	*s/k-nik
297	1.7.1	Heart	heart / breast / chest / rib	*s-ni
1387	1.7.1	Heart	heart / liver	*s-diŋ
1392	1.7.1	Heart	heart	*(m/b)waŋ
1382	1.7.1	Heart	heart / liver	*trwa
1388	1.7.1	Heart	temperament / heart / talent / resources	*(t)saːy ~ *(d)zaːy
1384	1.7.1	Heart	guts / belly / vital organ	*ma(k/ŋ)
457	1.7.2	Lung	lung	*tsywap
5481	1.7.2	Lung	lung	*p-wap
5482	1.7.2	Lung	lung	*s-wap
5738	1.7.2	Lung	lung	*s-map
2121	1.7.2	Lung	lung	*g-lwa-p
458	1.7.2	Lung	lung	*ts(u/i)-t
5737	1.7.2	Lung	lung	*pwar
1390	1.7.3	Liver	liver / heart / bile / bitter	*m-sin
229	1.7.3.1	Gall/Bile	bitter / salty / bile / liver	*b-ka-n/m/ŋ
227	1.7.3.1	Gall/Bile	gall (bladder) / bile / sour	*m/s-kri(y)-s
228	1.7.3.1	Gall/Bile	gall / bile	*ki(ŋ/k)
2101	1.7.3.1	Gall/Bile	bile / gall	*m(u/i)t
1325	1.7.4	Spleen	spleen	*r-(p/b)al
1320	1.7.4	Spleen	spleen	*lim
1326	1.7.4	Spleen	kidney	*kyak
91	1.7.4	Spleen	spleen	*r-pay
2812	1.7.4	Spleen	spleen / kidney	*g-la
1243	1.7.5	Kidney	buttocks / hips / fleshy part / waist / back	*m-di
2120	1.7.5	Kidney	kidney	*pi(l/r)
6723	1.7.6	Stomach	belly / stomach / cave	*d-(p/b)u-k
2104	1.7.6	Stomach	belly / stomach	*pʷik
2106	1.7.6	Stomach	belly / stomach	*wuk
164	1.7.6	Stomach	belly / vitals / hollow object / cave	*d-puːk
2103	1.7.6	Stomach	belly / stomach / intestine / kidney	*pʷu
2102	1.7.6	Stomach	belly / stomach / intestine / kidney	*wu
2111	1.7.6	Stomach	belly / center	*pwa(ŋ/n)
2112	1.7.6	Stomach	belly / stomach / intestines	*(g/b)rwat
2123	1.7.6	Stomach	stomach	*k(w)a
2125	1.7.6	Stomach	stomach	*kri
3460	1.7.6	Stomach	stomach / internal organ	*laŋ
2116	1.7.7	Intestines/Bowels/Guts	guts	*r-gyu-ŋ
2117	1.7.7	Intestines/Bowels/Guts	large intestine (colon)	*g/m-yaŋ
2127	1.7.7	Intestines/Bowels/Guts	intestines / bowels / belly / stomach	*riːl
778	1.7.8	Bladder	urinary bladder	*(b/p)wa(ŋ/k)
777	1.7.8	Bladder	urinary bladder	*(p/b)um
779	1.7.8	Bladder	urinary bladder / kidney	*(p/b)u
610	1.8.1	Sweat/Perspire	sweat	*s/k-lan
611	1.8.1	Sweat/Perspire	sweat	*s-la(p/t)
797	1.8.1	Sweat/Perspire	sweat	*g-l(y)am
615	1.8.1	Sweat/Perspire	sweat	*s-(k/ŋ)rul
800	1.8.1	Sweat/Perspire	sweat	*bəw
801	1.8.1	Sweat/Perspire	sweat	*s-ŋar
619	1.8.1	Sweat/Perspire	sweat	*maŋ
616	1.8.1	Sweat/Perspire	sweat	*m/s-nam
1318	1.8.2	Snot/Nasal Mucus	snot	*s-nak
805	1.8.2	Snot/Nasal Mucus	snot / nasal mucus	*s-nap
2131	1.8.2.1	Sneeze	sneeze	*(h/k)a-t(s)ik
1784	1.8.2.2	Snore	snore / breathe heavily	*s-ŋwar
1785	1.8.2.2	Snore	snore	*hal
600	1.8.3	Spit/Saliva	spit	*m-ts(y/r)il
601	1.8.3	Spit/Saliva	spit	*m/s-tuːk
607	1.8.3	Spit/Saliva	spit	*p-lay
606	1.8.3	Spit/Saliva	spit	*m-tyur
603	1.8.3	Spit/Saliva	spit	*m/s-twa
605	1.8.3	Spit/Saliva	spit	*tyat
540	1.8.3.1	Phlegm	phlegm / sputum / mucus	*k(r)aːk
543	1.8.3.1	Phlegm	phlegm	*nir
539	1.8.3.1	Phlegm	phlegm / saliva	*kan
541	1.8.3.1	Phlegm	phlegm	*har
1145	1.8.3.2	Vomit	vomit	*m-p(r)ats
1796	1.8.3.2	Vomit	nauseated / vomit	*wan
1749	1.8.3.2	Vomit	vomit	*ʔaw
1782	1.8.3.2	Vomit	spit / vomit	*mwa ~ *mya-n
1783	1.8.3.2	Vomit	vomit	*m/s-lwa-k
5697	1.8.3.2	Vomit	vomit	*m-ruy
1794	1.8.3.3	Cough	cough	*suk
1795	1.8.3.3	Cough	cough	*kwak
5468	1.8.3.3	Cough	cough	*səw-t
3443	1.8.3.5	Hiccup	hiccough / belch	*ʔik
650	1.8.4	Urine/Piss	urine / urinate	*g-ts(y)i-t/n
652	1.8.4	Urine/Piss	urine	*tsyar
654	1.8.4	Urine/Piss	urine	*r-tsam
656	1.8.4	Urine/Piss	urine	*kum
1731	1.8.4	Urine/Piss	urine	*C-raŋ
7772	1.8.4	Urine/Piss	urinate / urine	*yu(ŋ/n)
572	1.8.5	Feces/Shit/Dung/Filth/Excrement	body dirt / excrement	*kləy
576	1.8.5	Feces/Shit/Dung/Filth/Excrement	shit / feces / dung / excrement	*ya(k)
575	1.8.5	Feces/Shit/Dung/Filth/Excrement	shit / excrement / filth / bowels	*baːl
2151	1.8.5	Feces/Shit/Dung/Filth/Excrement	dung	*s-baŋ
1655	1.8.5	Feces/Shit/Dung/Filth/Excrement	shit / filth / excrement / rust / blight	*g/b-syaŋ
578	1.8.5	Feces/Shit/Dung/Filth/Excrement	shit	*l(y)(u/i)t
577	1.8.5	Feces/Shit/Dung/Filth/Excrement	shit / excrement	*r/s-kya(k/ŋ)
6056	1.8.5	Feces/Shit/Dung/Filth/Excrement	excrement	*brun
2520	1.8.5	Feces/Shit/Dung/Filth/Excrement	filth(y) / excrement	*s-nyak
316	1.8.5.2	Fart	fart / anus	*(p/b)u
311	1.8.5.2	Fart	fart / shit	*pya-n/t/s
3553	1.8.5.2	Fart	fart	*woy
1294	1.8.6.1	Pus/Gleet	pus	*s-naːy
1296	1.8.6.1	Pus/Gleet	rot / pus	*tswəy
1290	1.8.6.1	Pus/Gleet	pus	*syu(p/t)
1297	1.8.6.1	Pus/Gleet	pus	*(s/r)nak
1293	1.8.6.1	Pus/Gleet	pus	*s-bu
1298	1.8.6.1	Pus/Gleet	pus	*ʔum
1292	1.8.6.1	Pus/Gleet	pus / boil	*m-blyan
1709	1.8.6.1	Pus/Gleet	pus	*nuŋ
2607	1.8.6.1	Pus/Gleet	rotten / pus / gleet / filth / stench	*d-ri-k
1788	1.8.6.2	Abscess/Ulcer	wound / scar / injury / nettle	*r-ma-t
1753	1.8.7	Speak/Say/Tell	speak	*s-br(w)a(ŋ/k)
1755	1.8.7	Speak/Say/Tell	speak, say	*b-tsyat
1757	1.8.7	Speak/Say/Tell	talk / speak	*g-(t/d)am
279	1.8.7	Speak/Say/Tell	language	*rey
5865	1.8.7	Speak/Say/Tell	say / talk / tell	*b-s-la-s ~ *la-p
5393	1.8.7	Speak/Say/Tell	speak / word	*grwas
5596	1.8.7	Speak/Say/Tell	word / language / speech / sound	*(g/k)laŋ
1754	1.8.7	Speak/Say/Tell	word / speech / language	*ka
1752	1.8.7.1	Mute/Dumb	mute / dumb / stupid	*m-ʔa
1789	1.8.7.1	Mute/Dumb	mute / dumb	*l-kuk
1105	1.8.8.1	Laugh/Smile	laugh	*m-nwi(y)-k
1108	1.8.8.1	Laugh/Smile	laugh	*s-r(y)a-y/s/t
1142	1.8.8.1	Laugh/Smile	laugh	*ŋ(y)il
