No.	Gloss	Proto-Palaungic
435.	seed	*kəlɔːŋ
436.	drum	*klɔːŋ
437.	bark (tree)	*klɔːʔ
438.	river	*klɔŋ
439.	penis	*kleʔ
440.	python	*klɤn
441.	fat (adj.)	*klɤɲ
442.	protrude	*(k)liɛr
443.	slippery	*kliɛt
444.	metal bell	*kliːŋ
445.	belly; middle	*kluːŋ
446.	side, direction	*plaːk
447.	open (eyes etc.)	*plaːk
448.	bright	*plaːŋ
449.	shoulder	*-plaːŋ
450.	spread (mat)	*plaːs
451.	blade	*plaːʔ
452.	needle	*-lac
453.	wheel, spindle	*plɛʔ
454.	flat	*plah
455.	thatching-grass	*plaŋ
456.	burst	*plɔk
457.	sky	*pleːŋ
458.	swallow (bird)	*pleːŋ
459.	set free	*ple(ː)h
460.	leech (land)	*plɤːm
461.	beeswax	*plɤm
462.	fruit	*pliːʔ
463.	dove	*ploːj
464.	salt	*bluːʔ
465.	enter	*ˀlac
466.	float, swim	*ˀlɔːj
467.	long time	*ˀleːŋ
468.	thin	*ˀleːr
469.	fat, grease	*l(əʔ)oːs
470.	sand	*smaːc
471.	widow	*kəmaːj
472.	seed grain	*cəmaːl
473.	ask	*smaːɲ
474.	possess	*maːŋ
475.	wind, sky	*-maːʔ
476.	cheek	*cəmaːʔ
477.	elder (sibling)	*maj
478.	roll	*mar
479.	borrow/lend	*-maʔ
480.	insect	*maʔ
481.	mother	*maʔ
482.	what, who	*mɔ/ɤːʔ
483.	mouth	*mɔːɲ
484.	swallow	*mɔːŋ
485.	banana	*rəmɔːs
486.	weevil	*-mɔːt
487.	fell, cut down	*mɔk
488.	cheek	*mɔk
489.	hat	*smɔk
490.	hill	*mɔl
491.	hear; to listen	*smɔŋ
492.	male	*-meːʔ
493.	new	*-meːʔ
494.	sugarcane	*-meːʔ
495.	mother	*meʔ
496.	dust	*mɤ/uːl
497.	crawl	*mɤːr
498.	dream	*rəmɤːʔ
499.	vine, cord	*smɤːʔ
500.	cattle	*mɤk
501.	roll	*-mɤl
502.	daughter-in-law	*kəmɤn
503.	pregnant	*-mɤr
504.	bamboo flooring	*rəmɤs
505.	gall, bile	*kəmɤt
506.	catch	*smɤt
507.	tea	*miɛm
508.	cat	*miɛw
509.	yellow; turmeric	*rəmiːt
510.	you (singular)	*miːʔ
511.	one	*moːh
512.	daughter-in-law	*moːj
513.	dibble	*moːl
514.	mouth	*-moːm
515.	stone	*cəmoːʔ
516.	grave	*-muːc
517.	ant	*smuːc
518.	pimple	*muːn
519.	name	*muːs
520.	nose	*muːs
521.	fragrant; to smell	*cəmuːʔ
522.	swidden field	*ˀmaːr
523.	hide (self)	*ˀmɔːʔ
524.	axe	*ˀmɤːj
525.	round	*ˀmɤl
526.	star	*səˀmɤɲ
527.	love	*ˀmɤs
528.	cough	*ˀmoːk
529.	vein, sinew	*cənaːk
530.	blood	*snaːm
531.	army, war	*naːɲ
532.	beads	*snaːŋ
533.	comb	*cənaːs
534.	buffalo	*mənaːʔ
535.	between	*cənaːʔ
536.	that	*nɛɁ
537.	boil	*cənam
538.	spirit	*kərnam
539.	know	*nap
540.	young man	*cənaw
541.	heart	*nɔːs
542.	cough	*cənɔk
543.	this (prox.)	*nɔʔ
544.	rat, mouse	*kəneːʔ
545.	this	*neʔ
546.	herb, medicine	*cənɤ/am
547.	thunder	*-nɤm
548.	incubate	*nɤm
549.	year	*cənɤm
550.	hill	*pənɤm
551.	above	*nɤŋ
552.	press	*niːt
553.	full	*noːk
554.	urine	*nuːm
555.	mouth	*-nuːs
556.	kill	*ŋa/ih
557.	far	*cəŋaːj
558.	green	*cəŋaːl
559.	sweet	*ŋaːm
560.	know	*ŋaːn
561.	yawn	*sŋaːp
562.	itch	*ŋaːʔ
563.	sesame	*ləŋaːʔ
564.	speak	*ŋɛ/eːʔ
565.	fire	*ŋal
566.	hold	*ŋan
567.	knife (iron?)	*rəŋɔ/aŋ
568.	price	*ŋɔːs
569.	hungry	*ŋɔːt
570.	paddy rice	*sŋɔːʔ
571.	swim	*ŋɔj
572.	hit	*ŋe(ː)h
573.	stump	*-ŋɤl
574.	stupid	*-ŋɤl
575.	soak	*ŋɤm
576.	still, quiet	*ŋɤ/at
577.	nod	*ŋi(ː)l
578.	day	*ŋiːʔ
579.	sun	*cəŋiːʔ
580.	morning	*ŋuː/ɔp
581.	groan	*sŋuːr
582.	cold	*ŋVŋ
583.	eye	*ˀŋaːj
584.	dry up/out	*ˀŋat
585.	nod (head)	*ˀŋɔk
586.	clean	*cəˀŋaːʔ
587.	clear, clean	*cəˀŋam
588.	laugh	*kəɲaːs
589.	house	*ɲaːʔ
590.	wet	*ɲac
591.	caterpillar	*ɲaŋ
592.	put in/on	*ɲaŋ
593.	waist	*ɲɔːj
594.	suck	*ɲɔːk
595.	young	*kəɲɔːm
596.	needle	*pəɲeːʔ
597.	sweet, tasty	*ɲɤːm
598.	bear, endure	*ɲɤn
599.	hair	*ɲuːk
600.	suckle	*ɲuʔ
601.	wet	*ʰɲaːk
602.	difficult	*ʰɲaːp
603.	sticky	*(ʰ)ɲɤk
604.	chair	*paːŋ
605.	you (two)	*paːr
606.	father	*p/baːʔ
