No.	Gloss	Proto-Munda	Gorum	Sora	Remo	Gutob	Kharia	Juang	Gtaʔ	Santali	Mundari	Ho	Korwa	Korku
18	ripe	*bv₁₃lv₁₁			bulu	bulu	belom	bilim	ble	bele	bili	bili	bhiːliː	bili
19	raw	*bv₁₄rəl			buro	burol	borol	boron	brwa	be̠re̠l	berel	berel	berel	boboɽ
20	stone	*səreŋ	areŋ	areŋ			soreŋ				sereŋ	sereɲ		
21	fuel	*sv₁₄ŋəl/*sᵊŋəl	aŋal	aŋəl	suŋo	suŋol	soŋgol	sɛŋon	sua	se̠ŋge̠l	seŋgel	seŋgel	seNgel	
22	spread (vt)	*bel	bil	bel/bɪːl	be-sak'	be-saʔ	bel	bɛn	beʔ	bel	bil	bil	bel	(bi)bil
23	burn (v)	*bal	bal	baːl		bal			ba	bal	bal	bal	baːl	baːl
24	tie (v)	*tol	tol	tol	tu	tol	tol	tor	tu	to̠l	tol	tol	tol	ʈol
25	grind (v)	*riˀt	riˀd	rid	riʔ	riɖ	riɖ	riɖ	rig	rit'	ri'd	riɖ	riːɖ	–
26	fever/pain	*k₂v₄su/*k₂ᵊsu	asu	asuː/əsuː	siʔ	isi	kosu/kusu	kasu	aʔsu	haso	haːsu	hasu	hasuː	kaSu
27	shoot (v)	*tuɲ	tiŋ	tuɲ	tiŋ	tiŋ	tuɲ	tuɲ	ʈwiŋ	tuɲ	tuiŋ	tuŋ		ʈuɲj
28	chicken	*sim		kənsiːm	gisiŋ	gisiŋ	siŋkoy	sɛŋkɔe	gsæŋ	sim	sim	sim	siːm	
29	wipe (v)	*ɟoˀt	zoˀd	ɟoˀd	susuʔ	sosoɖ	joˀɖ		cuʔ	jo̠t'	jod'	joɖ	joɖ	oːjo
30	fruit / to bear fruit (v)	*ɟo(o)ˀ	zoʔ	ɟoːʔ	suʔ				cu	jo̠	jo	joː	joʔ	joː
31	sweep (v)	*ɟoˀk	zoʔ	ɟoː	suk'	sog	joʔ	ɟɛnɔg	coʔ	jo̠k'	joʔ	joʔ		ju-khɽi
32	hail/pebble	*arel	aril	areːl	are	arel	arel	aɭɛn	hare	arel	aːɽil	aril	aːril	
33	night	*juˀp	uɖuˀb	orub	minɖip'	noNdib	iɖiˀb		minɖig	ayup'	aːyub	ayub	ayub	ayup
34	cloud	*tv₁₅ruˀp	taruˀb	tarub	tirib	tirib	tiriˀb		trig	rimil	rimil	rimil	liNbir	
