No.	Gloss	Proto-Khasian
856.	to rake, scrape	*kʰur
857.	dove	*-kʰur
858.	loose fitting	*kntʰur
859.	clan	*kur
860.	mouth, lips	*ʧntur
861.	warm	*ʔur
862.	sick, pain	*kʤut
863.	nose	*kʰmut
864.	to rub	*krʧʰut
865.	to bind/surround	*kut
866.	to end	*kut
867.	to pierce through	*-lut
868.	wind(y)	*prhut
869.	bellows	*prsut
870.	to blow (instrument)	*put
871.	cloud	*-put
872.	rotten	*pʔut
873.	down	*sut
874.	revenge	*tput
875.	to leak, drip	*ʧuːt
876.	to sharpen	*ʧut
877.	thigh	*blu:
878.	man, person	*bruː
879.	to suckle	*buː
880.	breast	*-buː
881.	ant	*dkʰuː
882.	deep	*ʤruː
883.	grandchild	*ksuː
884.	to climb, ascend	*kuː
885.	corn	*sɔʔ-ruː
886.	tasty	*sŋuː
887.	hole	*tʰluː
888.	six	*tʰruː
889.	to spit	*-tʰu:
890.	taro, arum	*ʧruː
891.	ghost, spirit	*ksuːc
892.	lake	*suːŋ
893.	to swell/bulge	*-toːŋ
894.	to cover	*-duːp
895.	to crawl, creep	*puːr
896.	line, seam	*snuːr
897.	to scrape	*kʰruːt
898.	to scrape	*kʰuːt
899.	dust	*ʤlpʰuʔ
900.	walking (stick)	*duʔ
901.	same	*ʤuʔ
902.	nuisance	*jnruʔ
903.	to tread	*juʔ
904.	to shake	*knruʔ
905.	salt	*mluʔ
906.	to bow, submit	*ŋuʔ
907.	to beat/strike	*pduʔ
908.	hair	*suɁ
909.	to seek	*tʰuʔ
910.	ribs	*ʧruʔ
911.	to steal	*tuʔ
912.	dream	*-muʔ/*-me:ʔ
